model,horizon_min,n,RMSE,MAE,nRMSE,R2,train_s,epochs,subsample,regime_basis
gru,5,39789,91.92520141601562,42.15444564819336,0.1559438556432724,0.9165179133415222,124.5,15,150000,causal_D012
gru_tcn,5,39789,90.498046875,42.48516082763672,0.1535228043794632,0.9190899133682251,116.7,15,150000,causal_D012
gru,15,39000,119.65730285644531,66.31468963623047,0.20078159868717194,0.8567836284637451,98.5,15,150000,causal_D012
gru_tcn,15,39000,117.9189224243164,64.64025115966797,0.19786463677883148,0.8609146475791931,116.1,15,150000,causal_D012
gru,30,37897,130.59556579589844,77.74848937988281,0.2160710096359253,0.82802814245224,80.9,15,150000,causal_D012
gru_tcn,30,37897,129.8849334716797,73.05097961425781,0.21489526331424713,0.8298946022987366,140.6,15,150000,causal_D012
gru,60,35769,143.62567138671875,88.92472839355469,0.23248881101608276,0.7935383319854736,98.5,15,150000,causal_D012
gru_tcn,60,35769,142.83322143554688,90.62824249267578,0.23120607435703278,0.795810341835022,119.2,15,150000,causal_D012
