site,horizon_min,variant,point_RMSE,point_MAE,method,scope,n,PICP,ACE,PINAW
asp,60,published,138.3985,77.4122,mondrian_cqr,clear,22594,0.9028,0.0028,0.0888
asp,60,published,138.3985,77.4122,mondrian_cqr,transitional,13998,0.8855,-0.0145,0.3473
asp,60,published,138.3985,77.4122,mondrian_cqr,cloudy,3647,0.8892,-0.0108,0.3496
asp,60,clean,138.1903,77.3355,icp,all,39905,0.8693,-0.0307,0.2447
asp,60,clean,138.1903,77.3355,icp,clear,22438,0.9692,0.0692,0.2545
asp,60,clean,138.1903,77.3355,icp,transitional,13852,0.7181,-0.1819,0.245
asp,60,clean,138.1903,77.3355,icp,cloudy,3615,0.829,-0.071,0.2645
asp,60,clean,138.1903,77.3355,icp_norm,all,39905,0.8699,-0.0301,0.2674
asp,60,clean,138.1903,77.3355,icp_norm,clear,22438,0.959,0.059,0.2792
asp,60,clean,138.1903,77.3355,icp_norm,transitional,13852,0.7297,-0.1703,0.2666
asp,60,clean,138.1903,77.3355,icp_norm,cloudy,3615,0.8537,-0.0463,0.2865
asp,60,clean,138.1903,77.3355,mondrian,all,39905,0.8845,-0.0155,0.2017
asp,60,clean,138.1903,77.3355,mondrian,clear,22438,0.8815,-0.0185,0.073
asp,60,clean,138.1903,77.3355,mondrian,transitional,13852,0.894,-0.006,0.3998
asp,60,clean,138.1903,77.3355,mondrian,cloudy,3615,0.8667,-0.0333,0.2962
asp,60,clean,138.1903,77.3355,cqr,all,39905,0.8946,-0.0054,0.1955
asp,60,clean,138.1903,77.3355,cqr,clear,22438,0.9046,0.0046,0.0892
asp,60,clean,138.1903,77.3355,cqr,transitional,13852,0.8794,-0.0206,0.3442
asp,60,clean,138.1903,77.3355,cqr,cloudy,3615,0.8907,-0.0093,0.3506
asp,60,clean,138.1903,77.3355,mondrian_cqr,all,39905,0.8951,-0.0049,0.196
asp,60,clean,138.1903,77.3355,mondrian_cqr,clear,22438,0.9032,0.0032,0.0889
asp,60,clean,138.1903,77.3355,mondrian_cqr,transitional,13852,0.8843,-0.0157,0.3467
asp,60,clean,138.1903,77.3355,mondrian_cqr,cloudy,3615,0.8863,-0.0137,0.348
