site,horizon_min,variant,point_RMSE,point_MAE,method,scope,n,PICP,ACE,PINAW
yulara,15,clean,112.0087,59.0813,icp,clear,18740,0.9808,0.0808,0.2375
yulara,15,clean,112.0087,59.0813,icp,transitional,12945,0.7265,-0.1735,0.22
yulara,15,clean,112.0087,59.0813,icp,cloudy,3230,0.9393,0.0393,0.2285
yulara,15,clean,112.0087,59.0813,icp_norm,all,34915,0.8935,-0.0065,0.3082
yulara,15,clean,112.0087,59.0813,icp_norm,clear,18740,0.9415,0.0415,0.3434
yulara,15,clean,112.0087,59.0813,icp_norm,transitional,12945,0.8066,-0.0934,0.2988
yulara,15,clean,112.0087,59.0813,icp_norm,cloudy,3230,0.9635,0.0635,0.2971
yulara,15,clean,112.0087,59.0813,mondrian,all,34915,0.8945,-0.0055,0.1928
yulara,15,clean,112.0087,59.0813,mondrian,clear,18740,0.8994,-0.0006,0.09
yulara,15,clean,112.0087,59.0813,mondrian,transitional,12945,0.8861,-0.0139,0.3581
yulara,15,clean,112.0087,59.0813,mondrian,cloudy,3230,0.9,0.0,0.1798
yulara,15,clean,112.0087,59.0813,cqr,all,34915,0.9013,0.0013,0.196
yulara,15,clean,112.0087,59.0813,cqr,clear,18740,0.903,0.003,0.0957
yulara,15,clean,112.0087,59.0813,cqr,transitional,12945,0.8861,-0.0139,0.3242
yulara,15,clean,112.0087,59.0813,cqr,cloudy,3230,0.9523,0.0523,0.3386
yulara,15,clean,112.0087,59.0813,mondrian_cqr,all,34915,0.9013,0.0013,0.1966
yulara,15,clean,112.0087,59.0813,mondrian_cqr,clear,18740,0.9021,0.0021,0.0946
yulara,15,clean,112.0087,59.0813,mondrian_cqr,transitional,12945,0.8977,-0.0023,0.3323
yulara,15,clean,112.0087,59.0813,mondrian_cqr,cloudy,3230,0.9108,0.0108,0.3163
yulara,30,published,125.3295,70.4292,icp,all,38960,0.8721,-0.0279,0.2451
yulara,30,published,125.3295,70.4292,icp,clear,20991,0.9748,0.0748,0.2721
yulara,30,published,125.3295,70.4292,icp,transitional,14472,0.7178,-0.1822,0.2451
yulara,30,published,125.3295,70.4292,icp,cloudy,3497,0.8942,-0.0058,0.2659
yulara,30,published,125.3295,70.4292,icp_norm,all,38960,0.8891,-0.0109,0.3426
yulara,30,published,125.3295,70.4292,icp_norm,clear,20991,0.9402,0.0402,0.389
yulara,30,published,125.3295,70.4292,icp_norm,transitional,14472,0.8014,-0.0986,0.3361
yulara,30,published,125.3295,70.4292,icp_norm,cloudy,3497,0.9457,0.0457,0.3473
yulara,30,published,125.3295,70.4292,mondrian,all,38960,0.8914,-0.0086,0.2193
yulara,30,published,125.3295,70.4292,mondrian,clear,20991,0.8958,-0.0042,0.1107
yulara,30,published,125.3295,70.4292,mondrian,transitional,14472,0.8839,-0.0161,0.3887
yulara,30,published,125.3295,70.4292,mondrian,cloudy,3497,0.8959,-0.0041,0.2678
yulara,30,published,125.3295,70.4292,cqr,all,38960,0.9054,0.0054,0.2303
yulara,30,published,125.3295,70.4292,cqr,clear,20991,0.9038,0.0038,0.1242
yulara,30,published,125.3295,70.4292,cqr,transitional,14472,0.8964,-0.0036,0.3601
yulara,30,published,125.3295,70.4292,cqr,cloudy,3497,0.9525,0.0525,0.4642
yulara,30,published,125.3295,70.4292,mondrian_cqr,all,38960,0.9046,0.0046,0.2305
yulara,30,published,125.3295,70.4292,mondrian_cqr,clear,20991,0.9043,0.0043,0.1248
yulara,30,published,125.3295,70.4292,mondrian_cqr,transitional,14472,0.9035,0.0035,0.3658
yulara,30,published,125.3295,70.4292,mondrian_cqr,cloudy,3497,0.9108,0.0108,0.4366
yulara,30,clean,123.3798,69.0674,icp,all,33990,0.8796,-0.0204,0.2506
yulara,30,clean,123.3798,69.0674,icp,clear,18337,0.9781,0.0781,0.2787
yulara,30,clean,123.3798,69.0674,icp,transitional,12523,0.7285,-0.1715,0.2506
yulara,30,clean,123.3798,69.0674,icp,cloudy,3130,0.9067,0.0067,0.2705
yulara,30,clean,123.3798,69.0674,icp_norm,all,33990,0.8933,-0.0067,0.3495
yulara,30,clean,123.3798,69.0674,icp_norm,clear,18337,0.9414,0.0414,0.3984
yulara,30,clean,123.3798,69.0674,icp_norm,transitional,12523,0.8087,-0.0913,0.3421
yulara,30,clean,123.3798,69.0674,icp_norm,cloudy,3130,0.9505,0.0505,0.3508
yulara,30,clean,123.3798,69.0674,mondrian,all,33990,0.8956,-0.0044,0.2191
yulara,30,clean,123.3798,69.0674,mondrian,clear,18337,0.9015,0.0015,0.1129
yulara,30,clean,123.3798,69.0674,mondrian,transitional,12523,0.8874,-0.0126,0.3895
yulara,30,clean,123.3798,69.0674,mondrian,cloudy,3130,0.8936,-0.0064,0.256
yulara,30,clean,123.3798,69.0674,cqr,all,33990,0.908,0.008,0.2285
yulara,30,clean,123.3798,69.0674,cqr,clear,18337,0.9085,0.0085,0.1228
yulara,30,clean,123.3798,69.0674,cqr,transitional,12523,0.896,-0.004,0.3582
yulara,30,clean,123.3798,69.0674,cqr,cloudy,3130,0.9534,0.0534,0.4614
yulara,30,clean,123.3798,69.0674,mondrian_cqr,all,33990,0.9068,0.0068,0.229
yulara,30,clean,123.3798,69.0674,mondrian_cqr,clear,18337,0.9096,0.0096,0.1244
yulara,30,clean,123.3798,69.0674,mondrian_cqr,transitional,12523,0.9033,0.0033,0.3645
yulara,30,clean,123.3798,69.0674,mondrian_cqr,cloudy,3130,0.9042,0.0042,0.4287
yulara,60,published,138.4229,84.1081,icp,all,36794,0.8702,-0.0298,0.2805
yulara,60,published,138.4229,84.1081,icp,clear,19929,0.9679,0.0679,0.3118
yulara,60,published,138.4229,84.1081,icp,transitional,13590,0.7353,-0.1647,0.28
yulara,60,published,138.4229,84.1081,icp,cloudy,3275,0.8348,-0.0652,0.3099
yulara,60,published,138.4229,84.1081,icp_norm,all,36794,0.8923,-0.0077,0.3909
yulara,60,published,138.4229,84.1081,icp_norm,clear,19929,0.9339,0.0339,0.4379
yulara,60,published,138.4229,84.1081,icp_norm,transitional,13590,0.8229,-0.0771,0.3896
yulara,60,published,138.4229,84.1081,icp_norm,cloudy,3275,0.927,0.027,0.4133
yulara,60,published,138.4229,84.1081,mondrian,all,36794,0.8981,-0.0019,0.2548
yulara,60,published,138.4229,84.1081,mondrian,clear,19929,0.8997,-0.0003,0.1411
yulara,60,published,138.4229,84.1081,mondrian,transitional,13590,0.8948,-0.0052,0.4249
yulara,60,published,138.4229,84.1081,mondrian,cloudy,3275,0.9014,0.0014,0.3764
yulara,60,published,138.4229,84.1081,cqr,all,36794,0.9094,0.0094,0.2686
yulara,60,published,138.4229,84.1081,cqr,clear,19929,0.9048,0.0048,0.1683
yulara,60,published,138.4229,84.1081,cqr,transitional,13590,0.903,0.003,0.3919
yulara,60,published,138.4229,84.1081,cqr,cloudy,3275,0.9637,0.0637,0.5449
yulara,60,published,138.4229,84.1081,mondrian_cqr,all,36794,0.9078,0.0078,0.2681
yulara,60,published,138.4229,84.1081,mondrian_cqr,clear,19929,0.9085,0.0085,0.1722
yulara,60,published,138.4229,84.1081,mondrian_cqr,transitional,13590,0.9032,0.0032,0.3922
yulara,60,published,138.4229,84.1081,mondrian_cqr,cloudy,3275,0.9224,0.0224,0.5103
yulara,60,clean,136.1371,82.4995,icp,all,31970,0.8782,-0.0218,0.2862
yulara,60,clean,136.1371,82.4995,icp,clear,17360,0.9714,0.0714,0.3186
yulara,60,clean,136.1371,82.4995,icp,transitional,11695,0.7453,-0.1547,0.2855
yulara,60,clean,136.1371,82.4995,icp,cloudy,2915,0.8563,-0.0437,0.3151
yulara,60,clean,136.1371,82.4995,icp_norm,all,31970,0.8963,-0.0037,0.3948
yulara,60,clean,136.1371,82.4995,icp_norm,clear,17360,0.9374,0.0374,0.4443
yulara,60,clean,136.1371,82.4995,icp_norm,transitional,11695,0.8257,-0.0743,0.392
yulara,60,clean,136.1371,82.4995,icp_norm,cloudy,2915,0.9345,0.0345,0.4123
yulara,60,clean,136.1371,82.4995,mondrian,all,31970,0.8997,-0.0003,0.2512
yulara,60,clean,136.1371,82.4995,mondrian,clear,17360,0.9056,0.0056,0.1418
yulara,60,clean,136.1371,82.4995,mondrian,transitional,11695,0.8965,-0.0035,0.4251
yulara,60,clean,136.1371,82.4995,mondrian,cloudy,2915,0.8775,-0.0225,0.3335
yulara,60,clean,136.1371,82.4995,cqr,all,31970,0.9095,0.0095,0.2633
