site,horizon_min,protocol,policy,theta,lam,mean_daily,cvar95_daily,value_captured_mean,value_captured_cvar,soc_min,soc_max,selection_objective
asp,60,A_meancvar_lam0.5,mondrian,0.925,0.5,176.87,827.15,0.686,0.7495,0.1,1.0,352.43
asp,60,A_meancvar_lam0.75,mondrian,0.925,0.75,176.87,827.15,0.686,0.7495,0.1,1.0,468.49
asp,60,A_meancvar_lam1.0,mondrian,0.925,1.0,176.87,827.15,0.686,0.7495,0.1,1.0,584.55
asp,60,A,mondrian_cqr,0.825,0.0,140.15,975.36,0.7512,0.7046,0.1,1.0,98.88
asp,60,A_meancvar_lam0.25,mondrian_cqr,0.875,0.25,148.32,812.7,0.7367,0.7539,0.1,1.0,250.4
asp,60,A_meancvar_lam0.5,mondrian_cqr,0.875,0.5,148.32,812.7,0.7367,0.7539,0.1,1.0,397.03
asp,60,A_meancvar_lam0.75,mondrian_cqr,0.875,0.75,148.32,812.7,0.7367,0.7539,0.1,1.0,543.67
asp,60,A_meancvar_lam1.0,mondrian_cqr,0.9,1.0,162.5,782.39,0.7115,0.7631,0.1,1.0,687.69
yulara,5,A,cqr,0.8,0.0,7.0,68.78,0.9591,0.9043,0.1,1.0,3.9
yulara,5,A_meancvar_lam0.25,cqr,0.8,0.25,7.0,68.78,0.9591,0.9043,0.1,1.0,13.88
yulara,5,A_meancvar_lam0.5,cqr,0.8,0.5,7.0,68.78,0.9591,0.9043,0.1,1.0,23.86
yulara,5,A_meancvar_lam0.75,cqr,0.8,0.75,7.0,68.78,0.9591,0.9043,0.1,1.0,33.84
yulara,5,A_meancvar_lam1.0,cqr,0.8,1.0,7.0,68.78,0.9591,0.9043,0.1,1.0,43.81
yulara,5,A,icp,0.9,0.0,12.76,170.27,0.9255,0.7632,0.1,1.0,2.48
yulara,5,A_meancvar_lam0.25,icp,0.9,0.25,12.76,170.27,0.9255,0.7632,0.1,1.0,11.44
yulara,5,A_meancvar_lam0.5,icp,0.9,0.5,12.76,170.27,0.9255,0.7632,0.1,1.0,20.4
yulara,5,A_meancvar_lam0.75,icp,0.9,0.75,12.76,170.27,0.9255,0.7632,0.1,1.0,29.36
yulara,5,A_meancvar_lam1.0,icp,0.9,1.0,12.76,170.27,0.9255,0.7632,0.1,1.0,38.32
yulara,5,A,mondrian,0.825,0.0,8.04,103.34,0.9531,0.8563,0.1,1.0,4.56
yulara,5,A_meancvar_lam0.25,mondrian,0.825,0.25,8.04,103.34,0.9531,0.8563,0.1,1.0,16.55
yulara,5,A_meancvar_lam0.5,mondrian,0.825,0.5,8.04,103.34,0.9531,0.8563,0.1,1.0,28.55
yulara,5,A_meancvar_lam0.75,mondrian,0.825,0.75,8.04,103.34,0.9531,0.8563,0.1,1.0,40.54
yulara,5,A_meancvar_lam1.0,mondrian,0.825,1.0,8.04,103.34,0.9531,0.8563,0.1,1.0,52.54
yulara,5,A,mondrian_cqr,0.8,0.0,6.92,68.93,0.9596,0.9041,0.1,1.0,3.69
yulara,5,A_meancvar_lam0.25,mondrian_cqr,0.8,0.25,6.92,68.93,0.9596,0.9041,0.1,1.0,13.75
yulara,5,A_meancvar_lam0.5,mondrian_cqr,0.8,0.5,6.92,68.93,0.9596,0.9041,0.1,1.0,23.82
yulara,5,A_meancvar_lam0.75,mondrian_cqr,0.8,0.75,6.92,68.93,0.9596,0.9041,0.1,1.0,33.89
yulara,5,A_meancvar_lam1.0,mondrian_cqr,0.8,1.0,6.92,68.93,0.9596,0.9041,0.1,1.0,43.96
yulara,15,A,cqr,0.8,0.0,31.73,228.37,0.9071,0.8617,0.1,1.0,19.5
yulara,15,A_meancvar_lam0.25,cqr,0.8,0.25,31.73,228.37,0.9071,0.8617,0.1,1.0,56.04
yulara,15,A_meancvar_lam0.5,cqr,0.8,0.5,31.73,228.37,0.9071,0.8617,0.1,1.0,92.59
yulara,15,A_meancvar_lam0.75,cqr,0.8,0.75,31.73,228.37,0.9071,0.8617,0.1,1.0,129.13
yulara,15,A_meancvar_lam1.0,cqr,0.8,1.0,31.73,228.37,0.9071,0.8617,0.1,1.0,165.67
yulara,15,A,icp,0.875,0.0,99.9,794.99,0.7076,0.5184,0.1,1.0,36.89
yulara,15,A_meancvar_lam0.25,icp,0.9,0.25,44.46,440.03,0.8699,0.7335,0.1,1.0,77.55
yulara,15,A_meancvar_lam0.5,icp,0.9,0.5,44.46,440.03,0.8699,0.7335,0.1,1.0,116.85
yulara,15,A_meancvar_lam0.75,icp,0.9,0.75,44.46,440.03,0.8699,0.7335,0.1,1.0,156.16
yulara,15,A_meancvar_lam1.0,icp,0.9,1.0,44.46,440.03,0.8699,0.7335,0.1,1.0,195.47
yulara,15,A,mondrian,0.8,0.0,36.28,382.27,0.8938,0.7684,0.1,1.0,18.97
yulara,15,A_meancvar_lam0.25,mondrian,0.825,0.25,27.91,272.29,0.9183,0.8351,0.1,1.0,60.72
yulara,15,A_meancvar_lam0.5,mondrian,0.825,0.5,27.91,272.29,0.9183,0.8351,0.1,1.0,99.6
yulara,15,A_meancvar_lam0.75,mondrian,0.825,0.75,27.91,272.29,0.9183,0.8351,0.1,1.0,138.48
yulara,15,A_meancvar_lam1.0,mondrian,0.825,1.0,27.91,272.29,0.9183,0.8351,0.1,1.0,177.36
yulara,15,A,mondrian_cqr,0.8,0.0,31.96,227.97,0.9064,0.8619,0.1,1.0,19.58
yulara,15,A_meancvar_lam0.25,mondrian_cqr,0.8,0.25,31.96,227.97,0.9064,0.8619,0.1,1.0,55.99
yulara,15,A_meancvar_lam0.5,mondrian_cqr,0.8,0.5,31.96,227.97,0.9064,0.8619,0.1,1.0,92.4
yulara,15,A_meancvar_lam0.75,mondrian_cqr,0.8,0.75,31.96,227.97,0.9064,0.8619,0.1,1.0,128.81
yulara,15,A_meancvar_lam1.0,mondrian_cqr,0.8,1.0,31.96,227.97,0.9064,0.8619,0.1,1.0,165.22
