site,method,variant,horizon_min,nominal,scope,n,PICP,ACE,PINAW,Winkler
asp,aci_g0.02,delayed,15,0.95,all,43497,0.9713,0.0213,0.332,623.7
asp,aci_g0.05,delayed,15,0.95,all,43497,0.968,0.018,0.3536,654.38
asp,aci_g0.1,delayed,15,0.95,all,43497,0.9586,0.0086,0.3961,714.29
asp,aci_g0.01,anticipative,30,0.8,all,42411,0.8412,0.0412,0.1375,365.08
asp,aci_g0.02,anticipative,30,0.8,all,42411,0.8491,0.0491,0.1403,332.24
asp,aci_g0.05,anticipative,30,0.8,all,42411,0.833,0.033,0.1465,312.94
asp,aci_g0.1,anticipative,30,0.8,all,42411,0.8203,0.0203,0.1636,325.96
asp,aci_g0.01,delayed,30,0.8,all,42411,0.8368,0.0368,0.1485,395.88
asp,aci_g0.02,delayed,30,0.8,all,42411,0.8434,0.0434,0.1707,394.74
asp,aci_g0.05,delayed,30,0.8,all,42411,0.8256,0.0256,0.2249,456.38
asp,aci_g0.1,delayed,30,0.8,all,42411,0.8125,0.0125,0.3076,577.22
asp,aci_g0.01,anticipative,30,0.9,all,42411,0.9339,0.0339,0.2328,488.11
asp,aci_g0.02,anticipative,30,0.9,all,42411,0.9401,0.0401,0.2216,445.06
asp,aci_g0.05,anticipative,30,0.9,all,42411,0.9314,0.0314,0.2104,409.1
asp,aci_g0.1,anticipative,30,0.9,all,42411,0.9193,0.0193,0.2216,414.41
asp,aci_g0.01,delayed,30,0.9,all,42411,0.9295,0.0295,0.2545,542.93
asp,aci_g0.02,delayed,30,0.9,all,42411,0.935,0.035,0.2704,542.03
asp,aci_g0.05,delayed,30,0.9,all,42411,0.9233,0.0233,0.3176,602.69
asp,aci_g0.1,delayed,30,0.9,all,42411,0.9099,0.0099,0.3896,704.95
asp,aci_g0.01,anticipative,30,0.95,all,42411,0.9703,0.0203,0.3378,632.89
asp,aci_g0.02,anticipative,30,0.95,all,42411,0.9746,0.0246,0.3219,587.04
asp,aci_g0.05,anticipative,30,0.95,all,42411,0.973,0.023,0.2958,534.96
asp,aci_g0.1,anticipative,30,0.95,all,42411,0.9656,0.0156,0.2958,533.71
asp,aci_g0.01,delayed,30,0.95,all,42411,0.9668,0.0168,0.3649,711.35
asp,aci_g0.02,delayed,30,0.95,all,42411,0.9691,0.0191,0.384,728.2
asp,aci_g0.05,delayed,30,0.95,all,42411,0.9665,0.0165,0.3955,742.97
asp,aci_g0.1,delayed,30,0.95,all,42411,0.9559,0.0059,0.4408,805.37
yulara,aci_g0.01,anticipative,5,0.8,all,40905,0.8096,0.0096,0.0823,268.56
yulara,aci_g0.02,anticipative,5,0.8,all,40905,0.8133,0.0133,0.091,250.53
yulara,aci_g0.05,anticipative,5,0.8,all,40905,0.8096,0.0096,0.1091,241.01
yulara,aci_g0.1,anticipative,5,0.8,all,40905,0.8077,0.0077,0.1345,261.57
yulara,aci_g0.01,delayed,5,0.8,all,40905,0.8096,0.0096,0.0823,268.56
yulara,aci_g0.02,delayed,5,0.8,all,40905,0.8133,0.0133,0.091,250.53
