n,MAE,RMSE,nRMSE,R2,model,horizon_min,train_s,DM_vs_gbm,p_vs_gbm,n_common
39789,43.759361267089844,91.98077392578125,0.15603813529014587,0.9164169430732727,gru,5,51.3,12.96,2.63e-38,39380
39789,43.107948303222656,91.33845520019531,0.15494848787784576,0.917580246925354,gru_tcn,5,74.1,11.51,1.29e-30,39380
39000,62.41408920288086,118.63847351074219,0.19907203316688538,0.8592120409011841,gru,15,50.0,11.36,7.08e-30,38596
39000,66.60911560058594,119.38187408447266,0.20031943917274475,0.8574421405792236,gru_tcn,15,76.7,12.62,1.86e-36,38596
37897,75.2686996459961,130.71865844726562,0.2162746638059616,0.8277037739753723,gru,30,60.2,9.43,4.42e-21,37495
37897,78.2987289428711,129.95982360839844,0.21501916646957397,0.829698383808136,gru_tcn,30,77.5,8.79,1.63e-18,37495
35769,88.73601531982422,146.2804718017578,0.23678617179393768,0.7858352065086365,gru,60,47.2,7.78,7.59e-15,35373
35769,89.59917449951172,144.26266479492188,0.23351992666721344,0.791702926158905,gru_tcn,60,89.7,6.44,1.22e-10,35373
