method,horizon_min,scope,CRPS
icp,5,all,26.386
icp,5,clear,12.72
icp,5,transitional,48.945
icp,5,cloudy,12.983
icp_norm,5,all,26.447
icp_norm,5,clear,17.668
icp_norm,5,transitional,41.663
icp_norm,5,cloudy,14.844
mondrian,5,all,22.292
mondrian,5,clear,10.443
mondrian,5,transitional,41.558
mondrian,5,cloudy,11.885
cqr,5,all,19.888
cqr,5,clear,10.879
cqr,5,transitional,34.138
cqr,5,cloudy,13.631
mondrian_cqr,5,all,19.831
mondrian_cqr,5,clear,10.859
mondrian_cqr,5,transitional,34.102
mondrian_cqr,5,cloudy,13.258
icp,60,all,43.054
icp,60,clear,26.925
icp,60,transitional,65.656
icp,60,cloudy,47.885
icp_norm,60,all,42.721
icp_norm,60,clear,32.709
icp_norm,60,transitional,57.34
icp_norm,60,cloudy,43.331
mondrian,60,all,37.864
mondrian,60,clear,23.24
mondrian,60,transitional,57.502
mondrian,60,cloudy,45.722
cqr,60,all,33.434
cqr,60,clear,20.001
cqr,60,transitional,50.555
cqr,60,cloudy,44.379
mondrian_cqr,60,all,33.375
mondrian_cqr,60,clear,19.997
mondrian_cqr,60,transitional,50.562
mondrian_cqr,60,cloudy,43.72
icp,15,all,34.933
icp,15,clear,18.636
icp,15,transitional,60.412
icp,15,cloudy,26.45
icp_norm,15,all,34.692
icp_norm,15,clear,24.446
icp_norm,15,transitional,51.366
icp_norm,15,cloudy,26.667
mondrian,15,all,29.631
mondrian,15,clear,14.831
mondrian,15,transitional,51.631
mondrian,15,cloudy,26.581
cqr,15,all,25.972
cqr,15,clear,13.382
cqr,15,transitional,43.614
cqr,15,cloudy,27.783
mondrian_cqr,15,all,25.905
mondrian_cqr,15,clear,13.363
mondrian_cqr,15,transitional,43.563
mondrian_cqr,15,cloudy,27.359
icp,30,all,38.9
icp,30,clear,22.007
icp,30,transitional,64.284
icp,30,cloudy,35.665
icp_norm,30,all,38.458
icp_norm,30,clear,27.954
icp_norm,30,transitional,54.784
icp_norm,30,cloudy,34.241
mondrian,30,all,33.319
mondrian,30,clear,17.966
mondrian,30,transitional,55.196
mondrian,30,cloudy,35.244
cqr,30,all,29.155
cqr,30,clear,15.574
cqr,30,transitional,47.361
cqr,30,cloudy,35.523
mondrian_cqr,30,all,29.089
mondrian_cqr,30,clear,15.558
mondrian_cqr,30,transitional,47.336
mondrian_cqr,30,cloudy,34.998
