site,horizon_min,set,pair,n,rate,mean_violation_Wm2
yulara,5,calib_quantiles_only,0.1->0.9,35,0.000872,0.9943
yulara,5,calib_quantiles_only,0.9->0.95,5860,0.146022,3.2438
yulara,5,calib_quantiles_only,0.95->0.975,4796,0.119509,4.157
yulara,60,test_quantiles_only,0.025->0.05,2197,0.059711,9.0502
yulara,60,test_quantiles_only,0.05->0.1,1334,0.036256,10.1187
yulara,60,test_quantiles_only,0.1->0.9,81,0.002201,4.6557
yulara,60,test_quantiles_only,0.9->0.95,4077,0.110806,5.9767
yulara,60,test_quantiles_only,0.95->0.975,4141,0.112546,10.5917
yulara,60,test_with_point_as_median,0.025->0.05,2197,0.059711,9.0502
yulara,60,test_with_point_as_median,0.05->0.1,1334,0.036256,10.1187
yulara,60,test_with_point_as_median,0.1->0.5,3237,0.087976,8.207
yulara,60,test_with_point_as_median,0.5->0.9,500,0.013589,3.5206
yulara,60,test_with_point_as_median,0.9->0.95,4077,0.110806,5.9767
yulara,60,test_with_point_as_median,0.95->0.975,4141,0.112546,10.5917
yulara,60,calib_quantiles_only,0.025->0.05,1786,0.049381,10.9773
yulara,60,calib_quantiles_only,0.05->0.1,1384,0.038266,10.1348
yulara,60,calib_quantiles_only,0.1->0.9,43,0.001189,3.9685
yulara,60,calib_quantiles_only,0.9->0.95,4497,0.124336,5.5615
yulara,60,calib_quantiles_only,0.95->0.975,4156,0.114908,9.7295
yulara,15,test_quantiles_only,0.025->0.05,2863,0.071407,10.2664
yulara,15,test_quantiles_only,0.05->0.1,3685,0.091909,13.8695
yulara,15,test_quantiles_only,0.1->0.9,127,0.003168,4.2313
yulara,15,test_quantiles_only,0.9->0.95,4221,0.105278,4.3237
yulara,15,test_quantiles_only,0.95->0.975,4097,0.102185,6.8537
yulara,15,test_with_point_as_median,0.025->0.05,2863,0.071407,10.2664
yulara,15,test_with_point_as_median,0.05->0.1,3685,0.091909,13.8695
yulara,15,test_with_point_as_median,0.1->0.5,3061,0.076346,3.2085
yulara,15,test_with_point_as_median,0.5->0.9,777,0.019379,3.362
yulara,15,test_with_point_as_median,0.9->0.95,4221,0.105278,4.3237
yulara,15,test_with_point_as_median,0.95->0.975,4097,0.102185,6.8537
yulara,15,calib_quantiles_only,0.025->0.05,3138,0.07976,11.9776
yulara,15,calib_quantiles_only,0.05->0.1,3821,0.09712,15.2795
