method,horizon_min,nominal,scope,n,PICP,ACE,PINAW,Winkler
mondrian,5,0.95,cloudy,3588,0.9509,0.0009,0.1349,263.69
cqr,5,0.95,all,39432,0.9489,-0.0011,0.2237,403.8
cqr,5,0.95,clear,20994,0.9396,-0.0104,0.1453,282.56
cqr,5,0.95,transitional,14850,0.9516,0.0016,0.3392,575.66
cqr,5,0.95,cloudy,3588,0.9925,0.0425,0.3579,401.94
mondrian_cqr,5,0.95,all,39432,0.9491,-0.0009,0.2253,398.81
mondrian_cqr,5,0.95,clear,20994,0.9499,-0.0001,0.1637,280.11
mondrian_cqr,5,0.95,transitional,14850,0.9451,-0.0049,0.3307,576.25
mondrian_cqr,5,0.95,cloudy,3588,0.9607,0.0107,0.3005,358.91
aci,5,0.95,all,39432,0.9635,0.0135,0.257,454.52
aci,5,0.95,clear,20994,0.967,0.017,0.1369,240.32
aci,5,0.95,transitional,14850,0.9545,0.0045,0.4665,802.06
aci,5,0.95,cloudy,3588,0.9799,0.0299,0.2102,269.47
aci_regime,5,0.95,all,39432,0.9558,0.0058,0.2287,421.69
aci_regime,5,0.95,clear,20994,0.95,-0.0,0.1079,217.59
aci_regime,5,0.95,transitional,14850,0.9638,0.0138,0.4375,745.29
aci_regime,5,0.95,cloudy,3588,0.9562,0.0062,0.1638,276.59
aci_g0.01,5,0.95,all,39432,0.9657,0.0157,0.254,488.3
aci_g0.02,5,0.95,all,39432,0.9672,0.0172,0.2566,472.02
aci_g0.05,5,0.95,all,39432,0.9635,0.0135,0.257,454.52
aci_g0.1,5,0.95,all,39432,0.9589,0.0089,0.2733,470.74
icp,60,0.8,all,35424,0.7541,-0.0459,0.1603,534.58
icp,60,0.8,clear,19202,0.933,0.133,0.1771,316.89
icp,60,0.8,transitional,13017,0.52,-0.28,0.1602,841.3
icp,60,0.8,cloudy,3205,0.6334,-0.1666,0.1835,593.1
icp_norm,60,0.8,all,35424,0.7777,-0.0223,0.2367,524.96
icp_norm,60,0.8,clear,19202,0.8995,0.0995,0.2635,413.92
icp_norm,60,0.8,transitional,13017,0.5988,-0.2012,0.2348,696.44
icp_norm,60,0.8,cloudy,3205,0.7741,-0.0259,0.2666,493.8
mondrian,60,0.8,all,35424,0.7926,-0.0074,0.1703,442.11
mondrian,60,0.8,clear,19202,0.8139,0.0139,0.0798,266.16
mondrian,60,0.8,transitional,13017,0.7711,-0.0289,0.3052,677.74
mondrian,60,0.8,cloudy,3205,0.7523,-0.0477,0.2456,539.26
cqr,60,0.8,all,35424,0.8217,0.0217,0.1817,369.02
cqr,60,0.8,clear,19202,0.8366,0.0366,0.0911,222.28
cqr,60,0.8,transitional,13017,0.791,-0.009,0.3008,554.88
cqr,60,0.8,cloudy,3205,0.8574,0.0574,0.3436,493.35
mondrian_cqr,60,0.8,all,35424,0.8211,0.0211,0.1819,368.67
mondrian_cqr,60,0.8,clear,19202,0.8359,0.0359,0.0909,222.24
mondrian_cqr,60,0.8,transitional,13017,0.8029,0.0029,0.3053,554.76
mondrian_cqr,60,0.8,cloudy,3205,0.8062,0.0062,0.3264,490.19
aci,60,0.8,all,35424,0.8271,0.0271,0.1857,349.64
aci,60,0.8,clear,19202,0.8172,0.0172,0.0934,194.93
aci,60,0.8,transitional,13017,0.8411,0.0411,0.3242,560.13
aci,60,0.8,cloudy,3205,0.83,0.03,0.268,421.64
aci_regime,60,0.8,all,35424,0.8179,0.0179,0.1875,367.19
aci_regime,60,0.8,clear,19202,0.7933,-0.0067,0.091,200.51
aci_regime,60,0.8,transitional,13017,0.852,0.052,0.3338,592.64
aci_regime,60,0.8,cloudy,3205,0.8271,0.0271,0.2621,450.15
aci_g0.01,60,0.8,all,35424,0.8235,0.0235,0.1859,424.87
aci_g0.02,60,0.8,all,35424,0.8363,0.0363,0.1867,384.39
aci_g0.05,60,0.8,all,35424,0.8271,0.0271,0.1857,349.64
aci_g0.1,60,0.8,all,35424,0.819,0.019,0.1986,354.53
icp,60,0.9,all,35424,0.8732,-0.0268,0.2832,696.55
icp,60,0.9,clear,19202,0.9685,0.0685,0.315,503.28
icp,60,0.9,transitional,13017,0.7373,-0.1627,0.2826,984.13
icp,60,0.9,cloudy,3205,0.8543,-0.0457,0.3121,686.42
icp_norm,60,0.9,all,35424,0.8932,-0.0068,0.3912,685.42
icp_norm,60,0.9,clear,19202,0.9343,0.0343,0.4383,634.89
icp_norm,60,0.9,transitional,13017,0.8232,-0.0768,0.39,778.97
icp_norm,60,0.9,cloudy,3205,0.931,0.031,0.4127,608.16
mondrian,60,0.9,all,35424,0.8974,-0.0026,0.2512,573.43
mondrian,60,0.9,clear,19202,0.8999,-0.0001,0.1377,401.27
mondrian,60,0.9,transitional,13017,0.8929,-0.0071,0.4234,807.59
mondrian,60,0.9,cloudy,3205,0.9008,0.0008,0.3621,653.87
cqr,60,0.9,all,35424,0.9076,0.0076,0.2667,480.25
cqr,60,0.9,clear,19202,0.9037,0.0037,0.1659,331.11
cqr,60,0.9,transitional,13017,0.8995,-0.0005,0.3899,655.53
cqr,60,0.9,cloudy,3205,0.9641,0.0641,0.5448,661.94
mondrian_cqr,60,0.9,all,35424,0.9057,0.0057,0.2665,478.54
mondrian_cqr,60,0.9,clear,19202,0.9058,0.0058,0.1682,331.23
mondrian_cqr,60,0.9,transitional,13017,0.9033,0.0033,0.3941,655.47
mondrian_cqr,60,0.9,cloudy,3205,0.9151,0.0151,0.5064,642.57
aci,60,0.9,all,35424,0.9301,0.0301,0.2589,447.42
aci,60,0.9,clear,19202,0.9315,0.0315,0.1603,289.22
aci,60,0.9,transitional,13017,0.9283,0.0283,0.4182,672.59
aci,60,0.9,cloudy,3205,0.9292,0.0292,0.3425,480.7
aci_regime,60,0.9,all,35424,0.919,0.019,0.2545,453.5
aci_regime,60,0.9,clear,19202,0.9069,0.0069,0.1372,268.74
aci_regime,60,0.9,transitional,13017,0.9354,0.0354,0.4362,709.2
aci_regime,60,0.9,cloudy,3205,0.9248,0.0248,0.3474,521.92
aci_g0.01,60,0.9,all,35424,0.9316,0.0316,0.2943,544.63
aci_g0.02,60,0.9,all,35424,0.9384,0.0384,0.2807,496.62
aci_g0.05,60,0.9,all,35424,0.9301,0.0301,0.2589,447.42
aci_g0.1,60,0.9,all,35424,0.9194,0.0194,0.2657,447.87
icp,60,0.95,all,35424,0.9412,-0.0088,0.4082,841.85
icp,60,0.95,clear,19202,0.9815,0.0315,0.4573,698.8
icp,60,0.95,transitional,13017,0.8812,-0.0688,0.407,1063.62
icp,60,0.95,cloudy,3205,0.9435,-0.0065,0.4311,798.14
icp_norm,60,0.95,all,35424,0.9505,0.0005,0.5497,856.02
icp_norm,60,0.95,clear,19202,0.9566,0.0066,0.6219,857.18
icp_norm,60,0.95,transitional,13017,0.9355,-0.0145,0.55,889.19
icp_norm,60,0.95,cloudy,3205,0.9744,0.0244,0.532,714.33
mondrian,60,0.95,all,35424,0.9464,-0.0036,0.3274,731.46
mondrian,60,0.95,clear,19202,0.943,-0.007,0.2017,589.84
mondrian,60,0.95,transitional,13017,0.9484,-0.0016,0.5221,929.45
mondrian,60,0.95,cloudy,3205,0.9582,0.0082,0.4725,775.82
cqr,60,0.95,all,35424,0.9518,0.0018,0.3597,589.89
cqr,60,0.95,clear,19202,0.9448,-0.0052,0.2716,452.12
cqr,60,0.95,transitional,13017,0.9523,0.0023,0.4826,752.42
cqr,60,0.95,cloudy,3205,0.9913,0.0413,0.6338,755.24
mondrian_cqr,60,0.95,all,35424,0.9518,0.0018,0.3575,586.5
mondrian_cqr,60,0.95,clear,19202,0.9544,0.0044,0.2858,451.61
mondrian_cqr,60,0.95,transitional,13017,0.9451,-0.0049,0.4698,753.97
mondrian_cqr,60,0.95,cloudy,3205,0.9641,0.0141,0.5736,714.45
aci,60,0.95,all,35424,0.9734,0.0234,0.358,586.55
aci,60,0.95,clear,19202,0.9779,0.0279,0.2693,437.37
aci,60,0.95,transitional,13017,0.9677,0.0177,0.5233,809.15
aci,60,0.95,cloudy,3205,0.9697,0.0197,0.4295,576.24
aci_regime,60,0.95,all,35424,0.9645,0.0145,0.3232,549.44
aci_regime,60,0.95,clear,19202,0.9595,0.0095,0.1935,347.14
aci_regime,60,0.95,transitional,13017,0.9712,0.0212,0.5301,829.65
aci_regime,60,0.95,cloudy,3205,0.9672,0.0172,0.4317,623.43
aci_g0.01,60,0.95,all,35424,0.9708,0.0208,0.4032,682.03
aci_g0.02,60,0.95,all,35424,0.9748,0.0248,0.3861,637.7
aci_g0.05,60,0.95,all,35424,0.9734,0.0234,0.358,586.55
aci_g0.1,60,0.95,all,35424,0.9669,0.0169,0.3449,562.07
icp,15,0.8,all,38651,0.7618,-0.0382,0.116,432.36
icp,15,0.8,clear,20711,0.932,0.132,0.1242,218.37
icp,15,0.8,transitional,14420,0.5087,-0.2913,0.116,768.77
icp,15,0.8,cloudy,3520,0.7977,-0.0023,0.1274,313.3
icp_norm,15,0.8,all,38651,0.7786,-0.0214,0.1661,431.17
icp_norm,15,0.8,clear,20711,0.91,0.11,0.1832,300.8
icp_norm,15,0.8,transitional,14420,0.566,-0.234,0.1606,648.91
icp_norm,15,0.8,cloudy,3520,0.8761,0.0761,0.1738,306.18
mondrian,15,0.8,all,38651,0.7979,-0.0021,0.1252,350.57
mondrian,15,0.8,clear,20711,0.8104,0.0104,0.0383,171.87
mondrian,15,0.8,transitional,14420,0.7788,-0.0212,0.2561,616.39
mondrian,15,0.8,cloudy,3520,0.8026,0.0026,0.129,313.05
cqr,15,0.8,all,38651,0.8046,0.0046,0.135,292.89
cqr,15,0.8,clear,20711,0.8294,0.0294,0.0557,152.99
cqr,15,0.8,transitional,14420,0.7616,-0.0384,0.2469,489.91
cqr,15,0.8,cloudy,3520,0.8352,0.0352,0.1853,308.93
mondrian_cqr,15,0.8,all,38651,0.8075,0.0075,0.137,292.32
mondrian_cqr,15,0.8,clear,20711,0.8175,0.0175,0.0549,152.87
mondrian_cqr,15,0.8,transitional,14420,0.79,-0.01,0.2543,488.69
mondrian_cqr,15,0.8,cloudy,3520,0.8205,0.0205,0.1818,308.33
aci,15,0.8,all,38651,0.8174,0.0174,0.1484,302.79
aci,15,0.8,clear,20711,0.8103,0.0103,0.0507,127.79
aci,15,0.8,transitional,14420,0.8236,0.0236,0.2987,561.52
aci,15,0.8,cloudy,3520,0.8332,0.0332,0.1433,272.5
aci_regime,15,0.8,all,38651,0.81,0.01,0.1447,307.36
aci_regime,15,0.8,clear,20711,0.7858,-0.0142,0.0496,131.96
aci_regime,15,0.8,transitional,14420,0.8423,0.0423,0.2919,562.44
aci_regime,15,0.8,cloudy,3520,0.8202,0.0202,0.1355,294.42
aci_g0.01,15,0.8,all,38651,0.8109,0.0109,0.1317,357.09
aci_g0.02,15,0.8,all,38651,0.821,0.021,0.137,325.4
aci_g0.05,15,0.8,all,38651,0.8174,0.0174,0.1484,302.79
