site,horizon_min,ratio,c_u,c_o,policy,protocol,theta,mean_daily,cvar95_daily,value_captured_mean,value_captured_cvar
yulara,60,10.0,3.0,0.3,cqr,B,0.9091,138.66,595.03,0.7666,0.8458
yulara,60,19.0,5.7,0.3,cqr,A,0.9,147.69,819.41,0.8691,0.8882
yulara,60,19.0,5.7,0.3,cqr,B,0.95,219.36,768.7,0.8056,0.8951
yulara,60,3.0,0.8999999999999999,0.3,deterministic,-,,178.47,1157.83,0.0,0.0
yulara,60,5.0,1.5,0.3,deterministic,-,,297.21,1929.29,0.0,0.0
yulara,60,10.0,3.0,0.3,deterministic,-,,594.07,3857.94,0.0,0.0
yulara,60,19.0,5.7,0.3,deterministic,-,,1128.41,7329.52,0.0,0.0
yulara,60,3.0,0.8999999999999999,0.3,icp,A,0.85,105.84,837.38,0.4069,0.2768
yulara,60,3.0,0.8999999999999999,0.3,icp,B,0.75,171.41,1127.34,0.0395,0.0263
yulara,60,5.0,1.5,0.3,icp,A,0.875,137.99,1176.23,0.5357,0.3903
yulara,60,5.0,1.5,0.3,icp,B,0.8333,199.61,1509.94,0.3284,0.2174
yulara,60,10.0,3.0,0.3,icp,A,0.9,192.95,1732.94,0.6752,0.5508
yulara,60,10.0,3.0,0.3,icp,B,0.9091,181.4,1497.31,0.6946,0.6119
yulara,60,19.0,5.7,0.3,icp,A,0.9,329.29,3264.34,0.7082,0.5546
yulara,60,19.0,5.7,0.3,icp,B,0.95,263.82,762.04,0.7662,0.896
yulara,60,3.0,0.8999999999999999,0.3,mondrian,A,0.8,65.39,544.51,0.6336,0.5297
yulara,60,3.0,0.8999999999999999,0.3,mondrian,B,0.75,83.02,677.73,0.5348,0.4146
yulara,60,5.0,1.5,0.3,mondrian,A,0.825,89.04,750.65,0.7004,0.6109
yulara,60,5.0,1.5,0.3,mondrian,B,0.8333,87.43,701.03,0.7058,0.6366
yulara,60,10.0,3.0,0.3,mondrian,A,0.875,123.86,896.67,0.7915,0.7676
yulara,60,10.0,3.0,0.3,mondrian,B,0.9091,138.14,686.67,0.7675,0.822
yulara,60,19.0,5.7,0.3,mondrian,A,0.9,159.51,1070.5,0.8586,0.8539
yulara,60,19.0,5.7,0.3,mondrian,B,0.95,228.8,828.64,0.7972,0.8869
yulara,60,3.0,0.8999999999999999,0.3,mondrian_cqr,A,0.775,53.28,343.0,0.7014,0.7038
yulara,60,3.0,0.8999999999999999,0.3,mondrian_cqr,B,0.75,52.55,355.69,0.7055,0.6928
yulara,60,5.0,1.5,0.3,mondrian_cqr,A,0.8,73.08,472.77,0.7541,0.7549
yulara,60,5.0,1.5,0.3,mondrian_cqr,B,0.8333,80.99,464.3,0.7275,0.7593
yulara,60,10.0,3.0,0.3,mondrian_cqr,A,0.875,116.07,610.23,0.8046,0.8418
yulara,60,10.0,3.0,0.3,mondrian_cqr,B,0.9091,146.18,602.2,0.7539,0.8439
yulara,60,19.0,5.7,0.3,mondrian_cqr,A,0.875,139.21,904.24,0.8766,0.8766
yulara,60,19.0,5.7,0.3,mondrian_cqr,B,0.95,229.64,792.82,0.7965,0.8918
yulara,60,3.0,0.8999999999999999,0.3,oracle,-,,0.0,0.0,1.0,1.0
yulara,60,5.0,1.5,0.3,oracle,-,,0.0,0.0,1.0,1.0
yulara,60,10.0,3.0,0.3,oracle,-,,0.0,0.0,1.0,1.0
yulara,60,19.0,5.7,0.3,oracle,-,,0.0,0.0,1.0,1.0
