site,horizon_min,protocol,policy,theta,mean_ci,cvar_ci,vc_mean_ci,vc_cvar_ci
asp,30,B_critical_fractile,cqr,0.909,"[115.4168, 149.3972]","[480.0941, 574.7342]","[0.6661, 0.7452]","[0.7378, 0.8071]"
asp,30,R0_test_argmin_coarse,icp,0.9,"[83.5457, 125.0833]","[641.3822, 981.8501]","[0.7389, 0.8027]","[0.6052, 0.7046]"
asp,30,A,icp,0.875,"[118.0784, 180.7129]","[969.9689, 1354.0445]","[0.6375, 0.7099]","[0.4651, 0.5478]"
asp,30,A_meancvar_lam0.5,icp,0.925,"[103.3088, 127.9185]","[375.2976, 597.9339]","[0.7051, 0.7788]","[0.754, 0.8303]"
asp,30,B_critical_fractile,icp,0.909,"[81.2191, 115.7923]","[525.3123, 835.4228]","[0.752, 0.8134]","[0.6645, 0.7596]"
asp,30,R0_test_argmin_coarse,mondrian,0.8,"[70.749, 114.5671]","[627.0142, 1055.1039]","[0.762, 0.8315]","[0.5694, 0.7123]"
asp,30,A,mondrian,0.85,"[64.9477, 98.4542]","[427.3331, 828.3867]","[0.7902, 0.851]","[0.6566, 0.8083]"
asp,30,A_meancvar_lam0.5,mondrian,0.875,"[77.2222, 107.8355]","[377.8541, 722.7488]","[0.7667, 0.8258]","[0.6968, 0.8332]"
asp,30,B_critical_fractile,mondrian,0.909,"[110.6244, 141.9414]","[414.119, 627.7874]","[0.6845, 0.7557]","[0.73, 0.8266]"
asp,30,R0_test_argmin_coarse,mondrian_cqr,0.8,"[63.1032, 90.4328]","[407.721, 634.4935]","[0.8024, 0.8577]","[0.722, 0.8255]"
asp,30,A,mondrian_cqr,0.825,"[67.7964, 94.8639]","[396.3107, 600.4015]","[0.7919, 0.8479]","[0.7354, 0.831]"
asp,30,A_meancvar_lam0.5,mondrian_cqr,0.825,"[67.7964, 94.8639]","[396.3107, 600.4015]","[0.7919, 0.8479]","[0.7354, 0.831]"
asp,30,B_critical_fractile,mondrian_cqr,0.909,"[116.1014, 150.2421]","[481.7465, 576.0066]","[0.6642, 0.7436]","[0.7372, 0.8065]"
asp,60,R0_test_argmin_coarse,cqr,0.8,"[116.9257, 171.5514]","[785.6447, 1308.4939]","[0.7056, 0.7831]","[0.6042, 0.7561]"
asp,60,A,cqr,0.825,"[114.9202, 166.9626]","[743.4002, 1230.575]","[0.7118, 0.7879]","[0.6261, 0.7696]"
asp,60,A_meancvar_lam0.5,cqr,0.875,"[125.5362, 172.6249]","[651.2814, 1010.9355]","[0.6949, 0.7726]","[0.687, 0.804]"
asp,60,B_critical_fractile,cqr,0.909,"[145.9522, 192.9336]","[662.4924, 904.9492]","[0.6532, 0.7398]","[0.7151, 0.8053]"
asp,60,R0_test_argmin_coarse,icp,0.9,"[162.1066, 240.1832]","[1291.2336, 1791.4977]","[0.6057, 0.6841]","[0.4827, 0.5743]"
asp,60,A,icp,0.875,"[196.8787, 301.1468]","[1690.0873, 2255.1171]","[0.5233, 0.6026]","[0.3658, 0.4383]"
asp,60,A_meancvar_lam0.5,icp,0.95,"[251.9731, 285.0844]","[622.8571, 924.5611]","[0.4402, 0.5892]","[0.7188, 0.8069]"
asp,60,B_critical_fractile,icp,0.909,"[158.2892, 227.0405]","[1145.325, 1614.9449]","[0.6187, 0.6974]","[0.5266, 0.6254]"
asp,60,R0_test_argmin_coarse,mondrian,0.9,"[129.4182, 180.7817]","[686.7229, 1215.9881]","[0.6847, 0.765]","[0.634, 0.7879]"
asp,60,A,mondrian,0.875,"[119.3299, 176.866]","[816.1128, 1417.294]","[0.6996, 0.7761]","[0.5792, 0.7404]"
asp,60,A_meancvar_lam0.5,mondrian,0.925,"[153.4747, 201.6414]","[629.78, 1069.8856]","[0.6374, 0.7284]","[0.676, 0.8095]"
asp,60,B_critical_fractile,mondrian,0.909,"[135.9161, 185.5842]","[655.2405, 1153.6791]","[0.6725, 0.7555]","[0.6508, 0.8001]"
asp,60,R0_test_argmin_coarse,mondrian_cqr,0.8,"[116.8657, 171.4155]","[785.2733, 1307.2688]","[0.7059, 0.7833]","[0.6045, 0.7563]"
asp,60,A,mondrian_cqr,0.825,"[114.9606, 166.9885]","[742.2496, 1228.6203]","[0.7115, 0.7878]","[0.6267, 0.77]"
asp,60,A_meancvar_lam0.5,mondrian_cqr,0.875,"[125.3122, 172.2743]","[651.1648, 1009.9605]","[0.6955, 0.7729]","[0.6873, 0.8042]"
asp,60,B_critical_fractile,mondrian_cqr,0.909,"[147.4267, 194.6295]","[665.8032, 905.4271]","[0.6499, 0.7372]","[0.7145, 0.8045]"
yulara,5,R0_test_argmin_coarse,cqr,0.8,"[5.3407, 8.9055]","[51.9031, 86.6124]","[0.9477, 0.9689]","[0.877, 0.9285]"
yulara,5,A,cqr,0.8,"[5.3407, 8.9055]","[51.9031, 86.6124]","[0.9477, 0.9689]","[0.877, 0.9285]"
yulara,5,A_meancvar_lam0.5,cqr,0.8,"[5.3407, 8.9055]","[51.9031, 86.6124]","[0.9477, 0.9689]","[0.877, 0.9285]"
yulara,5,B_critical_fractile,cqr,0.909,"[27.6276, 38.9258]","[169.2572, 205.5792]","[0.7722, 0.8368]","[0.7014, 0.7698]"
yulara,5,R0_test_argmin_coarse,icp,0.9,"[8.4187, 17.912]","[104.3472, 243.4507]","[0.8993, 0.9485]","[0.6778, 0.8472]"
yulara,5,A,icp,0.9,"[8.4187, 17.912]","[104.3472, 243.4507]","[0.8993, 0.9485]","[0.6778, 0.8472]"
yulara,5,A_meancvar_lam0.5,icp,0.9,"[8.4187, 17.912]","[104.3472, 243.4507]","[0.8993, 0.9485]","[0.6778, 0.8472]"
yulara,5,B_critical_fractile,icp,0.909,"[5.5656, 12.9367]","[73.0225, 185.8401]","[0.9267, 0.9661]","[0.7509, 0.8939]"
yulara,5,R0_test_argmin_coarse,mondrian,0.8,"[7.7107, 15.7535]","[85.6554, 207.7203]","[0.9102, 0.9535]","[0.721, 0.8746]"
yulara,5,A,mondrian,0.825,"[5.3029, 11.2766]","[60.7406, 151.185]","[0.9344, 0.9686]","[0.791, 0.9134]"
yulara,5,A_meancvar_lam0.5,mondrian,0.825,"[5.3029, 11.2766]","[60.7406, 151.185]","[0.9344, 0.9686]","[0.791, 0.9134]"
yulara,5,B_critical_fractile,mondrian,0.909,"[26.8495, 36.9753]","[151.3089, 186.2412]","[0.7884, 0.8377]","[0.7314, 0.7941]"
yulara,5,R0_test_argmin_coarse,mondrian_cqr,0.8,"[5.2523, 8.8242]","[52.0426, 86.774]","[0.9482, 0.9694]","[0.8767, 0.9282]"
yulara,5,A,mondrian_cqr,0.8,"[5.2523, 8.8242]","[52.0426, 86.774]","[0.9482, 0.9694]","[0.8767, 0.9282]"
yulara,5,A_meancvar_lam0.5,mondrian_cqr,0.8,"[5.2523, 8.8242]","[52.0426, 86.774]","[0.9482, 0.9694]","[0.8767, 0.9282]"
yulara,5,B_critical_fractile,mondrian_cqr,0.909,"[29.1401, 40.7929]","[173.9996, 209.9703]","[0.7616, 0.8275]","[0.6948, 0.7637]"
yulara,15,R0_test_argmin_coarse,cqr,0.8,"[25.9492, 37.9662]","[175.6559, 283.4356]","[0.8875, 0.924]","[0.8258, 0.8935]"
yulara,15,A,cqr,0.8,"[25.9492, 37.9662]","[175.6559, 283.4356]","[0.8875, 0.924]","[0.8258, 0.8935]"
yulara,15,A_meancvar_lam0.5,cqr,0.8,"[25.9492, 37.9662]","[175.6559, 283.4356]","[0.8875, 0.924]","[0.8258, 0.8935]"
yulara,15,B_critical_fractile,cqr,0.909,"[78.7835, 102.9711]","[337.9796, 414.1613]","[0.6902, 0.7717]","[0.7387, 0.8016]"
yulara,15,R0_test_argmin_coarse,icp,0.9,"[33.3955, 56.9283]","[319.7722, 574.9055]","[0.8415, 0.8963]","[0.6588, 0.8007]"
yulara,15,A,icp,0.875,"[79.4031, 121.7795]","[657.0627, 917.4615]","[0.6718, 0.7442]","[0.4572, 0.5818]"
yulara,15,A_meancvar_lam0.5,icp,0.9,"[33.3955, 56.9283]","[319.7722, 574.9055]","[0.8415, 0.8963]","[0.6588, 0.8007]"
yulara,15,B_critical_fractile,icp,0.909,"[27.2267, 45.2342]","[217.6605, 456.6492]","[0.8703, 0.9177]","[0.7271, 0.8657]"
yulara,15,R0_test_argmin_coarse,mondrian,0.8,"[26.8342, 47.0948]","[269.1151, 500.5139]","[0.8671, 0.9178]","[0.7018, 0.8311]"
yulara,15,A,mondrian,0.8,"[26.8342, 47.0948]","[269.1151, 500.5139]","[0.8671, 0.9178]","[0.7018, 0.8311]"
yulara,15,A_meancvar_lam0.5,mondrian,0.825,"[21.0107, 35.7113]","[183.7406, 373.3748]","[0.8962, 0.9374]","[0.7764, 0.8871]"
yulara,15,B_critical_fractile,mondrian,0.909,"[79.4091, 102.3823]","[328.0729, 405.905]","[0.6955, 0.7665]","[0.7452, 0.8051]"
yulara,15,R0_test_argmin_coarse,mondrian_cqr,0.8,"[26.1595, 38.1517]","[175.8071, 282.205]","[0.8869, 0.9234]","[0.8264, 0.8937]"
yulara,15,A,mondrian_cqr,0.8,"[26.1595, 38.1517]","[175.8071, 282.205]","[0.8869, 0.9234]","[0.8264, 0.8937]"
yulara,15,A_meancvar_lam0.5,mondrian_cqr,0.8,"[26.1595, 38.1517]","[175.8071, 282.205]","[0.8869, 0.9234]","[0.8264, 0.8937]"
yulara,15,B_critical_fractile,mondrian_cqr,0.909,"[83.2858, 108.2131]","[347.7268, 423.5695]","[0.6752, 0.7583]","[0.7324, 0.7961]"
yulara,30,R0_test_argmin_coarse,cqr,0.8,"[47.0381, 68.6935]","[333.163, 512.9022]","[0.8513, 0.8973]","[0.7937, 0.8726]"
yulara,30,A,cqr,0.825,"[52.7074, 73.6846]","[313.7968, 476.4442]","[0.8376, 0.8868]","[0.8074, 0.881]"
yulara,30,A_meancvar_lam0.5,cqr,0.85,"[61.8054, 83.9432]","[316.4101, 461.6674]","[0.8134, 0.8679]","[0.8131, 0.8824]"
yulara,30,B_critical_fractile,cqr,0.909,"[102.1597, 132.4205]","[421.9097, 550.61]","[0.7011, 0.7852]","[0.7743, 0.8457]"
yulara,30,R0_test_argmin_coarse,icp,0.9,"[75.2499, 118.4909]","[693.3951, 1009.6776]","[0.7604, 0.8248]","[0.61, 0.7216]"
yulara,30,A,icp,0.875,"[131.9547, 204.8489]","[1153.2762, 1563.2481]","[0.6037, 0.6772]","[0.4168, 0.5249]"
yulara,30,A_meancvar_lam0.5,icp,0.925,"[88.0089, 111.0274]","[338.0696, 597.9191]","[0.7478, 0.8179]","[0.7622, 0.8715]"
yulara,30,B_critical_fractile,icp,0.909,"[71.3936, 106.1119]","[546.7621, 836.8688]","[0.7783, 0.8388]","[0.6725, 0.7851]"
yulara,30,R0_test_argmin_coarse,mondrian,0.8,"[65.4144, 106.6983]","[645.4562, 953.0285]","[0.7857, 0.8456]","[0.6347, 0.7379]"
yulara,30,A,mondrian,0.85,"[50.1947, 73.4527]","[324.0116, 560.174]","[0.8409, 0.8897]","[0.7801, 0.8736]"
yulara,30,A_meancvar_lam0.5,mondrian,0.85,"[50.1947, 73.4527]","[324.0116, 560.174]","[0.8409, 0.8897]","[0.7801, 0.8736]"
yulara,30,B_critical_fractile,mondrian,0.909,"[101.0687, 130.4994]","[411.8544, 564.8597]","[0.7063, 0.786]","[0.7712, 0.8479]"
