site,method,horizon_min,nominal,scope,n,PICP_ant,ACE_ant,PINAW_ant,Winkler_ant,PICP_delayed,ACE_delayed,PINAW_delayed,Winkler_delayed,PICP_R0,ACE_R0,PINAW_R0,Winkler_R0,d_PICP_delay,d_PICP_refit,d_PICP_total_vs_R0,d_PINAW_delay,d_Winkler_delay
yulara,aci_regime,30,0.8,all,38960,0.8089,0.0089,0.1625,333.61,0.7962,-0.0038,0.2065,420.25,0.8115,0.0115,0.1632,333.68,-0.0127,-0.0026,-0.0153,0.044,86.64
yulara,aci_regime,30,0.8,clear,20991,0.7813,-0.0187,0.0642,158.08,0.7636,-0.0364,0.1058,233.16,0.786,-0.014,0.0632,155.86,-0.0177,-0.0047,-0.0224,0.0416,75.08
yulara,aci_regime,30,0.8,cloudy,3497,0.8201,0.0201,0.2005,368.31,0.8098,0.0098,0.2495,460.22,0.8199,0.0199,0.1993,371.75,-0.0103,0.0002,-0.0101,0.049,91.91
yulara,aci_regime,30,0.8,transitional,14472,0.8463,0.0463,0.3114,579.83,0.8402,0.0402,0.3645,681.96,0.8465,0.0465,0.3153,583.19,-0.0061,-0.0002,-0.0063,0.0531,102.13
yulara,aci_regime,60,0.8,all,36794,0.8185,0.0185,0.19,370.01,0.7873,-0.0127,0.2593,524.95,0.8179,0.0179,0.1875,367.19,-0.0312,0.0006,-0.0306,0.0693,154.94
yulara,aci_regime,60,0.8,clear,19929,0.7935,-0.0065,0.0955,205.99,0.7549,-0.0451,0.1571,336.75,0.7933,-0.0067,0.091,200.51,-0.0386,0.0002,-0.0384,0.0616,130.76
yulara,aci_regime,60,0.8,cloudy,3275,0.8318,0.0318,0.2714,457.05,0.811,0.011,0.3585,629.86,0.8271,0.0271,0.2621,450.15,-0.0208,0.0047,-0.0161,0.0871,172.81
yulara,aci_regime,60,0.8,transitional,13590,0.852,0.052,0.3319,589.57,0.829,0.029,0.4194,775.67,0.852,0.052,0.3338,592.64,-0.023,0.0,-0.023,0.0875,186.1
yulara,aci_regime,5,0.9,all,40905,0.9067,0.0067,0.1649,324.32,0.9067,0.0067,0.1649,324.32,0.9083,0.0083,0.1659,327.04,0.0,-0.0016,-0.0016,0.0,0.0
yulara,aci_regime,5,0.9,clear,21783,0.8939,-0.0061,0.07,150.74,0.8939,-0.0061,0.07,150.74,0.8966,-0.0034,0.0678,148.86,0.0,-0.0027,-0.0027,0.0,0.0
yulara,aci_regime,5,0.9,cloudy,3686,0.9126,0.0126,0.1148,197.53,0.9126,0.0126,0.1148,197.53,0.913,0.013,0.1086,192.81,0.0,-0.0004,-0.0004,0.0,0.0
yulara,aci_regime,5,0.9,transitional,15436,0.9235,0.0235,0.3256,599.56,0.9235,0.0235,0.3256,599.56,0.9237,0.0237,0.3328,611.38,0.0,-0.0002,-0.0002,0.0,0.0
yulara,aci_regime,15,0.9,all,40094,0.9074,0.0074,0.2059,393.57,0.9001,0.0001,0.2403,460.19,0.9092,0.0092,0.2084,397.08,-0.0073,-0.0018,-0.0091,0.0344,66.62
yulara,aci_regime,15,0.9,clear,21496,0.8932,-0.0068,0.0838,189.33,0.8832,-0.0168,0.1144,249.38,0.8972,-0.0028,0.0839,190.9,-0.01,-0.004,-0.014,0.0306,60.05
yulara,aci_regime,15,0.9,cloudy,3610,0.9108,0.0108,0.1998,382.24,0.905,0.005,0.2287,433.93,0.9091,0.0091,0.2023,386.79,-0.0058,0.0017,-0.0041,0.0289,51.69
yulara,aci_regime,15,0.9,transitional,14988,0.9269,0.0269,0.3957,689.22,0.9231,0.0231,0.4401,768.87,0.9265,0.0265,0.4018,695.73,-0.0038,0.0004,-0.0034,0.0444,79.65
yulara,aci_regime,30,0.9,all,38960,0.9111,0.0111,0.2268,417.01,0.8925,-0.0075,0.2914,554.72,0.9125,0.0125,0.2264,419.51,-0.0186,-0.0014,-0.02,0.0646,137.71
yulara,aci_regime,30,0.9,clear,20991,0.8962,-0.0038,0.103,218.05,0.8696,-0.0304,0.1687,352.97,0.8991,-0.0009,0.1016,216.87,-0.0266,-0.0029,-0.0295,0.0657,134.92
yulara,aci_regime,30,0.9,cloudy,3497,0.9182,0.0182,0.2735,439.27,0.9036,0.0036,0.335,581.11,0.9177,0.0177,0.274,443.69,-0.0146,0.0005,-0.0141,0.0615,141.84
yulara,aci_regime,30,0.9,transitional,14472,0.9309,0.0309,0.4182,700.21,0.923,0.023,0.4923,840.98,0.9306,0.0306,0.4195,708.55,-0.0079,0.0003,-0.0076,0.0741,140.77
yulara,aci_regime,60,0.9,all,36794,0.9192,0.0192,0.2576,455.83,0.8762,-0.0238,0.3191,658.66,0.919,0.019,0.2545,453.5,-0.043,0.0002,-0.0428,0.0615,202.83
yulara,aci_regime,60,0.9,clear,19929,0.907,0.007,0.143,272.3,0.8509,-0.0491,0.1893,459.62,0.9069,0.0069,0.1372,268.74,-0.0561,0.0001,-0.056,0.0463,187.32
yulara,aci_regime,60,0.9,cloudy,3275,0.9261,0.0261,0.357,532.63,0.898,-0.002,0.4606,782.92,0.9248,0.0248,0.3474,521.92,-0.0281,0.0013,-0.0268,0.1036,250.29
yulara,aci_regime,60,0.9,transitional,13590,0.9354,0.0354,0.4339,706.45,0.9082,0.0082,0.5177,920.59,0.9354,0.0354,0.4362,709.2,-0.0272,0.0,-0.0272,0.0838,214.14
yulara,aci_regime,5,0.95,all,40905,0.9551,0.0051,0.2281,419.61,0.9551,0.0051,0.2281,419.61,0.9558,0.0058,0.2287,421.69,0.0,-0.0007,-0.0007,0.0,0.0
yulara,aci_regime,5,0.95,clear,21783,0.9486,-0.0014,0.1093,216.67,0.9486,-0.0014,0.1093,216.67,0.95,-0.0,0.1079,217.59,0.0,-0.0014,-0.0014,0.0,0.0
yulara,aci_regime,5,0.95,cloudy,3686,0.9571,0.0071,0.1621,267.78,0.9571,0.0071,0.1621,267.78,0.9562,0.0062,0.1638,276.59,0.0,0.0009,0.0009,0.0,0.0
yulara,aci_regime,5,0.95,transitional,15436,0.9637,0.0137,0.4339,742.24,0.9637,0.0137,0.4339,742.24,0.9638,0.0138,0.4375,745.29,0.0,-0.0001,-0.0001,0.0,0.0
yulara,aci_regime,15,0.95,all,40094,0.9561,0.0061,0.277,495.4,0.9483,-0.0017,0.3203,595.32,0.9569,0.0069,0.2806,497.47,-0.0078,-0.0008,-0.0086,0.0433,99.92
yulara,aci_regime,15,0.95,clear,21496,0.9492,-0.0008,0.1341,272.47,0.9392,-0.0108,0.1731,362.95,0.9512,0.0012,0.1332,268.33,-0.01,-0.002,-0.012,0.039,90.48
yulara,aci_regime,15,0.95,cloudy,3610,0.9571,0.0071,0.2721,462.5,0.9482,-0.0018,0.3223,594.41,0.9563,0.0063,0.276,471.49,-0.0089,0.0008,-0.0081,0.0502,131.91
yulara,aci_regime,15,0.95,transitional,14988,0.9658,0.0158,0.5027,823.05,0.9614,0.0114,0.5553,928.81,0.9652,0.0152,0.513,832.93,-0.0044,0.0006,-0.0038,0.0526,105.76
yulara,aci_regime,30,0.95,all,38960,0.959,0.009,0.2964,515.51,0.9378,-0.0122,0.3541,691.66,0.9597,0.0097,0.2963,514.81,-0.0212,-0.0007,-0.0219,0.0577,176.15
yulara,aci_regime,30,0.95,clear,20991,0.9519,0.0019,0.1549,298.79,0.9213,-0.0287,0.2078,478.43,0.9534,0.0034,0.1518,294.01,-0.0306,-0.0015,-0.0321,0.0529,179.64
yulara,aci_regime,30,0.95,cloudy,3497,0.9625,0.0125,0.3621,526.24,0.9482,-0.0018,0.4269,721.58,0.9616,0.0116,0.3656,534.38,-0.0143,0.0009,-0.0134,0.0648,195.34
yulara,aci_regime,30,0.95,transitional,14472,0.9684,0.0184,0.5186,827.26,0.9592,0.0092,0.5906,993.72,0.9683,0.0183,0.5224,831.42,-0.0092,0.0001,-0.0091,0.072,166.46
yulara,aci_regime,60,0.95,all,36794,0.9644,0.0144,0.3258,549.41,0.9221,-0.0279,0.3628,787.25,0.9645,0.0145,0.3232,549.44,-0.0423,-0.0001,-0.0424,0.037,237.84
yulara,aci_regime,60,0.95,clear,19929,0.9591,0.0091,0.1991,350.52,0.9013,-0.0487,0.2168,610.54,0.9595,0.0095,0.1935,347.14,-0.0578,-0.0004,-0.0582,0.0177,260.02
yulara,aci_regime,60,0.95,cloudy,3275,0.9679,0.0179,0.4407,630.7,0.9368,-0.0132,0.5131,877.37,0.9672,0.0172,0.4317,623.43,-0.0311,0.0007,-0.0304,0.0724,246.67
yulara,aci_regime,60,0.95,transitional,13590,0.9712,0.0212,0.5267,821.48,0.949,-0.001,0.5887,1024.67,0.9712,0.0212,0.5301,829.65,-0.0222,0.0,-0.0222,0.062,203.19
