method,horizon_min,nominal,scope,n,PICP,ACE,PINAW,Winkler
cqr,60,0.9,all,35424,0.9071,0.0071,0.266,480.31
cqr,60,0.9,clear,19391,0.9096,0.0096,0.1631,317.65
cqr,60,0.9,transitional,12903,0.8888,-0.0112,0.3976,681.19
cqr,60,0.9,cloudy,3130,0.9665,0.0665,0.5201,659.93
icp,60,0.95,all,35424,0.9407,-0.0093,0.4084,843.13
icp,60,0.95,clear,19391,0.9862,0.0362,0.4608,667.56
icp,60,0.95,transitional,12903,0.8707,-0.0793,0.4066,1131.33
icp,60,0.95,cloudy,3130,0.9466,-0.0034,0.4131,742.82
icp_norm,60,0.95,all,35424,0.95,0.0,0.5507,858.02
icp_norm,60,0.95,clear,19391,0.9585,0.0085,0.6273,855.58
icp_norm,60,0.95,transitional,12903,0.9299,-0.0201,0.5499,901.99
icp_norm,60,0.95,cloudy,3130,0.9805,0.0305,0.5098,691.86
mondrian,60,0.95,all,35424,0.9481,-0.0019,0.3206,692.87
mondrian,60,0.95,clear,19391,0.9455,-0.0045,0.1818,510.81
mondrian,60,0.95,transitional,12903,0.9482,-0.0018,0.5356,958.85
mondrian,60,0.95,cloudy,3130,0.9636,0.0136,0.4576,724.34
cqr,60,0.95,all,35424,0.9523,0.0023,0.3604,589.14
cqr,60,0.95,clear,19391,0.9472,-0.0028,0.2716,442.66
cqr,60,0.95,transitional,12903,0.9509,0.0009,0.4903,768.14
cqr,60,0.95,cloudy,3130,0.9901,0.0401,0.6084,758.72
icp,15,0.8,all,38651,0.763,-0.037,0.1156,431.91
icp,15,0.8,clear,20629,0.9492,0.1492,0.1325,175.51
icp,15,0.8,transitional,14604,0.4786,-0.3214,0.1154,843.84
icp,15,0.8,cloudy,3418,0.8534,0.0534,0.2131,219.36
icp_norm,15,0.8,all,38651,0.7773,-0.0227,0.1642,431.07
icp_norm,15,0.8,clear,20629,0.9325,0.1325,0.1946,267.42
icp_norm,15,0.8,transitional,14604,0.52,-0.28,0.1573,709.83
icp_norm,15,0.8,cloudy,3418,0.9397,0.1397,0.2933,227.72
mondrian,15,0.8,all,38651,0.7972,-0.0028,0.1271,328.47
mondrian,15,0.8,clear,20629,0.8082,0.0082,0.0322,118.22
mondrian,15,0.8,transitional,14604,0.7806,-0.0194,0.2738,651.24
mondrian,15,0.8,cloudy,3418,0.8013,0.0013,0.1844,218.25
cqr,15,0.8,all,38651,0.8054,0.0054,0.135,292.92
cqr,15,0.8,clear,20629,0.852,0.052,0.0585,121.5
cqr,15,0.8,transitional,14604,0.7199,-0.0801,0.2469,546.44
cqr,15,0.8,cloudy,3418,0.8894,0.0894,0.3084,244.24
icp,15,0.9,all,38651,0.8779,-0.0221,0.2168,595.31
icp,15,0.9,clear,20629,0.9954,0.0954,0.251,308.64
icp,15,0.9,transitional,14604,0.6903,-0.2097,0.2159,1069.81
icp,15,0.9,cloudy,3418,0.9699,0.0699,0.3796,298.11
icp_norm,15,0.9,all,38651,0.8891,-0.0109,0.3024,586.64
icp_norm,15,0.9,clear,20629,0.9561,0.0561,0.3611,478.68
icp_norm,15,0.9,transitional,14604,0.769,-0.131,0.2911,791.36
icp_norm,15,0.9,cloudy,3418,0.9977,0.0977,0.5011,363.55
mondrian,15,0.9,all,38651,0.892,-0.008,0.1918,421.97
mondrian,15,0.9,clear,20629,0.895,-0.005,0.0778,174.84
mondrian,15,0.9,transitional,14604,0.8867,-0.0133,0.3801,806.02
mondrian,15,0.9,cloudy,3418,0.8964,-0.0036,0.253,272.62
cqr,15,0.9,all,38651,0.8976,-0.0024,0.1987,387.43
cqr,15,0.9,clear,20629,0.9151,0.0151,0.1004,198.05
cqr,15,0.9,transitional,14604,0.8555,-0.0445,0.3264,639.95
cqr,15,0.9,cloudy,3418,0.9722,0.0722,0.6114,451.41
icp,15,0.95,all,38651,0.9377,-0.0123,0.3256,754.86
icp,15,0.95,clear,20629,0.9995,0.0495,0.3809,463.89
icp,15,0.95,transitional,14604,0.8369,-0.1131,0.3232,1250.01
icp,15,0.95,cloudy,3418,0.9956,0.0456,0.5386,395.38
icp_norm,15,0.95,all,38651,0.9455,-0.0045,0.4525,747.02
icp_norm,15,0.95,clear,20629,0.9664,0.0164,0.5457,719.15
icp_norm,15,0.95,transitional,14604,0.9031,-0.0469,0.4371,845.45
icp_norm,15,0.95,cloudy,3418,1.0,0.05,0.6825,494.7
mondrian,15,0.95,all,38651,0.9422,-0.0078,0.2549,505.66
mondrian,15,0.95,clear,20629,0.9454,-0.0046,0.1288,218.97
mondrian,15,0.95,transitional,14604,0.9369,-0.0131,0.4761,953.59
mondrian,15,0.95,cloudy,3418,0.945,-0.005,0.3169,322.04
cqr,15,0.95,all,38651,0.95,-0.0,0.2798,479.93
cqr,15,0.95,clear,20629,0.9461,-0.0039,0.1735,284.7
cqr,15,0.95,transitional,14604,0.9445,-0.0055,0.4173,718.17
cqr,15,0.95,cloudy,3418,0.9968,0.0468,0.882,640.31
icp,30,0.8,all,37549,0.7577,-0.0423,0.1367,483.71
icp,30,0.8,clear,20260,0.9538,0.1538,0.1514,225.39
icp,30,0.8,transitional,13951,0.4742,-0.3258,0.1363,890.74
icp,30,0.8,cloudy,3338,0.7516,-0.0484,0.1675,350.42
icp_norm,30,0.8,all,37549,0.7737,-0.0263,0.1981,478.1
icp_norm,30,0.8,clear,20260,0.9259,0.1259,0.2244,326.21
icp_norm,30,0.8,transitional,13951,0.5299,-0.2701,0.1925,737.58
icp_norm,30,0.8,cloudy,3338,0.8688,0.0688,0.235,315.48
mondrian,30,0.8,all,37549,0.7958,-0.0042,0.1469,375.52
mondrian,30,0.8,clear,20260,0.8131,0.0131,0.0479,164.9
mondrian,30,0.8,transitional,13951,0.7736,-0.0264,0.298,688.58
mondrian,30,0.8,cloudy,3338,0.7831,-0.0169,0.1815,345.46
cqr,30,0.8,all,37549,0.8163,0.0163,0.1543,325.05
cqr,30,0.8,clear,20260,0.8587,0.0587,0.0638,148.9
cqr,30,0.8,transitional,13951,0.7372,-0.0628,0.2769,575.92
cqr,30,0.8,cloudy,3338,0.8901,0.0901,0.2868,345.7
icp,30,0.9,all,37549,0.8736,-0.0264,0.2473,649.23
icp,30,0.9,clear,20260,0.9872,0.0872,0.2762,379.55
icp,30,0.9,transitional,13951,0.6967,-0.2033,0.2463,1095.36
icp,30,0.9,cloudy,3338,0.9233,0.0233,0.2893,421.51
icp_norm,30,0.9,all,37549,0.8896,-0.0104,0.3449,633.48
icp_norm,30,0.9,clear,20260,0.9507,0.0507,0.3937,545.14
icp_norm,30,0.9,transitional,13951,0.7784,-0.1216,0.3369,810.63
icp_norm,30,0.9,cloudy,3338,0.9835,0.0835,0.3802,429.3
mondrian,30,0.9,all,37549,0.8925,-0.0075,0.2197,480.46
mondrian,30,0.9,clear,20260,0.8966,-0.0034,0.0987,243.7
mondrian,30,0.9,transitional,13951,0.886,-0.014,0.4125,837.26
mondrian,30,0.9,cloudy,3338,0.8945,-0.0055,0.2574,426.33
cqr,30,0.9,all,37549,0.9044,0.0044,0.2269,425.39
cqr,30,0.9,clear,20260,0.9123,0.0123,0.1196,242.57
cqr,30,0.9,transitional,13951,0.8757,-0.0243,0.3617,663.58
cqr,30,0.9,cloudy,3338,0.976,0.076,0.4834,539.47
icp,30,0.95,all,37549,0.9364,-0.0136,0.3613,803.67
icp,30,0.95,clear,20260,0.994,0.044,0.4071,546.91
icp,30,0.95,transitional,13951,0.8428,-0.1072,0.3593,1250.26
icp,30,0.95,cloudy,3338,0.9775,0.0275,0.4014,495.61
icp_norm,30,0.95,all,37549,0.9469,-0.0031,0.4946,794.41
icp_norm,30,0.95,clear,20260,0.9638,0.0138,0.5699,778.03
icp_norm,30,0.95,transitional,13951,0.9105,-0.0395,0.4847,876.58
icp_norm,30,0.95,cloudy,3338,0.9967,0.0467,0.4991,550.4
mondrian,30,0.95,all,37549,0.9436,-0.0064,0.2829,584.27
mondrian,30,0.95,clear,20260,0.9462,-0.0038,0.1445,329.96
mondrian,30,0.95,transitional,13951,0.9406,-0.0094,0.5112,972.56
mondrian,30,0.95,cloudy,3338,0.9407,-0.0093,0.3159,504.96
cqr,30,0.95,all,37549,0.9516,0.0016,0.3126,525.54
cqr,30,0.95,clear,20260,0.947,-0.003,0.2026,341.23
cqr,30,0.95,transitional,13951,0.9475,-0.0025,0.4531,750.82
cqr,30,0.95,cloudy,3338,0.9964,0.0464,0.6413,702.71
