method,all,clear,transitional,cloudy
icp,0.878,0.978,0.7142,0.9707
icp_norm,0.8901,0.9398,0.7972,0.9836
mondrian,0.8887,0.8918,0.8807,0.9041
cqr,0.8982,0.9035,0.8785,0.9487
mondrian_cqr,0.899,0.8978,0.897,0.9136
aci,0.9157,0.9188,0.9044,0.9445
aci_regime,0.9083,0.8966,0.9237,0.913
