year,ghi,ghi_alt,temp_air,wind_spd,wind_max,wind_dir,pressure,rain_day,temp_mod1,temp_mod2,pv_total
2016,91.86339732623709,100.0,33.95172020528416,85.34625863270607,49.97022112399417,88.23924475701705,33.949185832858134,33.95172020528416,45.40074763986568,94.86662865108028,93.69574859025533
2017,97.21746575342466,99.97431506849314,31.509703196347033,83.82420091324201,45.05707762557078,90.32534246575342,31.509703196347033,31.509703196347033,40.888508371385086,97.21746575342466,97.21746575342466
2018,93.78234398782344,99.87157534246576,31.37366818873668,83.42275494672755,48.0070395738204,90.01141552511416,31.37366818873668,31.37366818873668,41.479261796042614,93.78234398782344,93.91076864535769
2019,93.03557838660579,97.50190258751903,29.006849315068493,80.06088280060882,39.079147640791476,86.79033485540334,29.006849315068493,29.006849315068493,38.36187214611872,93.03557838660579,95.28538812785388
2020,98.50865209471766,98.73728749241045,31.368586824529448,96.72415755919855,41.90573770491803,80.79083181542198,31.368586824529448,31.368586824529448,40.78058591378264,98.50865209471766,98.55513812993321
2021,97.55993150684932,98.93074581430746,31.218607305936075,83.42465753424658,43.864155251141554,86.16914003044141,31.218607305936075,31.218607305936075,42.29547184170472,97.55993150684932,97.84246575342466
2022,96.06830289193303,97.77492389649925,29.715563165905635,83.95357686453578,41.99105783866058,86.14440639269407,29.715563165905635,29.715563165905635,39.070585996955856,96.06830289193303,97.86149162861491
2023,92.20319634703196,92.4267503805175,92.20319634703196,92.36111111111111,92.20319634703196,92.20319634703196,92.20319634703196,92.20319634703196,92.20319634703196,92.20319634703196,98.712899543379
2024,93.15232240437157,90.98740133576199,93.15516848816029,93.15516848816029,93.15516848816029,93.15516848816029,93.15516848816029,93.15516848816029,93.15516848816029,93.15516848816029,98.57031724347299
