site,horizon_min,scope,kind,method_a,method_b,n,value,ci_lo,ci_hi,dm_stat,dm_p_hac_h,dm_p_hac_day,significant_95
asp,30,all,CRPS_diff,icp,cqr,42411,11.745,10.6879,12.8433,19.662,0.0,0.0,yes
asp,30,all,CRPS_diff,icp,mondrian_cqr,42411,11.7486,10.6887,12.848,19.636,0.0,0.0,yes
asp,30,all,CRPS_diff,icp_norm,mondrian,42411,3.6637,3.0263,4.3091,10.087,0.0,0.0,yes
asp,30,all,CRPS_diff,icp_norm,cqr,42411,9.195,8.5619,9.8432,25.643,0.0,0.0,yes
asp,30,all,CRPS_diff,icp_norm,mondrian_cqr,42411,9.1985,8.5628,9.8487,25.554,0.0,0.0,yes
asp,30,all,CRPS_diff,mondrian,cqr,42411,5.5312,4.8911,6.1902,14.415,0.0,0.0,yes
asp,30,all,CRPS_diff,mondrian,mondrian_cqr,42411,5.5348,4.8945,6.1944,14.409,0.0,0.0,yes
asp,30,all,CRPS_diff,cqr,mondrian_cqr,42411,0.0036,-0.0013,0.0084,1.372,0.067459,0.169964,no
asp,30,all,CRPS_diff_rearranged,cqr|rearranged,cqr|static,42411,-0.008631,-0.013009,-0.004373,-3.556,,0.000377,yes
asp,30,all,CRPS_diff_rearranged,mondrian_cqr|rearranged,mondrian_cqr|static,42411,-0.008695,-0.012941,-0.004503,-3.718,,0.000201,yes
asp,30,clear,CRPS_level,icp|static,,23518,20.4488,19.3436,21.6526,,,,
asp,30,clear,CRPS_level,icp_norm|static,,23518,21.6566,20.6401,22.7559,,,,
asp,30,clear,CRPS_level,mondrian|static,,23518,16.3335,14.5028,18.2764,,,,
asp,30,clear,CRPS_level,cqr|static,,23518,12.3585,11.0782,13.7437,,,,
asp,30,clear,CRPS_level,mondrian_cqr|static,,23518,12.3588,11.0769,13.746,,,,
asp,30,clear,CRPS_level,cqr|rearranged,,23518,12.3588,11.0762,13.7437,,,,
asp,30,clear,CRPS_level,mondrian_cqr|rearranged,,23518,12.3589,11.0754,13.745,,,,
asp,30,clear,CRPS_diff,icp,icp_norm,23518,-1.2078,-1.5248,-0.8881,-6.133,0.0,0.0,yes
asp,30,clear,CRPS_diff,icp,mondrian,23518,4.1153,3.2976,4.8793,6.813,0.0,0.0,yes
asp,30,clear,CRPS_diff,icp,cqr,23518,8.0903,7.6342,8.5264,27.208,0.0,0.0,yes
asp,30,clear,CRPS_diff,icp,mondrian_cqr,23518,8.09,7.6333,8.5269,27.16,0.0,0.0,yes
asp,30,clear,CRPS_diff,icp_norm,mondrian,23518,5.3231,4.3668,6.2128,8.053,0.0,0.0,yes
asp,30,clear,CRPS_diff,icp_norm,cqr,23518,9.2981,8.7737,9.7936,28.968,0.0,0.0,yes
asp,30,clear,CRPS_diff,icp_norm,mondrian_cqr,23518,9.2978,8.7717,9.7941,28.901,0.0,0.0,yes
asp,30,clear,CRPS_diff,mondrian,cqr,23518,3.975,3.3009,4.7076,7.569,0.0,0.0,yes
asp,30,clear,CRPS_diff,mondrian,mondrian_cqr,23518,3.9747,3.302,4.7066,7.574,0.0,0.0,yes
asp,30,clear,CRPS_diff,cqr,mondrian_cqr,23518,-0.0003,-0.0021,0.0014,-0.27,0.715381,0.78682,no
asp,30,clear,CRPS_diff_rearranged,cqr|rearranged,cqr|static,23518,0.000307,-0.005604,0.006662,0.091,,0.927728,no
asp,30,clear,CRPS_diff_rearranged,mondrian_cqr|rearranged,mondrian_cqr|static,23518,0.000133,-0.005793,0.006459,0.039,,0.96864,no
asp,30,cloudy,CRPS_level,icp|static,,3883,38.9486,34.283,44.5476,,,,
asp,30,cloudy,CRPS_level,icp_norm|static,,3883,36.0214,31.9784,40.8606,,,,
asp,30,cloudy,CRPS_level,mondrian|static,,3883,38.0454,33.5853,43.3972,,,,
asp,30,cloudy,CRPS_level,cqr|static,,3883,33.9189,30.388,37.8614,,,,
asp,30,cloudy,CRPS_level,mondrian_cqr|static,,3883,33.9174,30.3904,37.8541,,,,
asp,30,cloudy,CRPS_level,cqr|rearranged,,3883,33.8652,30.3312,37.8151,,,,
asp,30,cloudy,CRPS_level,mondrian_cqr|rearranged,,3883,33.8693,30.336,37.8157,,,,
asp,30,cloudy,CRPS_diff,icp,icp_norm,3883,2.9271,1.928,4.0297,4.994,0.0,1e-06,yes
asp,30,cloudy,CRPS_diff,icp,mondrian,3883,0.9032,0.6011,1.2282,4.7,0.0,3e-06,yes
asp,30,cloudy,CRPS_diff,icp,cqr,3883,5.0297,3.2156,7.1888,4.497,0.0,7e-06,yes
asp,30,cloudy,CRPS_diff,icp,mondrian_cqr,3883,5.0311,3.2028,7.197,4.492,0.0,7e-06,yes
asp,30,cloudy,CRPS_diff,icp_norm,mondrian,3883,-2.024,-2.9533,-1.2014,-4.692,9e-06,3e-06,yes
asp,30,cloudy,CRPS_diff,icp_norm,cqr,3883,2.1025,0.6487,3.7399,2.495,0.000853,0.012649,yes
asp,30,cloudy,CRPS_diff,icp_norm,mondrian_cqr,3883,2.104,0.6403,3.7566,2.482,0.000898,0.013111,yes
asp,30,cloudy,CRPS_diff,mondrian,cqr,3883,4.1265,2.3948,6.1716,4.044,1e-06,5.4e-05,yes
asp,30,cloudy,CRPS_diff,mondrian,mondrian_cqr,3883,4.128,2.3884,6.1781,4.034,1e-06,5.6e-05,yes
asp,30,cloudy,CRPS_diff,cqr,mondrian_cqr,3883,0.0015,-0.0232,0.0265,0.111,0.892494,0.911414,no
asp,30,cloudy,CRPS_diff_rearranged,cqr|rearranged,cqr|static,3883,-0.053749,-0.071016,-0.036517,-5.277,,0.0,yes
asp,30,cloudy,CRPS_diff_rearranged,mondrian_cqr|rearranged,mondrian_cqr|static,3883,-0.048108,-0.065061,-0.030639,-4.779,,2e-06,yes
asp,30,transitional,CRPS_level,icp|static,,15010,66.2196,61.8492,70.5042,,,,
asp,30,transitional,CRPS_level,icp_norm|static,,15010,57.8793,54.5405,61.183,,,,
asp,30,transitional,CRPS_level,mondrian|static,,15010,55.3441,52.5623,58.1332,,,,
asp,30,transitional,CRPS_level,cqr|static,,15010,47.0112,44.8461,49.1103,,,,
asp,30,transitional,CRPS_level,mondrian_cqr|static,,15010,47.001,44.8441,49.0924,,,,
asp,30,transitional,CRPS_level,cqr|rearranged,,15010,47.0002,44.8355,49.1004,,,,
asp,30,transitional,CRPS_level,mondrian_cqr|rearranged,,15010,46.9887,44.8332,49.0816,,,,
asp,30,transitional,CRPS_diff,icp,icp_norm,15010,8.3403,7.1202,9.5412,9.247,0.0,0.0,yes
asp,30,transitional,CRPS_diff,icp,mondrian,15010,10.8755,9.2117,12.5061,9.679,0.0,0.0,yes
asp,30,transitional,CRPS_diff,icp,cqr,15010,19.2084,16.8771,21.5644,12.231,0.0,0.0,yes
asp,30,transitional,CRPS_diff,icp,mondrian_cqr,15010,19.2186,16.8853,21.5797,12.233,0.0,0.0,yes
asp,30,transitional,CRPS_diff,icp_norm,mondrian,15010,2.5352,1.5977,3.4485,4.6,0.0,4e-06,yes
asp,30,transitional,CRPS_diff,icp_norm,cqr,15010,10.868,9.4667,12.2747,13.207,0.0,0.0,yes
asp,30,transitional,CRPS_diff,icp_norm,mondrian_cqr,15010,10.8783,9.4699,12.2909,13.17,0.0,0.0,yes
asp,30,transitional,CRPS_diff,mondrian,cqr,15010,8.3329,7.3607,9.35,13.205,0.0,0.0,yes
asp,30,transitional,CRPS_diff,mondrian,mondrian_cqr,15010,8.3431,7.3672,9.3646,13.231,0.0,0.0,yes
asp,30,transitional,CRPS_diff,cqr,mondrian_cqr,15010,0.0102,-0.0008,0.0216,1.389,0.026094,0.164734,no
asp,30,transitional,CRPS_diff_rearranged,cqr|rearranged,cqr|static,15010,-0.010964,-0.01478,-0.007496,-5.447,,0.0,yes
asp,30,transitional,CRPS_diff_rearranged,mondrian_cqr|rearranged,mondrian_cqr|static,15010,-0.012331,-0.015878,-0.009342,-7.126,,0.0,yes
yulara,60,all,CRPS_level,icp|static,,36794,43.4125,40.4387,46.4226,,,,
yulara,60,all,CRPS_level,icp_norm|static,,36794,43.0037,41.0657,44.9499,,,,
yulara,60,all,CRPS_level,mondrian|static,,36794,38.2547,35.4647,41.085,,,,
yulara,60,all,CRPS_level,cqr|static,,36794,33.796,31.5635,36.0115,,,,
yulara,60,all,CRPS_level,mondrian_cqr|static,,36794,33.7398,31.5156,35.9403,,,,
yulara,60,all,CRPS_level,cqr|rearranged,,36794,33.7955,31.5637,36.0081,,,,
yulara,60,all,CRPS_level,mondrian_cqr|rearranged,,36794,33.738,31.511,35.9391,,,,
yulara,60,all,CRPS_diff,icp,icp_norm,36794,0.4088,-0.7646,1.6173,0.597,0.373103,0.550557,no
yulara,60,all,CRPS_diff,icp,mondrian,36794,5.1577,4.551,5.7849,17.053,0.0,0.0,yes
yulara,60,all,CRPS_diff,icp,cqr,36794,9.6165,8.4655,10.8457,14.102,0.0,0.0,yes
yulara,60,all,CRPS_diff,icp,mondrian_cqr,36794,9.6726,8.5281,10.9052,14.239,0.0,0.0,yes
yulara,60,all,CRPS_diff,icp_norm,mondrian,36794,4.7489,3.6631,5.8049,7.519,0.0,0.0,yes
yulara,60,all,CRPS_diff,icp_norm,cqr,36794,9.2077,8.4314,9.9677,20.323,0.0,0.0,yes
yulara,60,all,CRPS_diff,icp_norm,mondrian_cqr,36794,9.2638,8.5062,10.0035,20.982,0.0,0.0,yes
yulara,60,all,CRPS_diff,mondrian,cqr,36794,4.4587,3.5212,5.4447,7.815,0.0,0.0,yes
yulara,60,all,CRPS_diff,mondrian,mondrian_cqr,36794,4.5149,3.5752,5.5078,7.943,0.0,0.0,yes
yulara,60,all,CRPS_diff,cqr,mondrian_cqr,36794,0.0562,0.0226,0.0898,3.064,8.6e-05,0.002187,yes
yulara,60,all,CRPS_diff_rearranged,cqr|rearranged,cqr|static,36794,-0.000535,-0.005769,0.004616,-0.176,,0.860004,no
yulara,60,all,CRPS_diff_rearranged,mondrian_cqr|rearranged,mondrian_cqr|static,36794,-0.001804,-0.006659,0.002965,-0.616,,0.538136,no
yulara,60,clear,CRPS_level,icp|static,,19929,27.17,25.6015,28.9096,,,,
yulara,60,clear,CRPS_level,icp_norm|static,,19929,32.963,31.7438,34.3032,,,,
yulara,60,clear,CRPS_level,mondrian|static,,19929,23.6707,21.3555,26.2568,,,,
yulara,60,clear,CRPS_level,cqr|static,,19929,20.3241,18.7923,21.9888,,,,
yulara,60,clear,CRPS_level,mondrian_cqr|static,,19929,20.3273,18.8042,21.9729,,,,
yulara,60,clear,CRPS_level,cqr|rearranged,,19929,20.3247,18.7952,21.9875,,,,
yulara,60,clear,CRPS_level,mondrian_cqr|rearranged,,19929,20.3268,18.8052,21.9723,,,,
yulara,60,clear,CRPS_diff,icp,icp_norm,19929,-5.793,-6.3872,-5.144,-13.84,0.0,0.0,yes
yulara,60,clear,CRPS_diff,icp,mondrian,19929,3.4994,2.6296,4.2769,5.325,0.0,0.0,yes
yulara,60,clear,CRPS_diff,icp,cqr,19929,6.8459,6.1981,7.5052,16.752,0.0,0.0,yes
yulara,60,clear,CRPS_diff,icp,mondrian_cqr,19929,6.8428,6.2022,7.4956,17.24,0.0,0.0,yes
yulara,60,clear,CRPS_diff,icp_norm,mondrian,19929,9.2924,7.9173,10.5349,9.322,0.0,0.0,yes
yulara,60,clear,CRPS_diff,icp_norm,cqr,19929,12.6389,11.8841,13.3668,25.799,0.0,0.0,yes
yulara,60,clear,CRPS_diff,icp_norm,mondrian_cqr,19929,12.6358,11.8978,13.3465,26.601,0.0,0.0,yes
yulara,60,clear,CRPS_diff,mondrian,cqr,19929,3.3465,2.3093,4.5313,3.863,0.0,0.000113,yes
yulara,60,clear,CRPS_diff,mondrian,mondrian_cqr,19929,3.3434,2.3071,4.5238,3.872,0.0,0.000108,yes
yulara,60,clear,CRPS_diff,cqr,mondrian_cqr,19929,-0.0031,-0.0261,0.0209,-0.167,0.832085,0.867677,no
yulara,60,clear,CRPS_diff_rearranged,cqr|rearranged,cqr|static,19929,0.000538,-0.006444,0.007344,0.115,,0.908636,no
yulara,60,clear,CRPS_diff_rearranged,mondrian_cqr|rearranged,mondrian_cqr|static,19929,-0.000486,-0.007337,0.006247,-0.107,,0.915123,no
yulara,60,cloudy,CRPS_level,icp|static,,3275,49.3593,43.6705,56.3425,,,,
yulara,60,cloudy,CRPS_level,icp_norm|static,,3275,44.0879,39.9723,48.9767,,,,
yulara,60,cloudy,CRPS_level,mondrian|static,,3275,46.6409,41.9318,52.4814,,,,
yulara,60,cloudy,CRPS_level,cqr|static,,3275,45.3399,42.1041,48.7724,,,,
yulara,60,cloudy,CRPS_level,mondrian_cqr|static,,3275,44.6611,41.3404,48.1536,,,,
yulara,60,cloudy,CRPS_level,cqr|rearranged,,3275,45.3387,42.1012,48.767,,,,
yulara,60,cloudy,CRPS_level,mondrian_cqr|rearranged,,3275,44.6512,41.33,48.1418,,,,
yulara,60,cloudy,CRPS_diff,icp,icp_norm,3275,5.2714,3.032,7.85,5.094,1e-06,0.0,yes
yulara,60,cloudy,CRPS_diff,icp,mondrian,3275,2.7184,1.6885,3.9265,5.355,1e-06,0.0,yes
yulara,60,cloudy,CRPS_diff,icp,cqr,3275,4.0194,0.6868,8.368,2.328,0.026074,0.019973,yes
yulara,60,cloudy,CRPS_diff,icp,mondrian_cqr,3275,4.6982,1.3701,9.0177,2.733,0.008516,0.006313,yes
yulara,60,cloudy,CRPS_diff,icp_norm,mondrian,3275,-2.553,-4.2265,-1.016,-3.269,0.000449,0.001089,yes
yulara,60,cloudy,CRPS_diff,icp_norm,cqr,3275,-1.2521,-2.9736,0.9811,-1.184,0.181211,0.236483,no
yulara,60,cloudy,CRPS_diff,icp_norm,mondrian_cqr,3275,-0.5732,-2.3039,1.6448,-0.545,0.53374,0.585476,no
yulara,60,cloudy,CRPS_diff,mondrian,cqr,3275,1.3009,-1.3329,4.7443,0.91,0.366366,0.362638,no
yulara,60,cloudy,CRPS_diff,mondrian,mondrian_cqr,3275,1.9798,-0.6466,5.4111,1.388,0.167094,0.165322,no
yulara,60,cloudy,CRPS_diff,cqr,mondrian_cqr,3275,0.6788,0.3735,0.9451,4.404,0.0,1.1e-05,yes
yulara,60,cloudy,CRPS_diff_rearranged,cqr|rearranged,cqr|static,3275,-0.001256,-0.012058,0.011851,-0.248,,0.804454,no
yulara,60,cloudy,CRPS_diff_rearranged,mondrian_cqr|rearranged,mondrian_cqr|static,3275,-0.009858,-0.017057,-0.002219,-2.374,,0.017635,yes
yulara,60,transitional,CRPS_level,icp|static,,13590,65.798,61.7812,69.9181,,,,
yulara,60,transitional,CRPS_level,icp_norm|static,,13590,57.4664,54.9574,60.0198,,,,
yulara,60,transitional,CRPS_level,mondrian|static,,13590,57.6205,54.9089,60.4403,,,,
yulara,60,transitional,CRPS_level,cqr|static,,13590,50.7698,48.6928,52.7661,,,,
yulara,60,transitional,CRPS_level,mondrian_cqr|static,,13590,50.7767,48.6933,52.7779,,,,
yulara,60,transitional,CRPS_level,cqr|rearranged,,13590,50.7679,48.687,52.7661,,,,
yulara,60,transitional,CRPS_level,mondrian_cqr|rearranged,,13590,50.7749,48.6926,52.7778,,,,
yulara,60,transitional,CRPS_diff,icp,icp_norm,13590,8.3316,6.5343,10.1767,6.92,0.0,0.0,yes
yulara,60,transitional,CRPS_diff,icp,mondrian,13590,8.1775,6.7962,9.5382,9.357,0.0,0.0,yes
yulara,60,transitional,CRPS_diff,icp,cqr,13590,15.0282,12.7025,17.4407,9.826,0.0,0.0,yes
yulara,60,transitional,CRPS_diff,icp,mondrian_cqr,13590,15.0213,12.6932,17.4389,9.778,0.0,0.0,yes
yulara,60,transitional,CRPS_diff,icp_norm,mondrian,13590,-0.1541,-1.1845,0.8827,-0.208,0.739258,0.835133,no
yulara,60,transitional,CRPS_diff,icp_norm,cqr,13590,6.6966,5.7892,7.6323,11.822,0.0,0.0,yes
yulara,60,transitional,CRPS_diff,icp_norm,mondrian_cqr,13590,6.6897,5.7822,7.6274,11.76,0.0,0.0,yes
yulara,60,transitional,CRPS_diff,mondrian,cqr,13590,6.8507,5.4981,8.2975,7.193,0.0,0.0,yes
yulara,60,transitional,CRPS_diff,mondrian,mondrian_cqr,13590,6.8438,5.4862,8.2984,7.126,0.0,0.0,yes
yulara,60,transitional,CRPS_diff,cqr,mondrian_cqr,13590,-0.0069,-0.0243,0.0094,-0.57,0.349666,0.568639,no
yulara,60,transitional,CRPS_diff_rearranged,cqr|rearranged,cqr|static,13590,-0.001934,-0.009958,0.005636,-0.475,,0.634814,no
yulara,60,transitional,CRPS_diff_rearranged,mondrian_cqr|rearranged,mondrian_cqr|static,13590,-0.001797,-0.008996,0.004924,-0.475,,0.635,no
yulara,5,all,CRPS_level,icp|static,,40905,25.9882,23.8481,28.0862,,,,
yulara,5,all,CRPS_level,icp_norm|static,,40905,26.1051,24.578,27.6227,,,,
yulara,5,all,CRPS_level,mondrian|static,,40905,22.0003,20.1917,23.7883,,,,
yulara,5,all,CRPS_level,cqr|static,,40905,19.6818,18.327,21.0026,,,,
yulara,5,all,CRPS_level,mondrian_cqr|static,,40905,19.6315,18.281,20.9451,,,,
yulara,5,all,CRPS_level,cqr|rearranged,,40905,19.6554,18.3009,20.9773,,,,
yulara,5,all,CRPS_level,mondrian_cqr|rearranged,,40905,19.6039,18.253,20.9201,,,,
yulara,5,all,CRPS_diff,icp,icp_norm,40905,-0.1169,-0.7851,0.5589,-0.289,0.185477,0.772691,no
yulara,5,all,CRPS_diff,icp,mondrian,40905,3.9879,3.5558,4.4204,17.211,0.0,0.0,yes
yulara,5,all,CRPS_diff,icp,cqr,40905,6.3064,5.3377,7.2696,10.675,0.0,0.0,yes
yulara,5,all,CRPS_diff,icp,mondrian_cqr,40905,6.3567,5.3908,7.3151,10.817,0.0,0.0,yes
yulara,5,all,CRPS_diff,icp_norm,mondrian,40905,4.1048,3.6516,4.5474,15.543,0.0,0.0,yes
yulara,5,all,CRPS_diff,icp_norm,cqr,40905,6.4232,5.9506,6.9088,22.275,0.0,0.0,yes
yulara,5,all,CRPS_diff,icp_norm,mondrian_cqr,40905,6.4736,6.0103,6.955,22.883,0.0,0.0,yes
yulara,5,all,CRPS_diff,mondrian,cqr,40905,2.3185,1.6812,2.9693,5.647,0.0,0.0,yes
yulara,5,all,CRPS_diff,mondrian,mondrian_cqr,40905,2.3688,1.7362,3.0153,5.827,0.0,0.0,yes
yulara,5,all,CRPS_diff,cqr,mondrian_cqr,40905,0.0503,0.0357,0.0655,4.792,0.0,2e-06,yes
yulara,5,all,CRPS_diff_rearranged,cqr|rearranged,cqr|static,40905,-0.026415,-0.029622,-0.023295,-12.854,,0.0,yes
yulara,5,all,CRPS_diff_rearranged,mondrian_cqr|rearranged,mondrian_cqr|static,40905,-0.027534,-0.0307,-0.024494,-13.699,,0.0,yes
yulara,5,clear,CRPS_level,icp|static,,21783,12.4632,11.9539,13.0526,,,,
yulara,5,clear,CRPS_level,icp_norm|static,,21783,17.3625,16.9044,17.873,,,,
yulara,5,clear,CRPS_level,mondrian|static,,21783,10.3311,9.5375,11.219,,,,
yulara,5,clear,CRPS_level,cqr|static,,21783,10.7881,10.0437,11.581,,,,
yulara,5,clear,CRPS_level,mondrian_cqr|static,,21783,10.7721,10.0391,11.5499,,,,
yulara,5,clear,CRPS_level,cqr|rearranged,,21783,10.7497,10.0062,11.5407,,,,
yulara,5,clear,CRPS_level,mondrian_cqr|rearranged,,21783,10.7337,10.0022,11.5109,,,,
yulara,5,clear,CRPS_diff,icp,icp_norm,21783,-4.8993,-5.1134,-4.6745,-30.799,0.0,0.0,yes
yulara,5,clear,CRPS_diff,icp,mondrian,21783,2.1321,1.8017,2.4381,8.687,0.0,0.0,yes
yulara,5,clear,CRPS_diff,icp,cqr,21783,1.6751,1.1303,2.2012,3.826,0.0,0.000131,yes
yulara,5,clear,CRPS_diff,icp,mondrian_cqr,21783,1.6911,1.1635,2.2018,3.99,0.0,6.6e-05,yes
yulara,5,clear,CRPS_diff,icp_norm,mondrian,21783,7.0313,6.5687,7.4613,22.554,0.0,0.0,yes
yulara,5,clear,CRPS_diff,icp_norm,cqr,21783,6.5743,6.0185,7.1167,15.273,0.0,0.0,yes
yulara,5,clear,CRPS_diff,icp_norm,mondrian_cqr,21783,6.5904,6.049,7.1207,15.772,0.0,0.0,yes
yulara,5,clear,CRPS_diff,mondrian,cqr,21783,-0.457,-0.9443,0.0634,-1.133,5e-06,0.257378,no
yulara,5,clear,CRPS_diff,mondrian,mondrian_cqr,21783,-0.441,-0.9141,0.066,-1.122,1e-05,0.261728,no
yulara,5,clear,CRPS_diff,cqr,mondrian_cqr,21783,0.016,-0.0007,0.0336,1.078,2.5e-05,0.281073,no
yulara,5,clear,CRPS_diff_rearranged,cqr|rearranged,cqr|static,21783,-0.038406,-0.042887,-0.033876,-11.035,,0.0,yes
yulara,5,clear,CRPS_diff_rearranged,mondrian_cqr|rearranged,mondrian_cqr|static,21783,-0.038366,-0.042945,-0.033758,-10.887,,0.0,yes
yulara,5,cloudy,CRPS_level,icp|static,,3686,12.7984,11.8966,13.8886,,,,
yulara,5,cloudy,CRPS_level,icp_norm|static,,3686,14.5938,13.6334,15.611,,,,
yulara,5,cloudy,CRPS_level,mondrian|static,,3686,11.7689,10.5794,13.2168,,,,
yulara,5,cloudy,CRPS_level,cqr|static,,3686,13.5257,12.6606,14.47,,,,
yulara,5,cloudy,CRPS_level,mondrian_cqr|static,,3686,13.1821,12.2952,14.1655,,,,
yulara,5,cloudy,CRPS_level,cqr|rearranged,,3686,13.5067,12.642,14.4515,,,,
yulara,5,cloudy,CRPS_level,mondrian_cqr|rearranged,,3686,13.1566,12.2702,14.1394,,,,
yulara,5,cloudy,CRPS_diff,icp,icp_norm,3686,-1.7954,-2.3239,-1.2146,-6.2,0.0,0.0,yes
yulara,5,cloudy,CRPS_diff,icp,mondrian,3686,1.0295,0.6333,1.3605,4.977,0.0,1e-06,yes
yulara,5,cloudy,CRPS_diff,icp,cqr,3686,-0.7273,-1.2931,-0.1434,-4.099,1e-06,4.2e-05,yes
yulara,5,cloudy,CRPS_diff,icp,mondrian_cqr,3686,-0.3837,-0.9471,0.1941,-2.53,0.010381,0.011451,no
yulara,5,cloudy,CRPS_diff,icp_norm,mondrian,3686,2.8249,1.9979,3.542,6.473,0.0,0.0,yes
yulara,5,cloudy,CRPS_diff,icp_norm,cqr,3686,1.0682,0.6007,1.4936,4.861,0.0,1e-06,yes
yulara,5,cloudy,CRPS_diff,icp_norm,mondrian_cqr,3686,1.4117,0.9231,1.8488,6.328,0.0,0.0,yes
yulara,5,cloudy,CRPS_diff,mondrian,cqr,3686,-1.7568,-2.5029,-0.9208,-4.828,0.0,1e-06,yes
yulara,5,cloudy,CRPS_diff,mondrian,mondrian_cqr,3686,-1.4132,-2.1482,-0.6008,-4.158,0.0,3.3e-05,yes
yulara,5,cloudy,CRPS_diff,cqr,mondrian_cqr,3686,0.3436,0.2802,0.3971,9.71,0.0,0.0,yes
yulara,5,cloudy,CRPS_diff_rearranged,cqr|rearranged,cqr|static,3686,-0.018952,-0.031136,-0.009305,-3.981,,7e-05,yes
yulara,5,cloudy,CRPS_diff_rearranged,mondrian_cqr|rearranged,mondrian_cqr|static,3686,-0.025482,-0.037382,-0.017249,-5.768,,0.0,yes
yulara,5,transitional,CRPS_level,icp|static,,15436,48.2241,45.0944,51.2533,,,,
yulara,5,transitional,CRPS_level,icp_norm|static,,15436,41.1913,38.907,43.4502,,,,
yulara,5,transitional,CRPS_level,mondrian|static,,15436,40.9108,38.7559,43.0597,,,,
yulara,5,transitional,CRPS_level,cqr|static,,15436,33.7025,32.1031,35.2098,,,,
yulara,5,transitional,CRPS_level,mondrian_cqr|static,,15436,33.6737,32.0862,35.169,,,,
yulara,5,transitional,CRPS_level,cqr|rearranged,,15436,33.6912,32.0913,35.1974,,,,
yulara,5,transitional,CRPS_level,mondrian_cqr|rearranged,,15436,33.661,32.0728,35.1548,,,,
yulara,5,transitional,CRPS_diff,icp,icp_norm,15436,7.0328,6.0246,8.0196,9.719,0.0,0.0,yes
yulara,5,transitional,CRPS_diff,icp,mondrian,15436,7.3132,6.2856,8.273,10.554,0.0,0.0,yes
yulara,5,transitional,CRPS_diff,icp,cqr,15436,14.5216,12.8103,16.2558,11.985,0.0,0.0,yes
yulara,5,transitional,CRPS_diff,icp,mondrian_cqr,15436,14.5504,12.8337,16.2899,11.983,0.0,0.0,yes
yulara,5,transitional,CRPS_diff,icp_norm,mondrian,15436,0.2804,-0.404,1.0008,0.504,0.019423,0.614156,no
yulara,5,transitional,CRPS_diff,icp_norm,cqr,15436,7.4888,6.6206,8.3814,12.385,0.0,0.0,yes
yulara,5,transitional,CRPS_diff,icp_norm,mondrian_cqr,15436,7.5175,6.644,8.4212,12.31,0.0,0.0,yes
yulara,5,transitional,CRPS_diff,mondrian,cqr,15436,7.2083,6.1892,8.2741,9.735,0.0,0.0,yes
yulara,5,transitional,CRPS_diff,mondrian,mondrian_cqr,15436,7.2371,6.2241,8.3056,9.798,0.0,0.0,yes
yulara,5,transitional,CRPS_diff,cqr,mondrian_cqr,15436,0.0288,0.0127,0.0455,2.382,0.0,0.017219,yes
yulara,5,transitional,CRPS_diff_rearranged,cqr|rearranged,cqr|static,15436,-0.011275,-0.014559,-0.007761,-5.236,,0.0,yes
yulara,5,transitional,CRPS_diff_rearranged,mondrian_cqr|rearranged,mondrian_cqr|static,15436,-0.012738,-0.015562,-0.009898,-7.333,,0.0,yes
yulara,15,all,CRPS_level,icp|static,,40094,34.6693,32.0868,37.2196,,,,
yulara,15,all,CRPS_level,icp_norm|static,,40094,34.4607,32.679,36.2035,,,,
yulara,15,all,CRPS_level,mondrian|static,,40094,29.4161,27.0936,31.6864,,,,
yulara,15,all,CRPS_level,cqr|static,,40094,25.8197,23.984,27.6098,,,,
yulara,15,all,CRPS_level,mondrian_cqr|static,,40094,25.7556,23.9291,27.5392,,,,
yulara,15,all,CRPS_level,cqr|rearranged,,40094,25.7888,23.9515,27.5816,,,,
yulara,15,all,CRPS_level,mondrian_cqr|rearranged,,40094,25.7235,23.8958,27.509,,,,
yulara,15,all,CRPS_diff,icp,icp_norm,40094,0.2086,-0.679,1.0983,0.391,0.308266,0.695938,no
yulara,15,all,CRPS_diff,icp,mondrian,40094,5.2532,4.7515,5.7704,20.519,0.0,0.0,yes
yulara,15,all,CRPS_diff,icp,cqr,40094,8.8496,7.7935,9.9312,13.517,0.0,0.0,yes
yulara,15,all,CRPS_diff,icp,mondrian_cqr,40094,8.9137,7.8609,9.9926,13.686,0.0,0.0,yes
yulara,15,all,CRPS_diff,icp_norm,mondrian,40094,5.0446,4.3198,5.7653,11.846,0.0,0.0,yes
yulara,15,all,CRPS_diff,icp_norm,cqr,40094,8.641,8.0363,9.2552,23.199,0.0,0.0,yes
yulara,15,all,CRPS_diff,icp_norm,mondrian_cqr,40094,8.7051,8.1072,9.3104,23.868,0.0,0.0,yes
yulara,15,all,CRPS_diff,mondrian,cqr,40094,3.5964,2.8432,4.3753,7.348,0.0,0.0,yes
yulara,15,all,CRPS_diff,mondrian,mondrian_cqr,40094,3.6605,2.9096,4.4325,7.545,0.0,0.0,yes
yulara,15,all,CRPS_diff,cqr,mondrian_cqr,40094,0.0641,0.0455,0.0834,5.207,0.0,0.0,yes
yulara,15,all,CRPS_diff_rearranged,cqr|rearranged,cqr|static,40094,-0.03091,-0.036957,-0.024951,-7.99,,0.0,yes
yulara,15,all,CRPS_diff_rearranged,mondrian_cqr|rearranged,mondrian_cqr|static,40094,-0.032137,-0.03794,-0.026607,-8.79,,0.0,yes
yulara,15,clear,CRPS_level,icp|static,,21496,18.3742,17.5197,19.3137,,,,
