family,site,horizon_min,metric,policy_a,policy_b,diff_point,p_two_sided,p_holm,method_a,method_b
decision_vc_all96,yulara,30,VC_cvar,mondrian,mondrian_cqr,-0.0153,0.3438,1.0,,
decision_vc_all96,yulara,60,VC_cvar,cqr,mondrian_cqr,-0.0027,0.2048,1.0,,
decision_vc_all96,yulara,60,VC_cvar,icp,cqr,-0.2836,0.0,0.0,,
decision_vc_all96,yulara,60,VC_cvar,icp,mondrian,-0.2136,0.0,0.0,,
decision_vc_all96,yulara,60,VC_cvar,icp,mondrian_cqr,-0.2863,0.0,0.0,,
decision_vc_all96,yulara,60,VC_cvar,mondrian,cqr,-0.07,0.006,0.27,,
decision_vc_all96,yulara,60,VC_cvar,mondrian,mondrian_cqr,-0.0727,0.005,0.23,,
decision_vc_all96,yulara,5,VC_mean,cqr,mondrian_cqr,-0.0005,0.0354,1.0,,
decision_vc_all96,yulara,5,VC_mean,icp,cqr,-0.0335,0.0006,0.0306,,
decision_vc_all96,yulara,5,VC_mean,icp,mondrian,-0.0275,0.0006,0.0306,,
decision_vc_all96,yulara,5,VC_mean,icp,mondrian_cqr,-0.034,0.0006,0.0306,,
decision_vc_all96,yulara,5,VC_mean,mondrian,cqr,-0.006,0.3722,1.0,,
decision_vc_all96,yulara,5,VC_mean,mondrian,mondrian_cqr,-0.0065,0.3284,1.0,,
decision_vc_all96,yulara,15,VC_mean,cqr,mondrian_cqr,0.0007,0.074,1.0,,
decision_vc_all96,yulara,15,VC_mean,icp,cqr,-0.1989,0.0,0.0,,
decision_vc_all96,yulara,15,VC_mean,icp,mondrian,-0.1859,0.0,0.0,,
decision_vc_all96,yulara,15,VC_mean,icp,mondrian_cqr,-0.1982,0.0,0.0,,
decision_vc_all96,yulara,15,VC_mean,mondrian,cqr,-0.0131,0.2742,1.0,,
decision_vc_all96,yulara,15,VC_mean,mondrian,mondrian_cqr,-0.0124,0.3094,1.0,,
decision_vc_all96,yulara,30,VC_mean,cqr,mondrian_cqr,0.0024,0.0,0.0,,
decision_vc_all96,yulara,30,VC_mean,icp,cqr,-0.2233,0.0,0.0,,
decision_vc_all96,yulara,30,VC_mean,icp,mondrian,-0.2268,0.0,0.0,,
decision_vc_all96,yulara,30,VC_mean,icp,mondrian_cqr,-0.221,0.0,0.0,,
decision_vc_all96,yulara,30,VC_mean,mondrian,cqr,0.0035,0.6534,1.0,,
decision_vc_all96,yulara,30,VC_mean,mondrian,mondrian_cqr,0.0059,0.4514,1.0,,
decision_vc_all96,yulara,60,VC_mean,cqr,mondrian_cqr,0.0052,0.0,0.0,,
decision_vc_all96,yulara,60,VC_mean,icp,cqr,-0.1338,0.0,0.0,,
decision_vc_all96,yulara,60,VC_mean,icp,mondrian,-0.1159,0.0,0.0,,
decision_vc_all96,yulara,60,VC_mean,icp,mondrian_cqr,-0.1286,0.0,0.0,,
decision_vc_all96,yulara,60,VC_mean,mondrian,cqr,-0.0179,0.1892,1.0,,
decision_vc_all96,yulara,60,VC_mean,mondrian,mondrian_cqr,-0.0127,0.3702,1.0,,
decision_vc_primary,yulara,5,VC_cvar,icp,mondrian_cqr,-0.1402,0.0,0.0,,
decision_vc_primary,yulara,15,VC_cvar,icp,mondrian_cqr,-0.3401,0.0,0.0,,
decision_vc_primary,yulara,30,VC_cvar,icp,mondrian_cqr,-0.3759,0.0,0.0,,
decision_vc_primary,yulara,60,VC_cvar,icp,mondrian_cqr,-0.2863,0.0,0.0,,
decision_vc_primary,yulara,5,VC_mean,icp,mondrian_cqr,-0.034,0.0006,0.0006,,
decision_vc_primary,yulara,15,VC_mean,icp,mondrian_cqr,-0.1982,0.0,0.0,,
decision_vc_primary,yulara,30,VC_mean,icp,mondrian_cqr,-0.221,0.0,0.0,,
decision_vc_primary,yulara,60,VC_mean,icp,mondrian_cqr,-0.1286,0.0,0.0,,
interval_crps_yulara_all,yulara,60,CRPS,,,0.4088,0.550557,1.0,icp,icp_norm
interval_crps_yulara_all,yulara,60,CRPS,,,5.1577,0.0,0.0,icp,mondrian
interval_crps_yulara_all,yulara,60,CRPS,,,9.6165,0.0,0.0,icp,cqr
interval_crps_yulara_all,yulara,60,CRPS,,,9.6726,0.0,0.0,icp,mondrian_cqr
interval_crps_yulara_all,yulara,60,CRPS,,,4.7489,0.0,0.0,icp_norm,mondrian
interval_crps_yulara_all,yulara,60,CRPS,,,9.2077,0.0,0.0,icp_norm,cqr
interval_crps_yulara_all,yulara,60,CRPS,,,9.2638,0.0,0.0,icp_norm,mondrian_cqr
interval_crps_yulara_all,yulara,60,CRPS,,,4.4587,0.0,0.0,mondrian,cqr
interval_crps_yulara_all,yulara,60,CRPS,,,4.5149,0.0,0.0,mondrian,mondrian_cqr
interval_crps_yulara_all,yulara,60,CRPS,,,0.0562,0.002187,0.010935,cqr,mondrian_cqr
interval_crps_yulara_all,yulara,5,CRPS,,,-0.1169,0.772691,1.0,icp,icp_norm
interval_crps_yulara_all,yulara,5,CRPS,,,3.9879,0.0,0.0,icp,mondrian
interval_crps_yulara_all,yulara,5,CRPS,,,6.3064,0.0,0.0,icp,cqr
interval_crps_yulara_all,yulara,5,CRPS,,,6.3567,0.0,0.0,icp,mondrian_cqr
interval_crps_yulara_all,yulara,5,CRPS,,,4.1048,0.0,0.0,icp_norm,mondrian
interval_crps_yulara_all,yulara,5,CRPS,,,6.4232,0.0,0.0,icp_norm,cqr
interval_crps_yulara_all,yulara,5,CRPS,,,6.4736,0.0,0.0,icp_norm,mondrian_cqr
interval_crps_yulara_all,yulara,5,CRPS,,,2.3185,0.0,0.0,mondrian,cqr
interval_crps_yulara_all,yulara,5,CRPS,,,2.3688,0.0,0.0,mondrian,mondrian_cqr
interval_crps_yulara_all,yulara,5,CRPS,,,0.0503,2e-06,1.4e-05,cqr,mondrian_cqr
interval_crps_yulara_all,yulara,15,CRPS,,,0.2086,0.695938,1.0,icp,icp_norm
interval_crps_yulara_all,yulara,15,CRPS,,,5.2532,0.0,0.0,icp,mondrian
interval_crps_yulara_all,yulara,15,CRPS,,,8.8496,0.0,0.0,icp,cqr
interval_crps_yulara_all,yulara,15,CRPS,,,8.9137,0.0,0.0,icp,mondrian_cqr
interval_crps_yulara_all,yulara,15,CRPS,,,5.0446,0.0,0.0,icp_norm,mondrian
interval_crps_yulara_all,yulara,15,CRPS,,,8.641,0.0,0.0,icp_norm,cqr
interval_crps_yulara_all,yulara,15,CRPS,,,8.7051,0.0,0.0,icp_norm,mondrian_cqr
interval_crps_yulara_all,yulara,15,CRPS,,,3.5964,0.0,0.0,mondrian,cqr
interval_crps_yulara_all,yulara,15,CRPS,,,3.6605,0.0,0.0,mondrian,mondrian_cqr
interval_crps_yulara_all,yulara,15,CRPS,,,0.0641,0.0,0.0,cqr,mondrian_cqr
interval_crps_yulara_all,yulara,30,CRPS,,,0.44,0.479793,1.0,icp,icp_norm
interval_crps_yulara_all,yulara,30,CRPS,,,5.4798,0.0,0.0,icp,mondrian
interval_crps_yulara_all,yulara,30,CRPS,,,9.6484,0.0,0.0,icp,cqr
interval_crps_yulara_all,yulara,30,CRPS,,,9.7089,0.0,0.0,icp,mondrian_cqr
interval_crps_yulara_all,yulara,30,CRPS,,,5.0398,0.0,0.0,icp_norm,mondrian
interval_crps_yulara_all,yulara,30,CRPS,,,9.2084,0.0,0.0,icp_norm,cqr
interval_crps_yulara_all,yulara,30,CRPS,,,9.2689,0.0,0.0,icp_norm,mondrian_cqr
interval_crps_yulara_all,yulara,30,CRPS,,,4.1685,0.0,0.0,mondrian,cqr
interval_crps_yulara_all,yulara,30,CRPS,,,4.229,0.0,0.0,mondrian,mondrian_cqr
interval_crps_yulara_all,yulara,30,CRPS,,,0.0605,4.2e-05,0.000252,cqr,mondrian_cqr
