site,horizon_min,policy,theta,set,mean_daily,cvar95_daily
yulara,30,mondrian,0.775,test2024,111.1,1010.8
yulara,30,mondrian,0.8,test2024,84.99,809.37
yulara,30,mondrian,0.825,test2024,66.56,601.17
yulara,30,mondrian,0.85,test2024,61.42,434.83
yulara,30,mondrian,0.875,test2024,72.32,403.57
yulara,30,mondrian,0.9,test2024,102.03,453.14
yulara,30,mondrian,0.925,test2024,142.16,545.21
yulara,30,mondrian,0.95,test2024,203.99,690.29
yulara,30,mondrian,0.909,test2024,115.99,485.89
yulara,30,mondrian,0.75,selection2023H2,90.09,988.09
yulara,30,mondrian,0.775,selection2023H2,75.48,845.18
yulara,30,mondrian,0.8,selection2023H2,61.11,673.62
yulara,30,mondrian,0.825,selection2023H2,51.27,505.51
yulara,30,mondrian,0.85,selection2023H2,50.05,365.69
yulara,30,mondrian,0.875,selection2023H2,58.06,360.22
yulara,30,mondrian,0.9,selection2023H2,79.85,395.4
yulara,30,mondrian,0.925,selection2023H2,113.17,488.49
yulara,30,mondrian,0.95,selection2023H2,166.71,641.88
yulara,30,mondrian_cqr,0.75,test2024,62.1,515.35
yulara,30,mondrian_cqr,0.775,test2024,56.6,462.98
yulara,30,mondrian_cqr,0.8,test2024,57.37,428.51
yulara,30,mondrian_cqr,0.825,test2024,64.09,396.28
yulara,30,mondrian_cqr,0.85,test2024,75.2,390.57
yulara,30,mondrian_cqr,0.875,test2024,92.71,428.97
yulara,30,mondrian_cqr,0.9,test2024,115.66,480.76
yulara,30,mondrian_cqr,0.925,test2024,149.13,557.34
yulara,30,mondrian_cqr,0.95,test2024,194.53,651.68
yulara,30,mondrian_cqr,0.909,test2024,126.0,505.14
yulara,30,mondrian_cqr,0.75,selection2023H2,64.98,646.22
yulara,30,mondrian_cqr,0.775,selection2023H2,55.86,534.26
yulara,30,mondrian_cqr,0.8,selection2023H2,50.28,423.94
yulara,30,mondrian_cqr,0.825,selection2023H2,46.3,349.75
yulara,30,mondrian_cqr,0.85,selection2023H2,48.69,339.26
yulara,30,mondrian_cqr,0.875,selection2023H2,57.25,349.67
yulara,30,mondrian_cqr,0.9,selection2023H2,69.72,388.37
yulara,30,mondrian_cqr,0.925,selection2023H2,90.55,475.08
yulara,30,mondrian_cqr,0.95,selection2023H2,123.58,574.76
yulara,60,cqr,0.75,test2024,133.31,1032.9
yulara,60,cqr,0.775,test2024,117.27,908.37
yulara,60,cqr,0.8,test2024,109.87,831.08
yulara,60,cqr,0.825,test2024,104.8,745.07
yulara,60,cqr,0.85,test2024,106.89,674.77
yulara,60,cqr,0.875,test2024,113.0,623.46
yulara,60,cqr,0.9,test2024,130.04,595.65
yulara,60,cqr,0.925,test2024,159.22,613.86
yulara,60,cqr,0.95,test2024,213.52,712.31
yulara,60,cqr,0.909,test2024,138.61,595.03
yulara,60,cqr,0.75,selection2023H2,126.11,1417.64
yulara,60,cqr,0.775,selection2023H2,111.03,1278.7
yulara,60,cqr,0.8,selection2023H2,104.04,1133.52
yulara,60,cqr,0.825,selection2023H2,98.46,1010.74
yulara,60,cqr,0.85,selection2023H2,92.99,861.14
yulara,60,cqr,0.875,selection2023H2,90.22,710.83
yulara,60,cqr,0.9,selection2023H2,98.4,633.18
yulara,60,cqr,0.925,selection2023H2,119.53,626.31
yulara,60,cqr,0.95,selection2023H2,162.72,657.17
yulara,60,icp,0.75,test2024,570.41,3756.21
yulara,60,icp,0.775,test2024,539.37,3627.41
yulara,60,icp,0.8,test2024,496.2,3445.54
yulara,60,icp,0.825,test2024,425.78,3142.41
yulara,60,icp,0.85,test2024,344.06,2770.16
yulara,60,icp,0.875,test2024,264.42,2338.12
yulara,60,icp,0.9,test2024,192.95,1732.94
yulara,60,icp,0.925,test2024,181.8,1067.72
yulara,60,icp,0.95,test2024,250.36,591.24
yulara,60,icp,0.909,test2024,181.5,1499.93
yulara,60,icp,0.75,selection2023H2,424.0,3635.06
yulara,60,icp,0.775,selection2023H2,391.87,3462.26
yulara,60,icp,0.8,selection2023H2,338.41,3147.03
yulara,60,icp,0.825,selection2023H2,272.93,2732.7
yulara,60,icp,0.85,selection2023H2,208.36,2365.11
yulara,60,icp,0.875,selection2023H2,172.06,1927.07
yulara,60,icp,0.9,selection2023H2,168.37,1454.46
yulara,60,icp,0.925,selection2023H2,211.47,955.03
yulara,60,icp,0.95,selection2023H2,298.72,562.19
yulara,60,mondrian,0.75,test2024,264.46,2218.79
yulara,60,mondrian,0.775,test2024,218.86,1977.12
yulara,60,mondrian,0.8,test2024,181.65,1722.99
yulara,60,mondrian,0.825,test2024,151.72,1449.83
yulara,60,mondrian,0.85,test2024,130.31,1138.69
yulara,60,mondrian,0.875,test2024,123.86,896.67
yulara,60,mondrian,0.9,test2024,131.88,706.0
yulara,60,mondrian,0.925,test2024,162.32,650.27
yulara,60,mondrian,0.95,test2024,220.63,754.36
yulara,60,mondrian,0.909,test2024,138.03,686.82
yulara,60,mondrian,0.75,selection2023H2,187.11,2193.13
yulara,60,mondrian,0.775,selection2023H2,163.56,1996.96
yulara,60,mondrian,0.8,selection2023H2,145.29,1789.62
yulara,60,mondrian,0.825,selection2023H2,129.18,1547.88
yulara,60,mondrian,0.85,selection2023H2,120.46,1273.17
yulara,60,mondrian,0.875,selection2023H2,117.59,957.49
yulara,60,mondrian,0.9,selection2023H2,120.25,721.61
yulara,60,mondrian,0.925,selection2023H2,140.11,613.89
yulara,60,mondrian,0.95,selection2023H2,203.32,700.62
yulara,60,mondrian_cqr,0.75,test2024,130.57,1024.07
yulara,60,mondrian_cqr,0.775,test2024,114.42,889.47
yulara,60,mondrian_cqr,0.8,test2024,108.09,813.3
yulara,60,mondrian_cqr,0.825,test2024,104.39,730.08
yulara,60,mondrian_cqr,0.85,test2024,107.47,659.63
yulara,60,mondrian_cqr,0.875,test2024,116.07,610.23
yulara,60,mondrian_cqr,0.9,test2024,135.1,593.7
yulara,60,mondrian_cqr,0.925,test2024,167.28,633.31
yulara,60,mondrian_cqr,0.95,test2024,224.63,745.45
yulara,60,mondrian_cqr,0.909,test2024,146.13,602.15
yulara,60,mondrian_cqr,0.75,selection2023H2,123.23,1382.64
yulara,60,mondrian_cqr,0.775,selection2023H2,108.7,1240.54
yulara,60,mondrian_cqr,0.8,selection2023H2,101.95,1089.2
yulara,60,mondrian_cqr,0.825,selection2023H2,96.97,973.68
yulara,60,mondrian_cqr,0.85,selection2023H2,91.08,803.32
yulara,60,mondrian_cqr,0.875,selection2023H2,90.13,686.58
yulara,60,mondrian_cqr,0.9,selection2023H2,101.05,625.83
yulara,60,mondrian_cqr,0.925,selection2023H2,124.69,633.16
yulara,60,mondrian_cqr,0.95,selection2023H2,166.27,681.36
