site,horizon_min,policy,theta,set,mean_daily,cvar95_daily
asp,15,mondrian,0.8,test2024,44.36,420.33
asp,15,mondrian,0.825,test2024,39.34,328.82
asp,15,mondrian,0.85,test2024,45.0,290.59
asp,15,mondrian,0.875,test2024,60.25,296.61
asp,15,mondrian,0.9,test2024,84.99,327.79
asp,15,mondrian,0.925,test2024,118.28,388.63
asp,15,mondrian,0.95,test2024,178.0,527.58
asp,15,mondrian,0.909,test2024,94.08,341.56
asp,15,mondrian,0.75,selection2023H2,52.54,458.79
asp,15,mondrian,0.775,selection2023H2,38.66,352.76
asp,15,mondrian,0.8,selection2023H2,27.13,256.72
asp,15,mondrian,0.825,selection2023H2,26.06,211.89
asp,15,mondrian,0.85,selection2023H2,33.26,214.73
asp,15,mondrian,0.875,selection2023H2,43.87,233.57
asp,15,mondrian,0.9,selection2023H2,61.6,292.75
asp,15,mondrian,0.925,selection2023H2,89.36,385.78
asp,15,mondrian,0.95,selection2023H2,136.2,528.11
asp,15,mondrian_cqr,0.75,test2024,46.32,311.68
asp,15,mondrian_cqr,0.775,test2024,45.98,297.16
asp,15,mondrian_cqr,0.8,test2024,48.09,291.51
asp,15,mondrian_cqr,0.825,test2024,53.05,297.16
asp,15,mondrian_cqr,0.85,test2024,62.19,308.76
asp,15,mondrian_cqr,0.875,test2024,74.16,332.25
asp,15,mondrian_cqr,0.9,test2024,90.23,370.49
asp,15,mondrian_cqr,0.925,test2024,116.09,434.19
asp,15,mondrian_cqr,0.95,test2024,152.46,524.66
asp,15,mondrian_cqr,0.909,test2024,98.9,392.25
asp,15,mondrian_cqr,0.75,selection2023H2,29.6,215.85
asp,15,mondrian_cqr,0.775,selection2023H2,28.65,209.12
asp,15,mondrian_cqr,0.8,selection2023H2,29.18,209.86
asp,15,mondrian_cqr,0.825,selection2023H2,31.24,220.12
asp,15,mondrian_cqr,0.85,selection2023H2,36.64,243.12
asp,15,mondrian_cqr,0.875,selection2023H2,44.14,277.58
asp,15,mondrian_cqr,0.9,selection2023H2,56.08,333.17
asp,15,mondrian_cqr,0.925,selection2023H2,72.88,406.85
asp,15,mondrian_cqr,0.95,selection2023H2,101.31,491.04
asp,30,cqr,0.75,test2024,80.11,583.33
asp,30,cqr,0.775,test2024,77.22,548.36
asp,30,cqr,0.8,test2024,76.44,524.85
asp,30,cqr,0.825,test2024,81.44,498.04
asp,30,cqr,0.85,test2024,89.74,487.37
asp,30,cqr,0.875,test2024,103.67,495.54
asp,30,cqr,0.9,test2024,124.81,529.71
asp,30,cqr,0.925,test2024,150.73,561.13
asp,30,cqr,0.95,test2024,196.38,670.36
asp,30,cqr,0.909,test2024,132.38,527.16
asp,30,cqr,0.75,selection2023H2,60.41,470.26
asp,30,cqr,0.775,selection2023H2,55.07,427.9
asp,30,cqr,0.8,selection2023H2,51.42,388.56
asp,30,cqr,0.825,selection2023H2,51.15,375.84
asp,30,cqr,0.85,selection2023H2,57.12,381.38
asp,30,cqr,0.875,selection2023H2,66.73,409.86
asp,30,cqr,0.9,selection2023H2,79.27,456.96
asp,30,cqr,0.925,selection2023H2,99.22,531.01
asp,30,cqr,0.95,selection2023H2,136.5,640.06
asp,30,icp,0.75,test2024,352.65,2035.29
asp,30,icp,0.775,test2024,332.93,1967.23
asp,30,icp,0.8,test2024,306.62,1871.35
asp,30,icp,0.825,test2024,267.64,1731.71
asp,30,icp,0.85,test2024,212.73,1506.76
asp,30,icp,0.875,test2024,148.78,1168.49
asp,30,icp,0.9,test2024,103.86,821.3
asp,30,icp,0.925,test2024,115.28,488.97
asp,30,icp,0.95,test2024,215.55,414.0
asp,30,icp,0.909,test2024,97.99,687.44
asp,30,icp,0.75,selection2023H2,245.47,1888.8
asp,30,icp,0.775,selection2023H2,222.22,1776.94
asp,30,icp,0.8,selection2023H2,188.6,1586.18
asp,30,icp,0.825,selection2023H2,144.96,1335.94
asp,30,icp,0.85,selection2023H2,101.89,1084.43
asp,30,icp,0.875,selection2023H2,82.78,822.15
asp,30,icp,0.9,selection2023H2,91.02,531.24
asp,30,icp,0.925,selection2023H2,143.91,375.08
asp,30,icp,0.95,selection2023H2,252.06,466.66
asp,30,mondrian,0.75,test2024,146.7,1150.4
asp,30,mondrian,0.775,test2024,114.38,995.18
asp,30,mondrian,0.8,test2024,92.15,849.72
asp,30,mondrian,0.825,test2024,79.81,723.85
asp,30,mondrian,0.85,test2024,80.89,621.03
asp,30,mondrian,0.875,test2024,91.97,535.06
asp,30,mondrian,0.9,test2024,113.96,503.78
asp,30,mondrian,0.925,test2024,152.33,530.48
asp,30,mondrian,0.95,test2024,214.1,632.72
asp,30,mondrian,0.909,test2024,126.05,507.45
asp,30,mondrian,0.75,selection2023H2,93.49,926.97
asp,30,mondrian,0.775,selection2023H2,75.58,763.57
asp,30,mondrian,0.8,selection2023H2,63.3,625.35
asp,30,mondrian,0.825,selection2023H2,55.88,489.96
asp,30,mondrian,0.85,selection2023H2,54.45,392.66
asp,30,mondrian,0.875,selection2023H2,61.46,362.02
asp,30,mondrian,0.9,selection2023H2,80.07,395.34
asp,30,mondrian,0.925,selection2023H2,108.7,487.06
asp,30,mondrian,0.95,selection2023H2,159.1,625.11
asp,30,mondrian_cqr,0.75,test2024,80.47,585.76
asp,30,mondrian_cqr,0.775,test2024,77.5,550.7
asp,30,mondrian_cqr,0.8,test2024,76.46,526.34
asp,30,mondrian_cqr,0.825,test2024,80.99,498.39
asp,30,mondrian_cqr,0.85,test2024,89.43,487.63
asp,30,mondrian_cqr,0.875,test2024,102.95,494.35
asp,30,mondrian_cqr,0.9,test2024,125.19,530.48
asp,30,mondrian_cqr,0.925,test2024,151.77,563.84
asp,30,mondrian_cqr,0.95,test2024,198.66,676.36
asp,30,mondrian_cqr,0.909,test2024,133.14,528.62
asp,30,mondrian_cqr,0.75,selection2023H2,61.48,475.06
asp,30,mondrian_cqr,0.775,selection2023H2,55.55,428.93
asp,30,mondrian_cqr,0.8,selection2023H2,52.02,389.73
asp,30,mondrian_cqr,0.825,selection2023H2,51.47,376.58
asp,30,mondrian_cqr,0.85,selection2023H2,57.43,381.04
asp,30,mondrian_cqr,0.875,selection2023H2,67.41,410.28
asp,30,mondrian_cqr,0.9,selection2023H2,80.85,462.37
asp,30,mondrian_cqr,0.925,selection2023H2,100.77,536.16
asp,30,mondrian_cqr,0.95,selection2023H2,138.67,647.72
asp,60,cqr,0.75,test2024,160.6,1194.87
asp,60,cqr,0.775,test2024,150.98,1116.73
asp,60,cqr,0.8,test2024,143.26,1035.59
asp,60,cqr,0.825,test2024,140.09,976.89
asp,60,cqr,0.85,test2024,142.51,903.75
asp,60,cqr,0.875,test2024,148.59,813.21
asp,60,cqr,0.9,test2024,162.15,781.88
asp,60,cqr,0.925,test2024,182.85,745.55
asp,60,cqr,0.95,test2024,229.0,808.6
asp,60,cqr,0.909,test2024,169.03,769.87
asp,60,cqr,0.75,selection2023H2,123.17,1033.64
asp,60,cqr,0.775,selection2023H2,113.19,951.11
asp,60,cqr,0.8,selection2023H2,103.04,847.16
asp,60,cqr,0.825,selection2023H2,98.7,797.52
asp,60,cqr,0.85,selection2023H2,98.72,742.01
asp,60,cqr,0.875,selection2023H2,103.36,690.35
asp,60,cqr,0.9,selection2023H2,115.64,682.42
asp,60,cqr,0.925,selection2023H2,138.54,714.25
asp,60,cqr,0.95,selection2023H2,183.61,776.25
asp,60,icp,0.75,test2024,467.71,2993.26
asp,60,icp,0.775,test2024,445.85,2917.14
asp,60,icp,0.8,test2024,417.89,2818.1
asp,60,icp,0.825,test2024,373.7,2643.25
asp,60,icp,0.85,test2024,310.89,2346.48
asp,60,icp,0.875,test2024,247.5,1986.46
asp,60,icp,0.9,test2024,200.12,1577.76
asp,60,icp,0.925,test2024,196.97,1114.07
asp,60,icp,0.95,test2024,267.98,778.62
asp,60,icp,0.909,test2024,191.91,1418.42
asp,60,icp,0.75,selection2023H2,340.05,2866.92
asp,60,icp,0.775,selection2023H2,313.31,2724.27
asp,60,icp,0.8,selection2023H2,275.72,2495.11
asp,60,icp,0.825,selection2023H2,227.69,2166.43
asp,60,icp,0.85,selection2023H2,185.9,1807.13
asp,60,icp,0.875,selection2023H2,161.69,1454.66
asp,60,icp,0.9,selection2023H2,165.77,1139.48
asp,60,icp,0.925,selection2023H2,203.88,830.9
asp,60,icp,0.95,selection2023H2,277.12,634.36
asp,60,mondrian,0.75,test2024,251.89,2006.71
asp,60,mondrian,0.775,test2024,215.75,1833.28
asp,60,mondrian,0.8,test2024,186.75,1654.96
asp,60,mondrian,0.825,test2024,163.6,1467.67
asp,60,mondrian,0.85,test2024,150.44,1274.55
asp,60,mondrian,0.875,test2024,146.9,1112.51
asp,60,mondrian,0.9,test2024,154.03,936.7
asp,60,mondrian,0.925,test2024,176.87,827.15
asp,60,mondrian,0.95,test2024,232.44,817.03
asp,60,mondrian,0.909,test2024,160.03,887.38
asp,60,mondrian,0.75,selection2023H2,177.14,1700.42
asp,60,mondrian,0.775,selection2023H2,152.05,1525.71
asp,60,mondrian,0.8,selection2023H2,133.93,1347.93
asp,60,mondrian,0.825,selection2023H2,119.96,1149.24
asp,60,mondrian,0.85,selection2023H2,112.02,969.75
asp,60,mondrian,0.875,selection2023H2,109.44,802.85
asp,60,mondrian,0.9,selection2023H2,111.07,660.22
asp,60,mondrian,0.925,selection2023H2,120.31,584.55
asp,60,mondrian,0.95,selection2023H2,169.73,702.09
asp,60,mondrian_cqr,0.75,test2024,160.49,1193.57
asp,60,mondrian_cqr,0.775,test2024,150.93,1115.96
asp,60,mondrian_cqr,0.8,test2024,143.15,1034.91
asp,60,mondrian_cqr,0.825,test2024,140.15,975.36
asp,60,mondrian_cqr,0.85,test2024,142.66,904.8
asp,60,mondrian_cqr,0.875,test2024,148.32,812.7
asp,60,mondrian_cqr,0.9,test2024,162.5,782.39
asp,60,mondrian_cqr,0.925,test2024,184.53,750.52
asp,60,mondrian_cqr,0.95,test2024,229.6,810.38
asp,60,mondrian_cqr,0.909,test2024,170.63,771.94
asp,60,mondrian_cqr,0.75,selection2023H2,122.5,1025.74
asp,60,mondrian_cqr,0.775,selection2023H2,113.32,949.61
asp,60,mondrian_cqr,0.8,selection2023H2,102.93,844.22
asp,60,mondrian_cqr,0.825,selection2023H2,98.88,796.23
asp,60,mondrian_cqr,0.85,selection2023H2,99.58,739.39
asp,60,mondrian_cqr,0.875,selection2023H2,103.76,690.3
asp,60,mondrian_cqr,0.9,selection2023H2,117.84,687.69
asp,60,mondrian_cqr,0.925,selection2023H2,140.99,721.36
asp,60,mondrian_cqr,0.95,selection2023H2,185.21,783.91
yulara,5,cqr,0.75,test2024,8.21,80.15
yulara,5,cqr,0.775,test2024,7.32,70.74
yulara,5,cqr,0.8,test2024,7.0,68.78
yulara,5,cqr,0.825,test2024,8.62,77.56
yulara,5,cqr,0.85,test2024,12.16,100.27
yulara,5,cqr,0.875,test2024,18.21,130.61
yulara,5,cqr,0.9,test2024,28.89,173.79
yulara,5,cqr,0.925,test2024,43.87,222.6
yulara,5,cqr,0.95,test2024,69.31,298.84
yulara,5,cqr,0.909,test2024,33.25,188.73
yulara,5,cqr,0.75,selection2023H2,4.93,59.22
yulara,5,cqr,0.775,selection2023H2,4.51,53.6
yulara,5,cqr,0.8,selection2023H2,3.9,43.81
yulara,5,cqr,0.825,selection2023H2,4.58,50.62
yulara,5,cqr,0.85,selection2023H2,6.04,69.87
yulara,5,cqr,0.875,selection2023H2,9.07,96.2
yulara,5,cqr,0.9,selection2023H2,14.18,131.11
yulara,5,cqr,0.925,selection2023H2,22.61,175.31
yulara,5,cqr,0.95,selection2023H2,39.18,250.01
yulara,5,icp,0.75,test2024,148.54,663.27
yulara,5,icp,0.775,test2024,137.73,634.53
yulara,5,icp,0.8,test2024,124.02,598.47
yulara,5,icp,0.825,test2024,102.26,540.62
yulara,5,icp,0.85,test2024,71.83,452.77
yulara,5,icp,0.875,test2024,38.12,322.88
yulara,5,icp,0.9,test2024,12.76,170.27
yulara,5,icp,0.925,test2024,7.12,80.64
yulara,5,icp,0.95,test2024,47.48,171.51
yulara,5,icp,0.909,test2024,8.92,125.48
yulara,5,icp,0.75,selection2023H2,109.07,651.59
yulara,5,icp,0.775,selection2023H2,98.96,612.72
yulara,5,icp,0.8,selection2023H2,83.19,545.14
yulara,5,icp,0.825,selection2023H2,58.29,431.93
yulara,5,icp,0.85,selection2023H2,30.41,278.43
yulara,5,icp,0.875,selection2023H2,10.85,143.44
yulara,5,icp,0.9,selection2023H2,2.48,38.32
yulara,5,icp,0.925,selection2023H2,19.74,89.64
yulara,5,icp,0.95,selection2023H2,87.45,227.47
yulara,5,mondrian,0.75,test2024,30.64,279.79
yulara,5,mondrian,0.775,test2024,17.72,210.07
yulara,5,mondrian,0.8,test2024,11.4,143.84
yulara,5,mondrian,0.825,test2024,8.04,103.34
yulara,5,mondrian,0.85,test2024,7.43,87.03
yulara,5,mondrian,0.875,test2024,11.97,105.04
yulara,5,mondrian,0.9,test2024,24.98,147.18
yulara,5,mondrian,0.925,test2024,50.14,227.37
yulara,5,mondrian,0.95,test2024,89.09,348.25
yulara,5,mondrian,0.909,test2024,31.86,170.35
yulara,5,mondrian,0.75,selection2023H2,13.84,171.68
yulara,5,mondrian,0.775,selection2023H2,8.2,107.07
yulara,5,mondrian,0.8,selection2023H2,5.3,67.77
yulara,5,mondrian,0.825,selection2023H2,4.56,52.54
yulara,5,mondrian,0.85,selection2023H2,6.28,62.94
yulara,5,mondrian,0.875,selection2023H2,12.41,106.23
yulara,5,mondrian,0.9,selection2023H2,25.84,175.75
yulara,5,mondrian,0.925,selection2023H2,47.25,266.83
yulara,5,mondrian,0.95,selection2023H2,80.89,396.99
yulara,5,mondrian_cqr,0.75,test2024,8.28,81.46
yulara,5,mondrian_cqr,0.775,test2024,7.25,70.86
yulara,5,mondrian_cqr,0.8,test2024,6.92,68.93
yulara,5,mondrian_cqr,0.825,test2024,8.65,78.16
yulara,5,mondrian_cqr,0.85,test2024,12.44,101.57
yulara,5,mondrian_cqr,0.875,test2024,18.88,132.86
yulara,5,mondrian_cqr,0.9,test2024,30.2,177.41
yulara,5,mondrian_cqr,0.925,test2024,46.07,227.3
yulara,5,mondrian_cqr,0.95,test2024,73.7,309.32
yulara,5,mondrian_cqr,0.909,test2024,34.93,193.14
yulara,5,mondrian_cqr,0.75,selection2023H2,4.72,59.29
yulara,5,mondrian_cqr,0.775,selection2023H2,4.29,53.28
yulara,5,mondrian_cqr,0.8,selection2023H2,3.69,43.96
yulara,5,mondrian_cqr,0.825,selection2023H2,4.58,51.75
yulara,5,mondrian_cqr,0.85,selection2023H2,6.35,73.61
yulara,5,mondrian_cqr,0.875,selection2023H2,9.77,101.17
yulara,5,mondrian_cqr,0.9,selection2023H2,15.34,137.7
yulara,5,mondrian_cqr,0.925,selection2023H2,24.26,182.83
yulara,5,mondrian_cqr,0.95,selection2023H2,43.04,264.61
yulara,15,cqr,0.75,test2024,30.41,267.11
yulara,15,cqr,0.775,test2024,29.4,247.66
yulara,15,cqr,0.8,test2024,31.73,228.37
yulara,15,cqr,0.825,test2024,36.63,229.42
yulara,15,cqr,0.85,test2024,46.43,248.76
yulara,15,cqr,0.875,test2024,62.57,298.26
yulara,15,cqr,0.9,test2024,82.69,351.12
yulara,15,cqr,0.925,test2024,106.35,406.46
yulara,15,cqr,0.95,test2024,143.08,496.86
yulara,15,cqr,0.909,test2024,90.87,374.05
yulara,15,cqr,0.75,selection2023H2,25.45,238.31
yulara,15,cqr,0.775,selection2023H2,20.86,185.44
yulara,15,cqr,0.8,selection2023H2,19.5,165.67
yulara,15,cqr,0.825,selection2023H2,21.39,174.5
yulara,15,cqr,0.85,selection2023H2,24.8,189.75
yulara,15,cqr,0.875,selection2023H2,33.55,239.45
yulara,15,cqr,0.9,selection2023H2,45.56,291.73
yulara,15,cqr,0.925,selection2023H2,59.91,347.95
yulara,15,cqr,0.95,selection2023H2,86.11,442.9
yulara,15,icp,0.75,test2024,309.18,1549.49
yulara,15,icp,0.775,test2024,290.2,1489.66
yulara,15,icp,0.8,test2024,262.77,1403.44
yulara,15,icp,0.825,test2024,223.62,1275.79
yulara,15,icp,0.85,test2024,171.28,1094.14
yulara,15,icp,0.875,test2024,99.9,794.99
yulara,15,icp,0.9,test2024,44.46,440.03
yulara,15,icp,0.925,test2024,52.12,233.81
yulara,15,icp,0.95,test2024,148.19,321.87
yulara,15,icp,0.909,test2024,35.65,328.78
yulara,15,icp,0.75,selection2023H2,223.2,1498.06
yulara,15,icp,0.775,selection2023H2,205.74,1417.79
yulara,15,icp,0.8,selection2023H2,178.07,1277.44
yulara,15,icp,0.825,selection2023H2,130.33,1021.92
yulara,15,icp,0.85,selection2023H2,73.81,712.86
yulara,15,icp,0.875,selection2023H2,36.89,449.59
yulara,15,icp,0.9,selection2023H2,38.24,195.47
yulara,15,icp,0.925,selection2023H2,91.59,214.53
yulara,15,icp,0.95,selection2023H2,192.02,374.84
yulara,15,mondrian,0.75,test2024,84.62,680.8
