bucket,n,PICP,width,method,horizon_min
2024-01,3722,0.7966147232670607,200.04243452275145,icp,5
2024-02,3119,0.8832959281821097,201.7255289668455,icp,5
2024-03,3763,0.8450704225352113,198.02789928758293,icp,5
2024-04,3258,0.9376918354818907,201.48122680780918,icp,5
2024-05,3167,0.9096937164508999,201.04936980421368,icp,5
2024-06,2983,0.903117666778411,199.04132028871743,icp,5
2024-07,3163,0.900094846664559,201.70164604147914,icp,5
2024-08,2399,0.9495623176323468,199.8023790662678,icp,5
2024-09,3575,0.874965034965035,198.44273565583794,icp,5
2024-10,3749,0.8690317417978127,199.8733747794085,icp,5
2024-11,3193,0.8286877544628876,198.0011261556093,icp,5
2024-12,3341,0.87847949715654,199.28622812257692,icp,5
2024-01,3722,0.8874261149919398,349.4870989291231,icp_norm,5
2024-02,3119,0.9188842577749279,344.20869709570474,icp_norm,5
2024-03,3763,0.8952963061387191,310.57960632680533,icp_norm,5
2024-04,3258,0.8950276243093923,275.6488040861308,icp_norm,5
2024-05,3167,0.846542469213767,241.49364220492143,icp_norm,5
2024-06,2983,0.8317130405631914,217.56005465616124,icp_norm,5
2024-07,3163,0.8169459374012014,230.82163157048157,icp_norm,5
2024-08,2399,0.8995414756148395,256.75447784946107,icp_norm,5
2024-09,3575,0.9074125874125875,299.3627084992844,icp_norm,5
2024-10,3749,0.9253134169111763,331.06466052817814,icp_norm,5
2024-11,3193,0.9044785468211713,339.7814149680201,icp_norm,5
2024-12,3341,0.9395390601616282,346.66864001926297,icp_norm,5
2024-01,3722,0.8651262761955938,256.6108344073149,mondrian,5
2024-02,3119,0.9208079512664316,179.9857264247564,mondrian,5
2024-03,3763,0.8830720170077067,220.49876967623504,mondrian,5
2024-04,3258,0.9066912216083487,146.92340050794516,mondrian,5
2024-05,3167,0.8632775497316072,145.1363706727249,mondrian,5
2024-06,2983,0.856855514582635,158.7229613468437,mondrian,5
2024-07,3163,0.8463484034144799,148.9825206268211,mondrian,5
2024-08,2399,0.9203834931221342,118.99830796602494,mondrian,5
2024-09,3575,0.9020979020979021,187.04991884305326,mondrian,5
2024-10,3749,0.9101093624966657,199.20231220939914,mondrian,5
2024-11,3193,0.8784841841528344,259.27530946390726,mondrian,5
2024-12,3341,0.9155941334929661,231.30415901704248,mondrian,5
2024-01,3722,0.9314884470714669,272.1573629605191,cqr,5
2024-02,3119,0.9394036550176339,162.1152916649374,cqr,5
2024-03,3763,0.9077863406856231,242.1359978608147,cqr,5
2024-04,3258,0.8830570902394107,145.78346053934573,cqr,5
2024-05,3167,0.8361225134196401,168.74250943648406,cqr,5
2024-06,2983,0.8219912839423399,173.90226968520247,cqr,5
2024-07,3163,0.7944988934555801,175.10948808235668,cqr,5
2024-08,2399,0.8895373072113381,122.54879365221811,cqr,5
2024-09,3575,0.9132867132867133,189.88605788568125,cqr,5
2024-10,3749,0.9447852760736196,198.8337222157426,cqr,5
2024-11,3193,0.9392420920764172,287.7783390163663,cqr,5
2024-12,3341,0.9506135887458844,235.19581551722214,cqr,5
2024-01,3722,0.9328318108543794,277.6536437222192,mondrian_cqr,5
2024-02,3119,0.9480602757294004,163.7770768954942,mondrian_cqr,5
2024-03,3763,0.905394631942599,244.13400592039767,mondrian_cqr,5
2024-04,3258,0.8833640270104358,145.61228032944084,mondrian_cqr,5
2024-05,3167,0.8326491948215977,168.17991574631995,mondrian_cqr,5
