site,method,variant,horizon_min,scope,n,CRPS
yulara,icp,static,5,cloudy,3686,12.798
yulara,icp_norm,static,5,all,40905,26.105
yulara,icp_norm,static,5,clear,21783,17.362
yulara,icp_norm,static,5,transitional,15436,41.191
yulara,icp_norm,static,5,cloudy,3686,14.594
yulara,mondrian,static,5,all,40905,22.0
yulara,mondrian,static,5,clear,21783,10.331
yulara,mondrian,static,5,transitional,15436,40.911
yulara,mondrian,static,5,cloudy,3686,11.769
yulara,cqr,static,5,all,40905,19.682
yulara,cqr,static,5,clear,21783,10.788
yulara,cqr,static,5,transitional,15436,33.703
yulara,cqr,static,5,cloudy,3686,13.526
yulara,mondrian_cqr,static,5,all,40905,19.631
yulara,mondrian_cqr,static,5,clear,21783,10.772
yulara,mondrian_cqr,static,5,transitional,15436,33.674
yulara,mondrian_cqr,static,5,cloudy,3686,13.182
yulara,cqr,rearranged,5,all,40905,19.655
yulara,cqr,rearranged,5,clear,21783,10.75
yulara,cqr,rearranged,5,transitional,15436,33.691
yulara,cqr,rearranged,5,cloudy,3686,13.507
yulara,mondrian_cqr,rearranged,5,all,40905,19.604
yulara,mondrian_cqr,rearranged,5,clear,21783,10.734
yulara,mondrian_cqr,rearranged,5,transitional,15436,33.661
yulara,mondrian_cqr,rearranged,5,cloudy,3686,13.157
yulara,icp,static,60,all,36794,43.412
yulara,icp,static,60,clear,19929,27.17
yulara,icp,static,60,transitional,13590,65.798
yulara,icp,static,60,cloudy,3275,49.359
yulara,icp_norm,static,60,all,36794,43.004
yulara,icp_norm,static,60,clear,19929,32.963
yulara,icp_norm,static,60,transitional,13590,57.466
yulara,icp_norm,static,60,cloudy,3275,44.088
yulara,mondrian,static,60,all,36794,38.255
yulara,mondrian,static,60,clear,19929,23.671
yulara,mondrian,static,60,transitional,13590,57.62
yulara,mondrian,static,60,cloudy,3275,46.641
yulara,cqr,static,60,all,36794,33.796
yulara,cqr,static,60,clear,19929,20.324
yulara,cqr,static,60,transitional,13590,50.77
yulara,cqr,static,60,cloudy,3275,45.34
yulara,mondrian_cqr,static,60,all,36794,33.74
yulara,mondrian_cqr,static,60,clear,19929,20.327
yulara,mondrian_cqr,static,60,transitional,13590,50.777
yulara,mondrian_cqr,static,60,cloudy,3275,44.661
yulara,cqr,rearranged,60,all,36794,33.795
yulara,cqr,rearranged,60,clear,19929,20.325
yulara,cqr,rearranged,60,transitional,13590,50.768
yulara,cqr,rearranged,60,cloudy,3275,45.339
yulara,mondrian_cqr,rearranged,60,all,36794,33.738
yulara,mondrian_cqr,rearranged,60,clear,19929,20.327
yulara,mondrian_cqr,rearranged,60,transitional,13590,50.775
yulara,mondrian_cqr,rearranged,60,cloudy,3275,44.651
yulara,icp,static,15,all,40094,34.669
yulara,icp,static,15,clear,21496,18.374
yulara,icp,static,15,transitional,14988,60.165
yulara,icp,static,15,cloudy,3610,25.849
yulara,icp_norm,static,15,all,40094,34.461
yulara,icp_norm,static,15,clear,21496,24.128
yulara,icp_norm,static,15,transitional,14988,51.26
yulara,icp_norm,static,15,cloudy,3610,26.241
yulara,mondrian,static,15,all,40094,29.416
yulara,mondrian,static,15,clear,21496,14.757
yulara,mondrian,static,15,transitional,14988,51.288
yulara,mondrian,static,15,cloudy,3610,25.894
yulara,cqr,static,15,all,40094,25.82
yulara,cqr,static,15,clear,21496,13.3
yulara,cqr,static,15,transitional,14988,43.332
yulara,cqr,static,15,cloudy,3610,27.662
yulara,mondrian_cqr,static,15,all,40094,25.756
yulara,mondrian_cqr,static,15,clear,21496,13.283
yulara,mondrian_cqr,static,15,transitional,14988,43.293
yulara,mondrian_cqr,static,15,cloudy,3610,27.212
yulara,cqr,rearranged,15,all,40094,25.789
yulara,cqr,rearranged,15,clear,21496,13.253
yulara,cqr,rearranged,15,transitional,14988,43.325
yulara,cqr,rearranged,15,cloudy,3610,27.624
yulara,mondrian_cqr,rearranged,15,all,40094,25.724
yulara,mondrian_cqr,rearranged,15,clear,21496,13.236
yulara,mondrian_cqr,rearranged,15,transitional,14988,43.286
yulara,mondrian_cqr,rearranged,15,cloudy,3610,27.168
yulara,icp,static,30,all,38960,38.897
yulara,icp,static,30,clear,20991,21.939
yulara,icp,static,30,transitional,14472,64.223
yulara,icp,static,30,cloudy,3497,35.877
yulara,icp_norm,static,30,all,38960,38.457
yulara,icp_norm,static,30,clear,20991,27.927
yulara,icp_norm,static,30,transitional,14472,54.728
yulara,icp_norm,static,30,cloudy,3497,34.329
yulara,mondrian,static,30,all,38960,33.417
yulara,mondrian,static,30,clear,20991,18.178
yulara,mondrian,static,30,transitional,14472,55.045
yulara,mondrian,static,30,cloudy,3497,35.383
yulara,cqr,static,30,all,38960,29.248
yulara,cqr,static,30,clear,20991,15.685
yulara,cqr,static,30,transitional,14472,47.248
yulara,cqr,static,30,cloudy,3497,36.179
yulara,mondrian_cqr,static,30,all,38960,29.188
yulara,mondrian_cqr,static,30,clear,20991,15.669
yulara,mondrian_cqr,static,30,transitional,14472,47.231
yulara,mondrian_cqr,static,30,cloudy,3497,35.668
yulara,cqr,rearranged,30,all,38960,29.218
yulara,cqr,rearranged,30,clear,20991,15.634
yulara,cqr,rearranged,30,transitional,14472,47.239
yulara,cqr,rearranged,30,cloudy,3497,36.177
yulara,mondrian_cqr,rearranged,30,all,38960,29.155
yulara,mondrian_cqr,rearranged,30,clear,20991,15.616
yulara,mondrian_cqr,rearranged,30,transitional,14472,47.221
yulara,mondrian_cqr,rearranged,30,cloudy,3497,35.66
