set,horizon_min,dm_stat,p_value
+temp,5,0.168,0.8662001270633417
+wind,5,-0.496,0.6201509500607825
all,5,-0.923,0.3558775342601812
+temp,60,-0.551,0.5819323078998033
+wind,60,0.655,0.5123527814005324
all,60,-2.884,0.003927995070105727
+temp,15,1.425,0.15413197719206706
+wind,15,0.253,0.800373574380389
all,15,1.871,0.06128592069830545
+temp,30,-1.386,0.1658224248921546
+wind,30,1.897,0.05786526468301835
all,30,5.46,4.779679021124204e-08
