set,5,15,30,60
uni,0.8704,0.8797,0.8779,0.6132
+temp,0.8548,0.8775,0.8903,0.7992
+wind,0.8699,0.8907,0.8896,0.6258
all,0.8608,0.8867,0.8337,0.7367
