site,horizon_min,metric,contrast,block,expected_block_days,B,diff_lo,diff_hi,excludes_zero
asp,15,VC_mean,icp_minus_mondrian_cqr,iid_days,1,10000,-0.1539,-0.0915,True
asp,15,VC_cvar,icp_minus_mondrian_cqr,iid_days,1,10000,-0.2752,-0.1518,True
asp,15,VC_mean,icp_minus_mondrian_cqr,stationary_exp2d,2,10000,-0.1535,-0.0909,True
asp,15,VC_cvar,icp_minus_mondrian_cqr,stationary_exp2d,2,10000,-0.2757,-0.1502,True
asp,15,VC_mean,icp_minus_mondrian_cqr,stationary_exp3d,3,10000,-0.1536,-0.0916,True
asp,15,VC_cvar,icp_minus_mondrian_cqr,stationary_exp3d,3,10000,-0.2761,-0.1498,True
asp,15,VC_mean,icp_minus_mondrian_cqr,stationary_exp5d,5,10000,-0.1542,-0.0903,True
asp,15,VC_cvar,icp_minus_mondrian_cqr,stationary_exp5d,5,10000,-0.2765,-0.1487,True
asp,15,VC_mean,icp_minus_mondrian_cqr,stationary_exp7d,7,10000,-0.1534,-0.09,True
asp,15,VC_cvar,icp_minus_mondrian_cqr,stationary_exp7d,7,10000,-0.2747,-0.1494,True
asp,30,VC_mean,icp_minus_mondrian_cqr,iid_days,1,10000,-0.189,-0.1051,True
asp,30,VC_cvar,icp_minus_mondrian_cqr,iid_days,1,10000,-0.341,-0.2222,True
asp,30,VC_mean,icp_minus_mondrian_cqr,stationary_exp2d,2,10000,-0.1871,-0.1081,True
asp,30,VC_cvar,icp_minus_mondrian_cqr,stationary_exp2d,2,10000,-0.3406,-0.224,True
asp,30,VC_mean,icp_minus_mondrian_cqr,stationary_exp3d,3,10000,-0.1856,-0.1089,True
asp,30,VC_cvar,icp_minus_mondrian_cqr,stationary_exp3d,3,10000,-0.3379,-0.2255,True
asp,30,VC_mean,icp_minus_mondrian_cqr,stationary_exp5d,5,10000,-0.1832,-0.1106,True
asp,30,VC_cvar,icp_minus_mondrian_cqr,stationary_exp5d,5,10000,-0.336,-0.2266,True
asp,30,VC_mean,icp_minus_mondrian_cqr,stationary_exp7d,7,10000,-0.1828,-0.1107,True
asp,30,VC_cvar,icp_minus_mondrian_cqr,stationary_exp7d,7,10000,-0.3364,-0.2253,True
asp,60,VC_mean,icp_minus_mondrian_cqr,iid_days,1,10000,-0.2356,-0.1405,True
asp,60,VC_cvar,icp_minus_mondrian_cqr,iid_days,1,10000,-0.3752,-0.2257,True
asp,60,VC_mean,icp_minus_mondrian_cqr,stationary_exp2d,2,10000,-0.2326,-0.1453,True
asp,60,VC_cvar,icp_minus_mondrian_cqr,stationary_exp2d,2,10000,-0.3772,-0.2259,True
asp,60,VC_mean,icp_minus_mondrian_cqr,stationary_exp3d,3,10000,-0.2321,-0.1438,True
asp,60,VC_cvar,icp_minus_mondrian_cqr,stationary_exp3d,3,10000,-0.3772,-0.2228,True
asp,60,VC_mean,icp_minus_mondrian_cqr,stationary_exp5d,5,10000,-0.2311,-0.1445,True
asp,60,VC_cvar,icp_minus_mondrian_cqr,stationary_exp5d,5,10000,-0.3765,-0.2241,True
asp,60,VC_mean,icp_minus_mondrian_cqr,stationary_exp7d,7,10000,-0.2296,-0.1441,True
asp,60,VC_cvar,icp_minus_mondrian_cqr,stationary_exp7d,7,10000,-0.376,-0.2256,True
