calib_months,calib_n,method,PICP,PINAW
0.5,1928,icp,0.8005,0.0889
0.5,1928,mondrian,0.8243,0.0907
1.0,3920,icp,0.8016,0.0896
1.0,3920,mondrian,0.8138,0.0976
2.0,7849,icp,0.868,0.1324
2.0,7849,mondrian,0.8421,0.1038
3.0,10491,icp,0.8301,0.1069
3.0,10491,mondrian,0.832,0.098
6.0,20167,icp,0.8386,0.1125
6.0,20167,mondrian,0.8634,0.1142
9.0,29311,icp,0.8563,0.1243
9.0,29311,mondrian,0.8818,0.1272
12.0,40131,icp,0.8763,0.14
12.0,40131,mondrian,0.8878,0.1355
