method,horizon_min,nominal,scope,n,PICP,ACE,PINAW,Winkler
icp,5,0.8,all,44163,0.7542,-0.0458,0.0472,301.83
icp,5,0.8,clear,23660,0.9401,0.1401,0.0509,113.12
icp,5,0.8,transitional,16487,0.4696,-0.3304,0.0471,611.3
icp,5,0.8,cloudy,4016,0.8274,0.0274,0.0683,143.12
mondrian,5,0.8,all,44163,0.7941,-0.0059,0.0703,236.69
mondrian,5,0.8,clear,23660,0.7941,-0.0059,0.0127,86.25
mondrian,5,0.8,transitional,16487,0.7944,-0.0056,0.1612,475.42
mondrian,5,0.8,cloudy,4016,0.7928,-0.0072,0.0605,143.01
cqr,5,0.8,all,44163,0.8074,0.0074,0.0751,179.2
cqr,5,0.8,clear,23660,0.8167,0.0167,0.0224,61.09
cqr,5,0.8,transitional,16487,0.787,-0.013,0.157,360.36
cqr,5,0.8,cloudy,4016,0.8359,0.0359,0.0857,131.32
mondrian_cqr,5,0.8,all,44163,0.808,0.008,0.0756,179.17
mondrian_cqr,5,0.8,clear,23660,0.8089,0.0089,0.0222,61.07
mondrian_cqr,5,0.8,transitional,16487,0.8006,0.0006,0.1585,360.3
mondrian_cqr,5,0.8,cloudy,4016,0.8329,0.0329,0.0855,131.27
aci,5,0.8,all,44163,0.8266,0.0266,0.0964,230.47
aci,5,0.8,clear,23660,0.8402,0.0402,0.0247,72.89
aci,5,0.8,transitional,16487,0.8032,0.0032,0.212,480.59
aci,5,0.8,cloudy,4016,0.8426,0.0426,0.0795,132.02
icp,5,0.9,all,44163,0.8759,-0.0241,0.1192,446.6
icp,5,0.9,clear,23660,0.9779,0.0779,0.1301,226.26
icp,5,0.9,transitional,16487,0.7082,-0.1918,0.1176,816.59
icp,5,0.9,cloudy,4016,0.9636,0.0636,0.1661,225.77
mondrian,5,0.9,all,44163,0.8914,-0.0086,0.1134,329.25
mondrian,5,0.9,clear,23660,0.8879,-0.0121,0.0239,147.21
mondrian,5,0.9,transitional,16487,0.8979,-0.0021,0.2568,620.72
mondrian,5,0.9,cloudy,4016,0.8852,-0.0148,0.0903,205.13
cqr,5,0.9,all,44163,0.9035,0.0035,0.1061,231.21
cqr,5,0.9,clear,23660,0.912,0.012,0.0352,88.15
cqr,5,0.9,transitional,16487,0.8864,-0.0136,0.209,439.1
cqr,5,0.9,cloudy,4016,0.9233,0.0233,0.1692,220.59
mondrian_cqr,5,0.9,all,44163,0.9039,0.0039,0.1073,231.02
mondrian_cqr,5,0.9,clear,23660,0.9053,0.0053,0.0348,88.11
mondrian_cqr,5,0.9,transitional,16487,0.899,-0.001,0.2128,438.71
mondrian_cqr,5,0.9,cloudy,4016,0.9156,0.0156,0.168,220.35
aci,5,0.9,all,44163,0.9257,0.0257,0.1527,320.87
aci,5,0.9,clear,23660,0.9388,0.0388,0.0507,123.29
aci,5,0.9,transitional,16487,0.9042,0.0042,0.3184,634.72
aci,5,0.9,cloudy,4016,0.9363,0.0363,0.1375,196.5
icp,5,0.95,all,44163,0.9413,-0.0087,0.2145,596.25
icp,5,0.95,clear,23660,0.9911,0.0411,0.2371,378.01
icp,5,0.95,transitional,16487,0.8583,-0.0917,0.2103,971.88
icp,5,0.95,cloudy,4016,0.9883,0.0383,0.2818,339.9
mondrian,5,0.95,all,44163,0.9425,-0.0075,0.1649,437.08
mondrian,5,0.95,clear,23660,0.9378,-0.0122,0.0485,239.21
mondrian,5,0.95,transitional,16487,0.9503,0.0003,0.3553,758.26
mondrian,5,0.95,cloudy,4016,0.9382,-0.0118,0.129,284.28
cqr,5,0.95,all,44163,0.9477,-0.0023,0.1344,284.36
cqr,5,0.95,clear,23660,0.9538,0.0038,0.0505,124.06
cqr,5,0.95,transitional,16487,0.9364,-0.0136,0.2537,512.9
cqr,5,0.95,cloudy,4016,0.9582,0.0082,0.2322,290.51
mondrian_cqr,5,0.95,all,44163,0.9486,-0.0014,0.1367,283.75
mondrian_cqr,5,0.95,clear,23660,0.9477,-0.0023,0.0497,124.04
mondrian_cqr,5,0.95,transitional,16487,0.949,-0.001,0.2613,511.35
mondrian_cqr,5,0.95,cloudy,4016,0.9527,0.0027,0.2306,290.33
aci,5,0.95,all,44163,0.969,0.019,0.2254,435.89
aci,5,0.95,clear,23660,0.9777,0.0277,0.1067,213.14
aci,5,0.95,transitional,16487,0.9554,0.0054,0.4261,794.44
aci,5,0.95,cloudy,4016,0.9734,0.0234,0.2093,276.22
icp,60,0.8,all,40190,0.7466,-0.0534,0.1295,537.04
icp,60,0.8,clear,22575,0.932,0.132,0.1338,292.29
icp,60,0.8,transitional,13971,0.4805,-0.3195,0.1298,912.42
icp,60,0.8,cloudy,3644,0.6186,-0.1814,0.1462,614.08
mondrian,60,0.8,all,40190,0.7902,-0.0098,0.1412,426.27
mondrian,60,0.8,clear,22575,0.8004,0.0004,0.0423,231.87
mondrian,60,0.8,transitional,13971,0.7853,-0.0147,0.2933,708.16
mondrian,60,0.8,cloudy,3644,0.7462,-0.0538,0.2081,549.83
cqr,60,0.8,all,40190,0.7991,-0.0009,0.147,340.39
cqr,60,0.8,clear,22575,0.8126,0.0126,0.0539,176.31
cqr,60,0.8,transitional,13971,0.776,-0.024,0.2778,573.3
cqr,60,0.8,cloudy,3644,0.8035,0.0035,0.2699,463.94
mondrian_cqr,60,0.8,all,40190,0.7994,-0.0006,0.1472,340.32
mondrian_cqr,60,0.8,clear,22575,0.8117,0.0117,0.0538,176.31
mondrian_cqr,60,0.8,transitional,13971,0.7823,-0.0177,0.2791,573.09
mondrian_cqr,60,0.8,cloudy,3644,0.789,-0.011,0.2674,464.01
aci,60,0.8,all,40190,0.8385,0.0385,0.1653,337.87
aci,60,0.8,clear,22575,0.8411,0.0411,0.0683,166.57
aci,60,0.8,transitional,13971,0.8367,0.0367,0.3145,591.92
aci,60,0.8,cloudy,3644,0.829,0.029,0.2404,425.05
icp,60,0.9,all,40190,0.8718,-0.0282,0.2479,715.24
icp,60,0.9,clear,22575,0.9697,0.0697,0.2578,487.04
icp,60,0.9,transitional,13971,0.7235,-0.1765,0.2483,1084.48
icp,60,0.9,cloudy,3644,0.8342,-0.0658,0.2679,713.32
mondrian,60,0.9,all,40190,0.8867,-0.0133,0.2031,574.76
mondrian,60,0.9,clear,22575,0.8839,-0.0161,0.0728,379.84
mondrian,60,0.9,transitional,13971,0.8954,-0.0046,0.4031,862.91
mondrian,60,0.9,cloudy,3644,0.8713,-0.0287,0.298,677.62
cqr,60,0.9,all,40190,0.8962,-0.0038,0.196,427.95
cqr,60,0.9,clear,22575,0.9087,0.0087,0.0908,258.98
cqr,60,0.9,transitional,13971,0.8803,-0.0197,0.3447,664.15
cqr,60,0.9,cloudy,3644,0.8801,-0.0199,0.3424,569.12
mondrian_cqr,60,0.9,all,40190,0.897,-0.003,0.1964,427.81
mondrian_cqr,60,0.9,clear,22575,0.9078,0.0078,0.0907,258.97
mondrian_cqr,60,0.9,transitional,13971,0.884,-0.016,0.3462,663.74
mondrian_cqr,60,0.9,cloudy,3644,0.8801,-0.0199,0.3418,569.28
aci,60,0.9,all,40190,0.9375,0.0375,0.2309,435.25
aci,60,0.9,clear,22575,0.9447,0.0447,0.1193,254.04
aci,60,0.9,transitional,13971,0.9291,0.0291,0.4067,709.02
aci,60,0.9,cloudy,3644,0.9254,0.0254,0.3131,508.21
icp,60,0.95,all,40190,0.9394,-0.0106,0.3689,880.52
icp,60,0.95,clear,22575,0.9833,0.0333,0.3866,694.49
icp,60,0.95,transitional,13971,0.8699,-0.0801,0.3691,1202.44
icp,60,0.95,cloudy,3644,0.9336,-0.0164,0.3799,798.71
mondrian,60,0.95,all,40190,0.9383,-0.0117,0.2787,747.84
mondrian,60,0.95,clear,22575,0.9336,-0.0164,0.1359,581.35
mondrian,60,0.95,transitional,13971,0.9451,-0.0049,0.5007,1006.87
mondrian,60,0.95,cloudy,3644,0.9418,-0.0082,0.3916,786.14
cqr,60,0.95,all,40190,0.9465,-0.0035,0.2494,519.31
cqr,60,0.95,clear,22575,0.9512,0.0012,0.1423,364.81
cqr,60,0.95,transitional,13971,0.9377,-0.0123,0.4005,739.65
cqr,60,0.95,cloudy,3644,0.9506,0.0006,0.4178,631.67
mondrian_cqr,60,0.95,all,40190,0.9466,-0.0034,0.2494,519.23
mondrian_cqr,60,0.95,clear,22575,0.951,0.001,0.1421,364.8
mondrian_cqr,60,0.95,transitional,13971,0.9384,-0.0116,0.4011,739.44
mondrian_cqr,60,0.95,cloudy,3644,0.9506,0.0006,0.4175,631.67
aci,60,0.95,all,40190,0.9756,0.0256,0.3285,580.65
aci,60,0.95,clear,22575,0.9808,0.0308,0.2166,399.58
aci,60,0.95,transitional,13971,0.9691,0.0191,0.5174,866.74
aci,60,0.95,cloudy,3644,0.9687,0.0187,0.3911,605.55
icp,15,0.8,all,43439,0.7499,-0.0501,0.0859,421.05
icp,15,0.8,clear,23620,0.9422,0.1422,0.093,189.77
icp,15,0.8,transitional,15843,0.4649,-0.3351,0.0853,788.1
icp,15,0.8,cloudy,3976,0.743,-0.057,0.0896,332.48
mondrian,15,0.8,all,43439,0.7825,-0.0175,0.1035,326.08
mondrian,15,0.8,clear,23620,0.7869,-0.0131,0.0245,143.25
mondrian,15,0.8,transitional,15843,0.7797,-0.0203,0.2271,597.92
mondrian,15,0.8,cloudy,3976,0.7671,-0.0329,0.0966,329.05
cqr,15,0.8,all,43439,0.8063,0.0063,0.1118,253.12
cqr,15,0.8,clear,23620,0.8179,0.0179,0.0358,101.74
cqr,15,0.8,transitional,15843,0.7845,-0.0155,0.2249,470.16
cqr,15,0.8,cloudy,3976,0.8247,0.0247,0.1362,287.61
mondrian_cqr,15,0.8,all,43439,0.8058,0.0058,0.1117,253.13
mondrian_cqr,15,0.8,clear,23620,0.8199,0.0199,0.0359,101.75
mondrian_cqr,15,0.8,transitional,15843,0.7824,-0.0176,0.2246,470.2
mondrian_cqr,15,0.8,cloudy,3976,0.8146,0.0146,0.1352,287.48
aci,15,0.8,all,43439,0.8291,0.0291,0.1316,291.39
aci,15,0.8,clear,23620,0.8326,0.0326,0.0404,114.58
aci,15,0.8,transitional,15843,0.8255,0.0255,0.2763,557.87
aci,15,0.8,cloudy,3976,0.8234,0.0234,0.1205,279.94
icp,15,0.9,all,43439,0.8724,-0.0276,0.1828,584.47
icp,15,0.9,clear,23620,0.9778,0.0778,0.1999,344.62
icp,15,0.9,transitional,15843,0.7034,-0.1966,0.1807,977.67
icp,15,0.9,cloudy,3976,0.9195,0.0195,0.1816,442.58
mondrian,15,0.9,all,43439,0.8879,-0.0121,0.1584,439.1
mondrian,15,0.9,clear,23620,0.8837,-0.0163,0.0452,237.15
