model,horizon_min,n,RMSE,MAE,nRMSE,R2,train_s,epochs,n_train,subsample_arg,regime_basis
gru,5,39789,90.07257843017578,41.726531982421875,0.1528010219335556,0.9198489189147949,362.9,30,286525,0,causal_D012
gru_tcn,5,39789,89.92815399169922,44.34429931640625,0.15255601704120636,0.9201057553291321,673.0,30,286525,0,causal_D012
gru,15,39000,116.78214263916016,65.71646118164062,0.19595715403556824,0.8635833859443665,389.0,30,281631,0,causal_D012
gru_tcn,15,39000,116.09576416015625,65.29827880859375,0.19480542838573456,0.8651822805404663,528.8,30,281631,0,causal_D012
gru,30,37897,129.58670043945312,77.55707550048828,0.21440184116363525,0.8306748270988464,325.9,30,274366,0,causal_D012
gru_tcn,30,37897,128.3474884033203,73.8617172241211,0.21235156059265137,0.8338978290557861,572.9,30,274366,0,causal_D012
gru,60,35769,143.52117919921875,84.54049682617188,0.2323196679353714,0.793838620185852,312.1,30,260077,0,causal_D012
gru_tcn,60,35769,142.85879516601562,88.47268676757812,0.23124746978282928,0.7957372069358826,408.1,30,260077,0,causal_D012
