year,date,day_class,model,horizon_min,n,RMSE,MAE
2019,2019-01-01,mixed,persistence,5,141,51.677232424026776,35.89018160231397
2019,2019-01-01,mixed,smart_persistence,5,141,49.63398977009072,30.07801882601625
2019,2019-01-01,mixed,gbm,5,141,46.12011929549792,32.910102500997
2019,2019-01-02,mixed,persistence,5,140,17.470815120421978,14.852235685076058
2019,2019-01-02,mixed,smart_persistence,5,140,8.675747070387008,3.675613791702682
2019,2019-01-02,mixed,gbm,5,140,6.868214134044101,3.795042263112661
2019,2019-01-05,mixed,persistence,5,140,61.756807585617125,31.67105663844546
2019,2019-01-05,mixed,smart_persistence,5,140,60.55236798820769,24.08357312004261
2019,2019-01-05,mixed,gbm,5,140,56.22475840177127,26.7232537524217
2019,2019-01-06,mixed,persistence,5,141,17.605063087818777,14.92767101314861
2019,2019-01-06,mixed,smart_persistence,5,141,8.165089576757769,3.748569672410718
2019,2019-01-06,mixed,gbm,5,141,6.06018441358866,3.8830696440828727
2019,2019-01-07,mixed,persistence,5,141,17.176995876359992,14.789777796316343
2019,2019-01-07,mixed,smart_persistence,5,141,7.6187043561823184,3.5633945608627826
2019,2019-01-07,mixed,gbm,5,141,6.23784425611345,4.140754423934725
2019,2019-01-08,mixed,persistence,5,141,17.735359186582098,15.214931352763628
2019,2019-01-08,mixed,smart_persistence,5,141,7.957488747722128,3.633537538878222
2019,2019-01-08,mixed,gbm,5,141,6.012072191899201,3.864097430905349
2019,2019-01-09,mixed,persistence,5,140,17.37316029993495,15.01922501155344
2019,2019-01-09,mixed,smart_persistence,5,140,7.225832832854525,3.4899457588906726
2019,2019-01-09,mixed,gbm,5,140,4.9114087779590525,3.6203340800929618
2019,2019-01-10,mixed,persistence,5,140,17.08263317244671,14.744778333391997
2019,2019-01-10,mixed,smart_persistence,5,140,6.999780947160428,3.431692417881933
2019,2019-01-10,mixed,gbm,5,140,5.024550597131531,3.793236907026968
2019,2019-01-11,mixed,persistence,5,139,51.12640818421311,24.326472412769323
2019,2019-01-11,mixed,smart_persistence,5,139,47.63191355178355,15.911327389398863
2019,2019-01-11,mixed,gbm,5,139,41.82525651475439,13.752459310522008
2019,2019-01-12,mixed,persistence,5,140,103.34986052680054,44.58303102765802
2019,2019-01-12,mixed,smart_persistence,5,140,101.17063515292652,37.756129182355856
2019,2019-01-12,mixed,gbm,5,140,92.75218416355798,39.96202585247385
