set,horizon_min,scope,metric,value,n
uni,15,clear,MAE,17.905,20629
uni,15,transitional,RMSE,182.523,14604
uni,15,transitional,MAE,126.082,14604
uni,15,cloudy,RMSE,87.219,3418
uni,15,cloudy,MAE,64.702,3418
uni,15,all,PICP90,0.8797,38651
uni,15,all,PINAW90,0.1824,38651
uni,15,clear,PICP90,0.8772,20629
uni,15,clear,PINAW90,0.0731,20629
uni,15,transitional,PICP90,0.8649,14604
uni,15,transitional,PINAW90,0.3249,14604
uni,15,cloudy,PICP90,0.9576,3418
uni,15,cloudy,PINAW90,0.5478,3418
+temp,15,all,RMSE,117.157,38651
+temp,15,all,MAE,62.72,38651
+temp,15,clear,RMSE,33.177,20629
+temp,15,clear,MAE,17.844,20629
+temp,15,transitional,RMSE,182.203,14604
+temp,15,transitional,MAE,126.399,14604
+temp,15,cloudy,RMSE,82.014,3418
+temp,15,cloudy,MAE,61.482,3418
+temp,15,all,PICP90,0.8775,38651
+temp,15,all,PINAW90,0.1813,38651
+temp,15,clear,PICP90,0.8879,20629
+temp,15,clear,PINAW90,0.074,20629
+temp,15,transitional,PICP90,0.8461,14604
+temp,15,transitional,PINAW90,0.3194,14604
+temp,15,cloudy,PICP90,0.9491,3418
+temp,15,cloudy,PINAW90,0.5609,3418
+wind,15,all,RMSE,117.558,38651
+wind,15,all,MAE,62.732,38651
+wind,15,clear,RMSE,32.147,20629
+wind,15,clear,MAE,17.538,20629
+wind,15,transitional,RMSE,182.556,14604
+wind,15,transitional,MAE,126.325,14604
+wind,15,cloudy,RMSE,87.432,3418
+wind,15,cloudy,MAE,63.779,3418
+wind,15,all,PICP90,0.8907,38651
+wind,15,all,PINAW90,0.1849,38651
+wind,15,clear,PICP90,0.8967,20629
+wind,15,clear,PINAW90,0.0761,20629
+wind,15,transitional,PICP90,0.8665,14604
+wind,15,transitional,PINAW90,0.3262,14604
+wind,15,cloudy,PICP90,0.9576,3418
+wind,15,cloudy,PINAW90,0.5618,3418
all,15,all,RMSE,116.94,38651
all,15,all,MAE,62.304,38651
all,15,clear,RMSE,32.838,20629
all,15,clear,MAE,17.471,20629
all,15,transitional,RMSE,181.93,14604
all,15,transitional,MAE,126.139,14604
all,15,cloudy,RMSE,81.908,3418
all,15,cloudy,MAE,60.149,3418
all,15,all,PICP90,0.8867,38651
all,15,all,PINAW90,0.1856,38651
all,15,clear,PICP90,0.901,20629
all,15,clear,PINAW90,0.0788,20629
all,15,transitional,PICP90,0.8524,14604
all,15,transitional,PINAW90,0.3225,14604
all,15,cloudy,PICP90,0.9465,3418
all,15,cloudy,PINAW90,0.5786,3418
uni,30,all,RMSE,133.856,37549
uni,30,all,MAE,76.35,37549
uni,30,clear,RMSE,54.738,20260
uni,30,clear,MAE,26.788,20260
uni,30,transitional,RMSE,197.443,13951
uni,30,transitional,MAE,140.585,13951
uni,30,cloudy,RMSE,142.96,3338
uni,30,cloudy,MAE,108.7,3338
uni,30,all,PICP90,0.8779,37549
uni,30,all,PINAW90,0.2062,37549
uni,30,clear,PICP90,0.8589,20260
uni,30,clear,PINAW90,0.0801,20260
uni,30,transitional,PICP90,0.8828,13951
uni,30,transitional,PINAW90,0.3609,13951
uni,30,cloudy,PICP90,0.9721,3338
uni,30,cloudy,PINAW90,0.4686,3338
+temp,30,all,RMSE,134.711,37549
+temp,30,all,MAE,77.284,37549
+temp,30,clear,RMSE,55.099,20260
+temp,30,clear,MAE,26.92,20260
+temp,30,transitional,RMSE,197.076,13951
+temp,30,transitional,MAE,141.64,13951
+temp,30,cloudy,RMSE,152.912,3338
+temp,30,cloudy,MAE,114.0,3338
+temp,30,all,PICP90,0.8903,37549
+temp,30,all,PINAW90,0.2115,37549
+temp,30,clear,PICP90,0.891,20260
+temp,30,clear,PINAW90,0.0896,20260
+temp,30,transitional,PICP90,0.8713,13951
+temp,30,transitional,PINAW90,0.3565,13951
+temp,30,cloudy,PICP90,0.9652,3338
+temp,30,cloudy,PINAW90,0.5001,3338
+wind,30,all,RMSE,133.151,37549
+wind,30,all,MAE,76.185,37549
+wind,30,clear,RMSE,54.058,20260
+wind,30,clear,MAE,26.422,20260
+wind,30,transitional,RMSE,196.73,13951
+wind,30,transitional,MAE,140.897,13951
+wind,30,cloudy,RMSE,141.215,3338
+wind,30,cloudy,MAE,107.759,3338
+wind,30,all,PICP90,0.8896,37549
+wind,30,all,PINAW90,0.2121,37549
+wind,30,clear,PICP90,0.8839,20260
+wind,30,clear,PINAW90,0.0873,20260
+wind,30,transitional,PICP90,0.8808,13951
+wind,30,transitional,PINAW90,0.3637,13951
+wind,30,cloudy,PICP90,0.9608,3338
+wind,30,cloudy,PINAW90,0.4878,3338
all,30,all,RMSE,129.995,37549
all,30,all,MAE,74.085,37549
all,30,clear,RMSE,53.427,20260
all,30,clear,MAE,25.99,20260
all,30,transitional,RMSE,194.898,13951
all,30,transitional,MAE,140.342,13951
all,30,cloudy,RMSE,118.364,3338
all,30,cloudy,MAE,89.086,3338
all,30,all,PICP90,0.8337,37549
all,30,all,PINAW90,0.2116,37549
all,30,clear,PICP90,0.8034,20260
all,30,clear,PINAW90,0.0806,20260
all,30,transitional,PICP90,0.8484,13951
all,30,transitional,PINAW90,0.3506,13951
all,30,cloudy,PICP90,0.9557,3338
all,30,cloudy,PINAW90,0.5968,3338
