site,method,variant,horizon_min,nominal,scope,n,PICP,ACE,PINAW,Winkler
asp,cqr,rearranged,5,0.9,clear,23683,0.91,0.01,0.0348,89.15
asp,cqr,rearranged,5,0.9,transitional,16518,0.8891,-0.0109,0.2086,439.36
asp,cqr,rearranged,5,0.9,cloudy,4020,0.9192,0.0192,0.163,214.79
asp,mondrian_cqr,rearranged,5,0.9,all,44221,0.9031,0.0031,0.1066,231.24
asp,mondrian_cqr,rearranged,5,0.9,clear,23683,0.9039,0.0039,0.0345,89.13
asp,mondrian_cqr,rearranged,5,0.9,transitional,16518,0.8998,-0.0002,0.2124,439.05
asp,mondrian_cqr,rearranged,5,0.9,cloudy,4020,0.9124,0.0124,0.1617,214.57
asp,aci,anticipative,5,0.9,all,44221,0.9253,0.0253,0.1526,321.53
asp,aci,anticipative,5,0.9,clear,23683,0.9381,0.0381,0.051,125.18
asp,aci,anticipative,5,0.9,transitional,16518,0.9043,0.0043,0.3176,633.87
asp,aci,anticipative,5,0.9,cloudy,4020,0.9361,0.0361,0.1366,194.89
asp,aci_regime,anticipative,5,0.9,all,44221,0.9144,0.0144,0.152,313.34
asp,aci_regime,anticipative,5,0.9,clear,23683,0.9028,0.0028,0.0621,142.22
asp,aci_regime,anticipative,5,0.9,transitional,16518,0.9327,0.0327,0.3037,585.21
asp,aci_regime,anticipative,5,0.9,cloudy,4020,0.9077,0.0077,0.1222,204.31
asp,aci_g0.01,anticipative,5,0.9,all,44221,0.9287,0.0287,0.1398,344.69
asp,aci_g0.02,anticipative,5,0.9,all,44221,0.9342,0.0342,0.1412,323.6
asp,aci_g0.05,anticipative,5,0.9,all,44221,0.9253,0.0253,0.1526,321.53
asp,aci_g0.1,anticipative,5,0.9,all,44221,0.9147,0.0147,0.1783,352.18
asp,aci,delayed,5,0.9,all,44221,0.9253,0.0253,0.1526,321.53
asp,aci,delayed,5,0.9,clear,23683,0.9381,0.0381,0.051,125.18
asp,aci,delayed,5,0.9,transitional,16518,0.9043,0.0043,0.3176,633.87
