site,horizon_min,policy,protocol,protocol_label,theta,mean_daily,cvar95_daily,value_captured_mean,value_captured_cvar,vc_mean_ci_lo,vc_mean_ci_hi,vc_cvar_ci_lo,vc_cvar_ci_hi,cvar_ci_lo,cvar_ci_hi
asp,15,icp,B_critical_fractile,"B: theta = c_u/(c_u+c_o) = 0.909, zero tuning",0.909,49.08,332.26,0.8578,0.7793,0.8325,0.8805,0.722,0.834,240.1796,420.8792
asp,15,mondrian,R0_test_argmin_coarse,"R0 (theta = argmin on TEST 2024, R0 grid)",0.8,44.36,420.33,0.8715,0.7208,0.8436,0.8975,0.6554,0.7911,306.1649,524.096
asp,15,mondrian,R0_test_argmin_fine,R0 protocol on the fine grid (still TEST-tuned),0.825,39.34,328.82,0.886,0.7816,,,,,,
asp,15,mondrian,A,A: theta selected on 2023-H2 (mean cost),0.825,39.34,328.82,0.886,0.7816,0.8612,0.9086,0.7067,0.8504,221.7742,440.205
asp,15,mondrian,A_swapped,A-swapped: theta selected on 2023-H1,0.825,39.34,328.82,0.886,0.7816,,,,,,
asp,15,mondrian,A_meancvar_lam0.5,"A: theta selected on 2023-H2 (mean-CVaR, lambda=0.5)",0.825,39.34,328.82,0.886,0.7816,0.8612,0.9086,0.7067,0.8504,221.7742,440.205
asp,15,mondrian,B_critical_fractile,"B: theta = c_u/(c_u+c_o) = 0.909, zero tuning",0.909,94.08,341.56,0.7274,0.7731,0.6964,0.7561,0.7367,0.8012,309.1819,381.8019
asp,15,mondrian_cqr,R0_test_argmin_coarse,"R0 (theta = argmin on TEST 2024, R0 grid)",0.8,48.09,291.51,0.8607,0.8063,0.8355,0.8826,0.7512,0.8536,223.7832,363.2642
asp,15,mondrian_cqr,R0_test_argmin_fine,R0 protocol on the fine grid (still TEST-tuned),0.775,45.98,297.16,0.8668,0.8026,,,,,,
asp,15,mondrian_cqr,A,A: theta selected on 2023-H2 (mean cost),0.775,45.98,297.16,0.8668,0.8026,0.8419,0.8884,0.7446,0.8517,226.2367,374.2357
asp,15,mondrian_cqr,A_swapped,A-swapped: theta selected on 2023-H1,0.75,46.32,311.68,0.8658,0.7929,,,,,,
asp,15,mondrian_cqr,A_meancvar_lam0.5,"A: theta selected on 2023-H2 (mean-CVaR, lambda=0.5)",0.775,45.98,297.16,0.8668,0.8026,0.8419,0.8884,0.7446,0.8517,226.2367,374.2357
asp,15,mondrian_cqr,B_critical_fractile,"B: theta = c_u/(c_u+c_o) = 0.909, zero tuning",0.909,98.9,392.25,0.7135,0.7394,0.675,0.7475,0.707,0.7689,362.7136,411.4987
asp,30,cqr,R0_test_argmin_coarse,"R0 (theta = argmin on TEST 2024, R0 grid)",0.8,76.44,524.85,0.8316,0.7758,0.8024,0.8578,0.7226,0.8262,405.899,632.0933
