site,horizon_min,policy,protocol,protocol_label,theta,mean_daily,cvar95_daily,value_captured_mean,value_captured_cvar,vc_mean_ci_lo,vc_mean_ci_hi,vc_cvar_ci_lo,vc_cvar_ci_hi,cvar_ci_lo,cvar_ci_hi
yulara,30,cqr,A_meancvar_lam0.5,"A: theta selected on 2023-H2 (mean-CVaR, lambda=0.5)",0.85,72.81,386.98,0.8428,0.8503,0.8134,0.8679,0.8131,0.8824,316.4101,461.6674
yulara,30,cqr,B_critical_fractile,"B: theta = c_u/(c_u+c_o) = 0.909, zero tuning",0.909,117.36,485.31,0.7466,0.8122,0.7011,0.7852,0.7743,0.8457,421.9097,550.61
yulara,30,icp,R0_test_argmin_coarse,"R0 (theta = argmin on TEST 2024, R0 grid)",0.9,95.68,855.57,0.7934,0.669,0.7604,0.8248,0.61,0.7216,693.3951,1009.6776
yulara,30,icp,R0_test_argmin_fine,R0 protocol on the fine grid (still TEST-tuned),0.9,95.68,855.57,0.7934,0.669,,,,,,
yulara,30,icp,A,A: theta selected on 2023-H2 (mean cost),0.875,166.85,1370.76,0.6397,0.4697,0.6037,0.6772,0.4168,0.5249,1153.2762,1563.2481
yulara,30,icp,A_swapped,A-swapped: theta selected on 2023-H1,0.925,98.82,463.27,0.7866,0.8208,,,,,,
yulara,30,icp,A_meancvar_lam0.5,"A: theta selected on 2023-H2 (mean-CVaR, lambda=0.5)",0.925,98.82,463.27,0.7866,0.8208,0.7478,0.8179,0.7622,0.8715,338.0696,597.9191
yulara,30,icp,B_critical_fractile,"B: theta = c_u/(c_u+c_o) = 0.909, zero tuning",0.909,87.78,690.41,0.8105,0.7329,0.7783,0.8388,0.6725,0.7851,546.7621,836.8688
yulara,30,mondrian,R0_test_argmin_coarse,"R0 (theta = argmin on TEST 2024, R0 grid)",0.8,84.99,809.37,0.8165,0.6869,0.7857,0.8456,0.6347,0.7379,645.4562,953.0285
yulara,30,mondrian,R0_test_argmin_fine,R0 protocol on the fine grid (still TEST-tuned),0.85,61.42,434.83,0.8674,0.8318,,,,,,
yulara,30,mondrian,A,A: theta selected on 2023-H2 (mean cost),0.85,61.42,434.83,0.8674,0.8318,0.8409,0.8897,0.7801,0.8736,324.0116,560.174
yulara,30,mondrian,A_swapped,A-swapped: theta selected on 2023-H1,0.875,72.32,403.57,0.8438,0.8439,,,,,,
yulara,30,mondrian,A_meancvar_lam0.5,"A: theta selected on 2023-H2 (mean-CVaR, lambda=0.5)",0.85,61.42,434.83,0.8674,0.8318,0.8409,0.8897,0.7801,0.8736,324.0116,560.174
yulara,30,mondrian,B_critical_fractile,"B: theta = c_u/(c_u+c_o) = 0.909, zero tuning",0.909,115.99,485.89,0.7495,0.812,0.7063,0.786,0.7712,0.8479,411.8544,564.8597
yulara,30,mondrian_cqr,R0_test_argmin_coarse,"R0 (theta = argmin on TEST 2024, R0 grid)",0.8,57.37,428.51,0.8761,0.8342,0.8517,0.8977,0.7935,0.8738,329.2821,513.2751
yulara,30,mondrian_cqr,R0_test_argmin_fine,R0 protocol on the fine grid (still TEST-tuned),0.775,56.6,462.98,0.8778,0.8209,,,,,,
yulara,30,mondrian_cqr,A,A: theta selected on 2023-H2 (mean cost),0.825,64.09,396.28,0.8616,0.8467,0.8351,0.8845,0.8079,0.8812,314.269,474.5689
yulara,30,mondrian_cqr,A_swapped,A-swapped: theta selected on 2023-H1,0.8,57.37,428.51,0.8761,0.8342,,,,,,
yulara,30,mondrian_cqr,A_meancvar_lam0.5,"A: theta selected on 2023-H2 (mean-CVaR, lambda=0.5)",0.85,75.2,390.57,0.8376,0.8489,0.8077,0.8631,0.8119,0.8811,319.6212,464.3231
yulara,30,mondrian_cqr,B_critical_fractile,"B: theta = c_u/(c_u+c_o) = 0.909, zero tuning",0.909,126.0,505.14,0.7279,0.8046,0.6802,0.7683,0.7659,0.8383,442.8356,570.2806
yulara,60,cqr,R0_test_argmin_coarse,"R0 (theta = argmin on TEST 2024, R0 grid)",0.8,109.87,831.08,0.8151,0.7846,0.7843,0.8429,0.7396,0.8257,665.4512,979.4106
yulara,60,cqr,R0_test_argmin_fine,R0 protocol on the fine grid (still TEST-tuned),0.825,104.8,745.07,0.8236,0.8069,,,,,,
yulara,60,cqr,A,A: theta selected on 2023-H2 (mean cost),0.875,113.0,623.46,0.8098,0.8384,0.7738,0.8403,0.8026,0.8711,503.8489,726.4355
yulara,60,cqr,A_swapped,A-swapped: theta selected on 2023-H1,0.825,104.8,745.07,0.8236,0.8069,,,,,,
yulara,60,cqr,A_meancvar_lam0.5,"A: theta selected on 2023-H2 (mean-CVaR, lambda=0.5)",0.9,130.04,595.65,0.7811,0.8456,0.7381,0.817,0.8115,0.8734,509.6762,679.2091
yulara,60,cqr,B_critical_fractile,"B: theta = c_u/(c_u+c_o) = 0.909, zero tuning",0.909,138.61,595.03,0.7667,0.8458,0.7199,0.8051,0.8126,0.8729,521.2444,666.3337
yulara,60,icp,R0_test_argmin_coarse,"R0 (theta = argmin on TEST 2024, R0 grid)",0.9,192.95,1732.94,0.6752,0.5508,0.633,0.716,0.4955,0.6209,1338.8786,2083.1747
yulara,60,icp,R0_test_argmin_fine,R0 protocol on the fine grid (still TEST-tuned),0.925,181.8,1067.72,0.694,0.7232,,,,,,
yulara,60,icp,A,A: theta selected on 2023-H2 (mean cost),0.9,192.95,1732.94,0.6752,0.5508,0.633,0.716,0.4955,0.6209,1338.8786,2083.1747
yulara,60,icp,A_swapped,A-swapped: theta selected on 2023-H1,0.925,181.8,1067.72,0.694,0.7232,,,,,,
yulara,60,icp,A_meancvar_lam0.5,"A: theta selected on 2023-H2 (mean-CVaR, lambda=0.5)",0.95,250.36,591.24,0.5786,0.8467,0.4895,0.6456,0.8132,0.877,504.9902,675.9699
yulara,60,icp,B_critical_fractile,"B: theta = c_u/(c_u+c_o) = 0.909, zero tuning",0.909,181.5,1499.93,0.6945,0.6112,0.6518,0.7338,0.5536,0.6748,1154.1512,1833.6782
yulara,60,mondrian,R0_test_argmin_coarse,"R0 (theta = argmin on TEST 2024, R0 grid)",0.9,131.88,706.0,0.778,0.817,0.7373,0.8115,0.7772,0.853,546.6199,877.5543
yulara,60,mondrian,R0_test_argmin_fine,R0 protocol on the fine grid (still TEST-tuned),0.875,123.86,896.67,0.7915,0.7676,,,,,,
yulara,60,mondrian,A,A: theta selected on 2023-H2 (mean cost),0.875,123.86,896.67,0.7915,0.7676,0.7577,0.8215,0.7163,0.8179,650.0511,1158.6859
yulara,60,mondrian,A_swapped,A-swapped: theta selected on 2023-H1,0.875,123.86,896.67,0.7915,0.7676,,,,,,
yulara,60,mondrian,A_meancvar_lam0.5,"A: theta selected on 2023-H2 (mean-CVaR, lambda=0.5)",0.925,162.32,650.27,0.7268,0.8314,0.6729,0.7693,0.7934,0.8631,567.3314,736.0392
yulara,60,mondrian,B_critical_fractile,"B: theta = c_u/(c_u+c_o) = 0.909, zero tuning",0.909,138.03,686.82,0.7677,0.822,0.7236,0.8036,0.785,0.854,552.0586,827.0531
yulara,60,mondrian_cqr,R0_test_argmin_coarse,"R0 (theta = argmin on TEST 2024, R0 grid)",0.8,108.09,813.3,0.8181,0.7892,0.7871,0.846,0.7447,0.8298,652.3092,955.7688
yulara,60,mondrian_cqr,R0_test_argmin_fine,R0 protocol on the fine grid (still TEST-tuned),0.825,104.39,730.08,0.8243,0.8108,,,,,,
yulara,60,mondrian_cqr,A,A: theta selected on 2023-H2 (mean cost),0.875,116.07,610.23,0.8046,0.8418,0.7676,0.8357,0.8063,0.8725,500.8296,708.9693
yulara,60,mondrian_cqr,A_swapped,A-swapped: theta selected on 2023-H1,0.825,104.39,730.08,0.8243,0.8108,,,,,,
yulara,60,mondrian_cqr,A_meancvar_lam0.5,"A: theta selected on 2023-H2 (mean-CVaR, lambda=0.5)",0.9,135.1,593.7,0.7726,0.8461,0.7279,0.8093,0.8128,0.8727,517.8664,668.2186
yulara,60,mondrian_cqr,B_critical_fractile,"B: theta = c_u/(c_u+c_o) = 0.909, zero tuning",0.909,146.13,602.15,0.754,0.8439,0.7048,0.7939,0.8109,0.8719,534.5452,667.2752
